id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_Counseling_elegg_boomandshock_14_01,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_01,True,elegg_s,1,idle,Deck_d,S_100,S_100,1.0,bgm_story_summermood,,
d_Counseling_elegg_boomandshock_14_02,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_02,True,,1,idle,,S_100,S_100,1.0,,,
d_Counseling_elegg_boomandshock_14_03,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_03,True,,1,idle,,S_100,S_100,1.0,,,
d_Counseling_elegg_boomandshock_14_04,d_Counseling_elegg_boomandshock_14,Choice,120,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_14_04,False,,1,idle,,S_100,S_100,1.0,,d_Counseling_elegg_boomandshock_14_06,
d_Counseling_elegg_boomandshock_14_05,d_Counseling_elegg_boomandshock_14,Choice,100,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_14_05,False,,1,idle,,S_100,S_100,1.0,,d_Counseling_elegg_boomandshock_14_12,
d_Counseling_elegg_boomandshock_14_06,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_06,True,,1,idle,,S_100,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_07,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_07,True,,1,idle,,S_10,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_08,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_08,True,,1,idle,,S_10,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_09,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_09,True,,1,idle,,S_10,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_10,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_10,True,,1,idle,,S_10,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_11,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_11,True,,1,idle,,S_10,S_10,1.0,,d_Counseling_elegg_boomandshock_14_17,
d_Counseling_elegg_boomandshock_14_12,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_12,True,,1,sad,,S_100,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_13,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_13,True,,1,sad,,S_10,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_14,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_14,True,,1,sad,,S_10,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_15,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_15,True,,1,sad,,S_10,S_10,1.0,,,
d_Counseling_elegg_boomandshock_14_16,d_Counseling_elegg_boomandshock_14,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_14_16,True,,1,idle,,S_10,S_10,1.0,,d_Counseling_elegg_boomandshock_14_17,
d_Counseling_elegg_boomandshock_14_17,d_Counseling_elegg_boomandshock_14,Narration,0,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_14_17,False,,1,idle,none,S_10,S_10,1.0,,,elegg_s
