id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_bay_20_1,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_1,True,bay,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_bay_20_2,d_counseling_bay_20,Monologue,0,Monologue,,Locale_Counseling:d_counseling_bay_20_2,False,,1,idle,,10,10,1.0,,,
d_counseling_bay_20_3,d_counseling_bay_20,Self,0,Self,,Locale_Counseling:d_counseling_bay_20_3,False,,1,idle,,10,10,1.0,,,
d_counseling_bay_20_4,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_4,False,,1,surprise,,10,10,1.0,,,
d_counseling_bay_20_5,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_5,True,,1,surprise,,10,10,1.0,,,
d_counseling_bay_20_6,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_6,True,,1,surprise,,10,10,1.0,,,
d_counseling_bay_20_7,d_counseling_bay_20,Choice,100,Choice,,Locale_Counseling:d_counseling_bay_20_7,False,,1,surprise,,10,10,1.0,,d_counseling_bay_20_9,
d_counseling_bay_20_8,d_counseling_bay_20,Choice,120,Choice,,Locale_Counseling:d_counseling_bay_20_8,False,,1,surprise,,10,10,1.0,,d_counseling_bay_20_12,
d_counseling_bay_20_9,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_9,True,,1,idle,,10,100,1.0,,,
d_counseling_bay_20_10,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_10,False,,1,idle,,100,100,1.0,,,
d_counseling_bay_20_11,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_11,True,,1,idle,,100,100,1.0,,d_counseling_bay_20_18,
d_counseling_bay_20_12,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_12,False,,1,surprise,,10,100,1.0,,,
d_counseling_bay_20_13,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_13,True,,1,idle,,100,100,1.0,,,
d_counseling_bay_20_14,d_counseling_bay_20,Self,0,Self,,Locale_Counseling:d_counseling_bay_20_14,False,,1,idle,,100,100,1.0,,,
d_counseling_bay_20_15,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_15,True,,1,surprise,,100,100,1.0,,,
d_counseling_bay_20_16,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_16,True,,1,surprise,,100,100,1.0,,,
d_counseling_bay_20_17,d_counseling_bay_20,Speech,0,bay,bay,Locale_Counseling:d_counseling_bay_20_17,True,,1,surprise,,100,100,1.0,,d_counseling_bay_20_18,
d_counseling_bay_20_18,d_counseling_bay_20,Narration,0,Narration,,Locale_Counseling:d_counseling_bay_20_18,False,,1,idle,none,100,100,1.0,,,bay
