id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_delta_10_1,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,delta,1,idle,
d_counseling_delta_10_2,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_2,True,,S_10,S_10,1.0,,,,1,idle,
d_counseling_delta_10_3,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_3,True,,S_10,S_10,1.0,,,,1,idle,
d_counseling_delta_10_4,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_4,True,,S_10,S_10,1.0,,,,1,idle,
d_counseling_delta_10_5,d_counseling_delta_10,Choice,120,delta,,Locale_Counseling:d_counseling_delta_10_5,False,,S_10,S_10,1.0,,d_counseling_delta_10_7,,1,idle,
d_counseling_delta_10_6,d_counseling_delta_10,Choice,100,delta,,Locale_Counseling:d_counseling_delta_10_6,False,,S_10,S_10,1.0,,d_counseling_delta_10_11,,1,idle,
d_counseling_delta_10_7,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_7,True,,S_10,S_100,1.0,,,,1,delight,
d_counseling_delta_10_8,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_8,True,,S_100,S_100,1.0,,,,1,delight,
d_counseling_delta_10_9,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_9,True,,S_100,S_100,1.0,,,,1,delight,
d_counseling_delta_10_10,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_10,True,,S_100,S_100,1.0,,d_counseling_delta_10_15,,1,delight,
d_counseling_delta_10_11,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_11,True,,S_10,S_100,1.0,,,,1,idle,
d_counseling_delta_10_12,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_12,True,,S_100,S_100,1.0,,,,1,idle,
d_counseling_delta_10_13,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_13,True,,S_100,S_100,1.0,,,,1,idle,
d_counseling_delta_10_14,d_counseling_delta_10,Speech,0,delta,delta,Locale_Counseling:d_counseling_delta_10_14,True,,S_100,S_100,1.0,,,,1,idle,
d_counseling_delta_10_15,d_counseling_delta_10,Narration,0,delta,,Locale_Counseling:d_counseling_delta_10_15,False,none,S_100,S_100,1.0,,,,1,idle,delta
