id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_littlemermaid_04_1,d_counseling_littlemermaid_04,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_1,False,TreeOfWater,L_10,L_10,1.0,event_bgm_oldtales_beautifulthing,,,littlemermaid,1,idle,
d_counseling_littlemermaid_04_2,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_2,True,,L_10,L_10,1.0,,littlemermaid,,,1,idle,
d_counseling_littlemermaid_04_3,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_3,True,,L_10,L_10,1.0,,littlemermaid,,,1,delight,
d_counseling_littlemermaid_04_4,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_4,True,,L_10,L_10,1.0,,littlemermaid,,,1,delight,
d_counseling_littlemermaid_04_5,d_counseling_littlemermaid_04,Choice,100,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_5,False,,L_10,L_10,1.0,,none,d_counseling_littlemermaid_04_7,,1,delight,
d_counseling_littlemermaid_04_6,d_counseling_littlemermaid_04,Choice,120,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_6,False,,L_10,L_10,1.0,,none,d_counseling_littlemermaid_04_14,,1,delight,
d_counseling_littlemermaid_04_7,d_counseling_littlemermaid_04,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_7,False,,L_10,L_10,1.0,,,,,1,delight,
d_counseling_littlemermaid_04_8,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_8,False,,L_10,L_10,1.0,,littlemermaid,,,1,think,
d_counseling_littlemermaid_04_9,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_9,True,,L_10,L_100,1.0,,littlemermaid,,,1,think,
d_counseling_littlemermaid_04_10,d_counseling_littlemermaid_04,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_10,False,,L_100,L_100,1.0,,,,,1,think,
d_counseling_littlemermaid_04_11,d_counseling_littlemermaid_04,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_11,False,,L_100,L_100,1.0,,,,,1,think,
d_counseling_littlemermaid_04_12,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_12,True,,L_100,L_100,1.0,,littlemermaid,,,1,think,
d_counseling_littlemermaid_04_13,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_13,True,,L_100,L_100,1.0,,littlemermaid,d_counseling_littlemermaid_04_19,,1,idle,
d_counseling_littlemermaid_04_14,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_14,True,,L_10,L_100,1.0,,littlemermaid,,,1,delight,
d_counseling_littlemermaid_04_15,d_counseling_littlemermaid_04,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_15,False,,L_100,L_100,1.0,,,,,1,delight,
d_counseling_littlemermaid_04_16,d_counseling_littlemermaid_04,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_16,False,,L_100,L_100,1.0,,,,,1,delight,
d_counseling_littlemermaid_04_17,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_17,True,,L_100,L_100,1.0,,littlemermaid,,,1,delight,
d_counseling_littlemermaid_04_18,d_counseling_littlemermaid_04,Speech,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_18,True,,L_100,L_100,1.0,,littlemermaid,d_counseling_littlemermaid_04_19,,1,delight,
d_counseling_littlemermaid_04_19,d_counseling_littlemermaid_04,Narration,0,littlemermaid,Locale_Counseling:d_counseling_littlemermaid_04_19,False,none,L_100,L_100,1.0,,,,,1,idle,littlemermaid
