id,group_id,title_localkey,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_counseling_ludmilla_17_1,d_counseling_ludmilla_17,,Monologue,0,ludmilla,,Locale_Counseling:d_counseling_ludmilla_17_1,False,CommanderRoom,,,,,,10,10,0,,bgm_story_backtonormal,,None,None,,ludmilla,,1,pain,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_2,d_counseling_ludmilla_17,,Speech,0,ludmilla,ludmilla,Locale_Counseling:d_counseling_ludmilla_17_2,True,,,,,,,10,10,0,,,,None,None,,,,1,pain,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_3,d_counseling_ludmilla_17,,Narration,0,ludmilla,,Locale_Counseling:d_counseling_ludmilla_17_3,False,,,,,,,10,10,0,,,,None,None,,,,1,pain,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_4,d_counseling_ludmilla_17,,Speech,0,ludmilla,ludmilla,Locale_Counseling:d_counseling_ludmilla_17_4,False,,,,,,,10,10,0,,,,None,None,,,,1,pain,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_5,d_counseling_ludmilla_17,,Choice,100,ludmilla,,Locale_Counseling:d_counseling_ludmilla_17_5,False,,,,,,,10,10,0,,,,None,None,d_counseling_ludmilla_17_7,,,1,pain,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_6,d_counseling_ludmilla_17,,Choice,120,ludmilla,,Locale_Counseling:d_counseling_ludmilla_17_6,False,,,,,,,10,10,0,,,,None,None,d_counseling_ludmilla_17_12,,,1,pain,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_7,d_counseling_ludmilla_17,,Narration,0,ludmilla,,Locale_Counseling:d_counseling_ludmilla_17_7,False,,,,,,,10,100,0,,,Low_2,Blur_Middle,None,,,,1,angry,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_8,d_counseling_ludmilla_17,,Speech,0,ludmilla,ludmilla,Locale_Counseling:d_counseling_ludmilla_17_8,True,,,,,,,100,100,0,,,,None,None,,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_9,d_counseling_ludmilla_17,,Monologue,0,ludmilla,,Locale_Counseling:d_counseling_ludmilla_17_9,False,,,,,,,100,100,0,,,,None,None,,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_10,d_counseling_ludmilla_17,,Speech,0,ludmilla,ludmilla,Locale_Counseling:d_counseling_ludmilla_17_10,True,,,,,,,100,100,0,,,,None,None,,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_11,d_counseling_ludmilla_17,,Speech,0,ludmilla,ludmilla,Locale_Counseling:d_counseling_ludmilla_17_11,True,,,,,,,100,100,0,,,,None,None,d_counseling_ludmilla_17_14,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_12,d_counseling_ludmilla_17,,Speech,0,ludmilla,ludmilla,Locale_Counseling:d_counseling_ludmilla_17_12,True,,,,,,,10,100,0,,,,None,None,,,,1,delight,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_13,d_counseling_ludmilla_17,,Speech,0,ludmilla,ludmilla,Locale_Counseling:d_counseling_ludmilla_17_13,True,,,,,,,100,100,0,,,,None,None,,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_ludmilla_17_14,d_counseling_ludmilla_17,,Narration,0,ludmilla,,Locale_Counseling:d_counseling_ludmilla_17_14,False,none,,,,,,100,100,0,,,,None,None,,,ludmilla,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
