id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_mast_romanticmaid_17_1,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_1,True,mast_m,1,idle2,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,
d_counseling_mast_romanticmaid_17_2,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_2,True,,1,idle2,,S_10,S_10,1.0,,,
d_counseling_mast_romanticmaid_17_3,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_3,True,,1,idle2,,S_10,S_10,1.0,,,
d_counseling_mast_romanticmaid_17_4,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_4,True,,1,idle2,,S_10,S_10,1.0,,,
d_counseling_mast_romanticmaid_17_5,d_counseling_mast_romanticmaid_17,Choice,120,mast_m,,Locale_Counseling:d_counseling_mast_romanticmaid_17_5,False,,1,idle2,,S_10,S_10,1.0,,d_counseling_mast_romanticmaid_17_7,
d_counseling_mast_romanticmaid_17_6,d_counseling_mast_romanticmaid_17,Choice,100,mast_m,,Locale_Counseling:d_counseling_mast_romanticmaid_17_6,False,,1,idle2,,S_10,S_10,1.0,,d_counseling_mast_romanticmaid_17_10,
d_counseling_mast_romanticmaid_17_7,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_7,True,,1,delight,,S_10,S_100,1.0,,,
d_counseling_mast_romanticmaid_17_8,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_8,True,,1,delight,,S_100,S_100,1.0,,,
d_counseling_mast_romanticmaid_17_9,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_9,True,,1,delight,,S_100,S_100,1.0,,d_counseling_mast_romanticmaid_17_13,
d_counseling_mast_romanticmaid_17_10,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_10,True,,1,surprise,,S_10,S_100,1.0,,,
d_counseling_mast_romanticmaid_17_11,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_11,True,,1,surprise,,S_100,S_100,1.0,,,
d_counseling_mast_romanticmaid_17_12,d_counseling_mast_romanticmaid_17,Speech,0,mast_m,mast_m,Locale_Counseling:d_counseling_mast_romanticmaid_17_12,True,,1,surprise,,S_100,S_100,1.0,,d_counseling_mast_romanticmaid_17_13,
d_counseling_mast_romanticmaid_17_13,d_counseling_mast_romanticmaid_17,Narration,0,mast_m,,Locale_Counseling:d_counseling_mast_romanticmaid_17_13,False,,1,idle2,none,S_100,S_100,1.0,,,mast_m
