id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_milk_17_1,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_1,True,milk,1,idle,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,
d_counseling_milk_17_2,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_2,True,,1,idle,,S_10,S_10,1.0,,,
d_counseling_milk_17_3,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_3,True,,1,idle,,S_10,S_10,1.0,,,
d_counseling_milk_17_4,d_counseling_milk_17,Choice,120,milk,,Locale_Counseling:d_counseling_milk_17_4,False,,1,idle,,S_10,S_10,1.0,,d_counseling_milk_17_6,
d_counseling_milk_17_5,d_counseling_milk_17,Choice,100,milk,,Locale_Counseling:d_counseling_milk_17_5,False,,1,idle,,S_10,S_10,1.0,,d_counseling_milk_17_9,
d_counseling_milk_17_6,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_6,True,,1,delight,,S_10,S_100,1.0,,,
d_counseling_milk_17_7,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_7,True,,1,good,,S_100,S_100,1.0,,,
d_counseling_milk_17_8,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_8,True,,1,good,,S_100,S_100,1.0,,d_counseling_milk_17_11,
d_counseling_milk_17_9,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_9,True,,1,no,,S_10,S_100,1.0,,,
d_counseling_milk_17_10,d_counseling_milk_17,Speech,0,milk,milk,Locale_Counseling:d_counseling_milk_17_10,True,,1,no,,S_100,S_100,1.0,,,
d_counseling_milk_17_11,d_counseling_milk_17,Narration,0,milk,,Locale_Counseling:d_counseling_milk_17_11,False,,1,idle,none,S_100,S_100,1.0,,,milk
