id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_moran_16_1,d_counseling_moran_16,Speech,0,moran,moran,Locale_Counseling:d_counseling_moran_16_1,True,moran,1,think,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_moran_16_2,d_counseling_moran_16,Speech,0,moran,moran,Locale_Counseling:d_counseling_moran_16_2,True,,1,think,,10,10,1.0,,,
d_counseling_moran_16_3,d_counseling_moran_16,Choice,100,moran,,Locale_Counseling:d_counseling_moran_16_3,False,,1,think,,10,10,1.0,,d_counseling_moran_16_5,
d_counseling_moran_16_4,d_counseling_moran_16,Choice,120,moran,,Locale_Counseling:d_counseling_moran_16_4,False,,1,think,,10,10,1.0,,d_counseling_moran_16_8,
d_counseling_moran_16_5,d_counseling_moran_16,Speech,0,moran,moran,Locale_Counseling:d_counseling_moran_16_5,True,,1,worry,,10,100,1.0,,,
d_counseling_moran_16_6,d_counseling_moran_16,Speech,0,moran,moran,Locale_Counseling:d_counseling_moran_16_6,True,,1,think,,100,100,1.0,,,
d_counseling_moran_16_7,d_counseling_moran_16,Speech,0,moran,moran,Locale_Counseling:d_counseling_moran_16_7,True,,1,think,,100,100,1.0,,d_counseling_moran_16_10,
d_counseling_moran_16_8,d_counseling_moran_16,Speech,0,moran,moran,Locale_Counseling:d_counseling_moran_16_8,True,,1,think,,10,100,1.0,,,
d_counseling_moran_16_9,d_counseling_moran_16,Speech,0,moran,moran,Locale_Counseling:d_counseling_moran_16_9,True,,1,think,,100,100,1.0,,d_counseling_moran_16_10,
d_counseling_moran_16_10,d_counseling_moran_16,Narration,0,moran,,Locale_Counseling:d_counseling_moran_16_10,False,,1,think,none,100,100,1.0,,,moran
