id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_neon_11_1,d_counseling_neon_11,Speech,0,neon,neon,Locale_Counseling:d_counseling_neon_11_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,neon,1,idle,
d_counseling_neon_11_2,d_counseling_neon_11,Speech,0,neon,neon,Locale_Counseling:d_counseling_neon_11_2,True,,S_10,S_10,1.0,,,,1,idle,
d_counseling_neon_11_3,d_counseling_neon_11,Choice,120,neon,,Locale_Counseling:d_counseling_neon_11_3,False,,S_10,S_10,1.0,,d_counseling_neon_11_5,,1,idle,
d_counseling_neon_11_4,d_counseling_neon_11,Choice,100,neon,,Locale_Counseling:d_counseling_neon_11_4,False,,S_10,S_10,1.0,,d_counseling_neon_11_8,,1,idle,
d_counseling_neon_11_5,d_counseling_neon_11,Speech,0,neon,neon,Locale_Counseling:d_counseling_neon_11_5,True,,S_10,S_100,1.0,,,,1,surprise,
d_counseling_neon_11_6,d_counseling_neon_11,Speech,0,neon,neon,Locale_Counseling:d_counseling_neon_11_6,True,,S_100,S_100,1.0,,,,1,surprise,
d_counseling_neon_11_7,d_counseling_neon_11,Speech,0,neon,neon,Locale_Counseling:d_counseling_neon_11_7,True,,S_100,S_100,1.0,,d_counseling_neon_11_10,,1,no,
d_counseling_neon_11_8,d_counseling_neon_11,Speech,0,neon,neon,Locale_Counseling:d_counseling_neon_11_8,False,,S_10,S_100,1.0,,,,1,surprise,
d_counseling_neon_11_9,d_counseling_neon_11,Speech,0,neon,neon,Locale_Counseling:d_counseling_neon_11_9,True,,S_100,S_100,1.0,,,,1,worry,
d_counseling_neon_11_10,d_counseling_neon_11,Narration,0,neon,,Locale_Counseling:d_counseling_neon_11_10,False,none,S_100,S_100,1.0,,,,1,worry,neon
