id,group_id,title_localkey,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_counseling_pepper_20_1,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_1,True,CommanderRoom,,,,,,XS_10,XS_10,0,,bgm_story_backtonormal,,None,None,,pepper,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_2,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_2,True,,,,,,,XS_10,XS_10,0,,,,None,None,,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_3,d_counseling_pepper_20,,Choice,120,pepper,,Locale_Counseling:d_counseling_pepper_20_3,False,,,,,,,XS_10,XS_10,0,,,,None,None,d_counseling_pepper_20_5,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_4,d_counseling_pepper_20,,Choice,100,pepper,,Locale_Counseling:d_counseling_pepper_20_4,False,,,,,,,XS_10,XS_10,0,,,,None,None,d_counseling_pepper_20_10,,,1,idle,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_5,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_5,False,,,,,,,XS_10,XS_100,0,,,,None,None,,,,1,surprise,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_6,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_6,True,,,,,,,XS_100,XS_100,0,,,,None,None,,,,1,special,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_7,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_7,True,,,,,,,XS_100,XS_100,0,,,,None,None,,,,1,special,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_8,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_8,True,,,,,,,XS_100,XS_100,0,,,,None,None,,,,1,special,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_9,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_9,True,,,,,,,XS_100,XS_100,0,,,,None,None,d_counseling_pepper_20_14,,,1,special,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_10,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_10,False,,,,,,,XS_10,XS_100,0,,,,None,None,,,,1,surprise,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_11,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_11,True,,,,,,,XS_100,XS_100,0,,,,None,None,,,,1,shy,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_12,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_12,True,,,,,,,XS_100,XS_100,0,,,,None,None,,,,1,shy,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_13,d_counseling_pepper_20,,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_13,True,,,,,,,XS_100,XS_100,0,,,,None,None,,,,1,special,,,,,,,,,,,,,,,,,,,,False,,,,False
d_counseling_pepper_20_14,d_counseling_pepper_20,,Narration,0,pepper,,Locale_Counseling:d_counseling_pepper_20_14,False,none,,,,,,XS_100,XS_100,0,,,,None,None,,,pepper,1,special,,,,,,,,,,,,,,,,,,,,False,,,,False
