id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,jump_target
d_counseling_snowwhite_young_12_1,d_counseling_snowwhite_young_12,Narration,0,snowwhite,Narration,Locale_Counseling:d_counseling_snowwhite_young_12_1,False,snowwhite,1,pain,black,L_10,L_10,1.0,event_bgm_redash_alldownhill,,
d_counseling_snowwhite_young_12_2,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_2,True,snowwhite_o,1,idle,BattleShipBridge,L_10,S_10,1.0,,snowwhite,
d_counseling_snowwhite_young_12_3,d_counseling_snowwhite_young_12,Choice,120,snowwhite_o,,Locale_Counseling:d_counseling_snowwhite_young_12_3,False,,1,idle,,S_10,S_10,1.0,,,d_counseling_snowwhite_young_12_5
d_counseling_snowwhite_young_12_4,d_counseling_snowwhite_young_12,Choice,100,snowwhite_o,,Locale_Counseling:d_counseling_snowwhite_young_12_4,False,,1,idle,,S_10,S_10,1.0,,,d_counseling_snowwhite_young_12_10
d_counseling_snowwhite_young_12_5,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_5,True,,1,idle,,S_10,S_100,1.0,,,
d_counseling_snowwhite_young_12_6,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_6,True,,1,idle,,S_100,S_100,1.0,,,
d_counseling_snowwhite_young_12_7,d_counseling_snowwhite_young_12,Self,0,snowwhite_o,Self,Locale_Counseling:d_counseling_snowwhite_young_12_7,False,,1,idle,,S_100,S_100,1.0,,,
d_counseling_snowwhite_young_12_8,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_8,False,,1,surprise,,S_100,S_100,1.0,,,
d_counseling_snowwhite_young_12_9,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_9,True,,1,shy,,S_100,S_100,1.0,,,d_counseling_snowwhite_young_12_14
d_counseling_snowwhite_young_12_10,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_10,True,,1,idle,,S_10,S_100,1.0,,,
d_counseling_snowwhite_young_12_11,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_11,True,,1,idle,,S_100,S_100,1.0,,,
d_counseling_snowwhite_young_12_12,d_counseling_snowwhite_young_12,Self,0,snowwhite_o,Self,Locale_Counseling:d_counseling_snowwhite_young_12_12,False,,1,idle,,S_100,S_100,1.0,,,
d_counseling_snowwhite_young_12_13,d_counseling_snowwhite_young_12,Speech,0,snowwhite_o,snowwhite_o,Locale_Counseling:d_counseling_snowwhite_young_12_13,False,,1,no,,S_100,S_100,1.0,,,d_counseling_snowwhite_young_12_14
d_counseling_snowwhite_young_12_14,d_counseling_snowwhite_young_12,Narration,0,snowwhite_o,Narration,Locale_Counseling:d_counseling_snowwhite_young_12_14,False,,1,idle,none,S_100,S_100,1.0,,snowwhite_o,
