id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_RedHood_02_1,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_1,True,Desert_02_n,10,10,1.0,none,,redhood,1,idle,anis,3,idle,neon,5,idle,,,,
d_nikke_RedHood_02_2,d_nikke_RedHood_02,Self,,Self,Locale_NikkeEpisode:d_nikke_RedHood_02_2,False,,10,10,1.0,bgm_story_weare,,,1,idle,,3,idle,,5,idle,,,,
d_nikke_RedHood_02_3,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_3,True,,10,10,1.0,,,,1,surprise,,3,idle,,5,idle,,,,
d_nikke_RedHood_02_4,d_nikke_RedHood_02,Self,,Self,Locale_NikkeEpisode:d_nikke_RedHood_02_4,False,,10,10,1.0,,,,1,surprise,,3,idle,,5,idle,,,,
d_nikke_RedHood_02_5,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_5,True,,10,10,1.0,,,,1,idle,,3,idle,,5,idle,,,,
d_nikke_RedHood_02_6,d_nikke_RedHood_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_02_6,True,,30,30,1.0,,,,1,idle,,3,void,,5,idle,,,,
d_nikke_RedHood_02_7,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_7,True,,10,10,1.0,,,,1,idle,,3,void,,5,idle,,,,
d_nikke_RedHood_02_8,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_8,True,,10,10,1.0,,,,1,think,,3,void,,5,idle,,,,
d_nikke_RedHood_02_9,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_9,True,,10,10,1.0,,,,1,think,,3,void,,5,idle,,,,
d_nikke_RedHood_02_10,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_10,True,,10,10,1.0,,,,1,idle,,3,void,,5,idle,,,,
d_nikke_RedHood_02_11,d_nikke_RedHood_02,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_02_11,True,,10,10,1.0,,,,1,idle,,3,void,,5,idle,,,,
