id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/3/hide_char_id
d_nikke_anchor_innocentmaid_04_1,d_nikke_anchor_innocentmaid_04,Monologue,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_1,False,MaidCafe,100,100,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_2,d_nikke_anchor_innocentmaid_04,Monologue,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_2,False,,100,100,1.0,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_3,d_nikke_anchor_innocentmaid_04,Narration,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_3,False,,100,100,1.0,,sfx_scn_chimebell,,,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_4,d_nikke_anchor_innocentmaid_04,Self,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_4,False,,100,1,1.0,bgm_story_daytoday,,,,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_5,d_nikke_anchor_innocentmaid_04,Self,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_5,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_6,d_nikke_anchor_innocentmaid_04,Speech,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_6,True,,1,1,1.0,,,shyfemaleguest,shyfemaleguest,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_7,d_nikke_anchor_innocentmaid_04,Speech,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_7,True,,1,1,1.0,,,shyfemaleguest,shyfemaleguest,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_8,d_nikke_anchor_innocentmaid_04,Monologue,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_8,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_9,d_nikke_anchor_innocentmaid_04,Narration,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_9,False,,1,S_10,0.7,,sfx_scn_foodonfire,,,soda,15,think,cocoa,17,serious,,,,,,,,,,,,
d_nikke_anchor_innocentmaid_04_10,d_nikke_anchor_innocentmaid_04,Narration,Locale_NikkeEpisode:d_nikke_anchor_innocentmaid_04_10,False,,S_10,S_10,1.0,,sfx_scn_foodcook,,,,15,think,,17,serious,,,,,,,,,,,,
