id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_02,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id
d_nikke_anis_sparklingsummer_01_1,d_nikke_anis_sparklingsummer_01,Narration,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_1,False,Beach_d,1,1,1.0,sfx_scn_wavebreak,,,,,,,,,,,,,,
d_nikke_anis_sparklingsummer_01_2,d_nikke_anis_sparklingsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_2,False,,1,1,1.0,,bgm_story_milkyway,,,,,,,,,,,,,
d_nikke_anis_sparklingsummer_01_3,d_nikke_anis_sparklingsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_anis_sparklingsummer_01_4,d_nikke_anis_sparklingsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_4,False,,1,1,1.0,,,Blur_Low,,,,,,,,,,,,
d_nikke_anis_sparklingsummer_01_5,d_nikke_anis_sparklingsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_5,False,,1,1,1.0,,,Blur_Middle,,,,,,,,,,,,
d_nikke_anis_sparklingsummer_01_6,d_nikke_anis_sparklingsummer_01,Monologue,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_6,False,,1,1,1.0,,none,Blur_High,,,,,,,,,,,,
d_nikke_anis_sparklingsummer_01_7,d_nikke_anis_sparklingsummer_01,Speech,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_7,True,,1,1,1.0,,,Blur_High,anis_s,anis_s,anis_s,1,angry,,,,,,,
d_nikke_anis_sparklingsummer_01_8,d_nikke_anis_sparklingsummer_01,Speech,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_8,True,,1,XS_10,1.0,,,Blur_Middle,anis_s,anis_s,,1,angry,,,,,,,
d_nikke_anis_sparklingsummer_01_9,d_nikke_anis_sparklingsummer_01,Speech,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_9,True,,XS_10,XS_100,1.0,,,Blur_Low,anis_s,anis_s,,1,angry,,,,,,,
d_nikke_anis_sparklingsummer_01_10,d_nikke_anis_sparklingsummer_01,Self,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_10,False,,XS_100,XS_100,1.0,,bgm_story_cosmos,,,,,1,angry,,,,,,,
d_nikke_anis_sparklingsummer_01_11,d_nikke_anis_sparklingsummer_01,Speech,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_11,True,,XS_100,XS_10,1.0,,,,anis_s,anis_s,,1,angry,,,,,,,
d_nikke_anis_sparklingsummer_01_12,d_nikke_anis_sparklingsummer_01,Speech,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_12,True,,XS_10,XS_10,1.0,,,,anis_s,anis_s,,1,worry,,,,,,,
d_nikke_anis_sparklingsummer_01_13,d_nikke_anis_sparklingsummer_01,Choice,Locale_NikkeEpisode:d_nikke_anis_sparklingsummer_01_13,False,,XS_10,XS_10,1.0,,,,,,,1,worry,d_nikke_anis_sparklingsummer_01_15,,,,,,
