id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_bready_01_1,d_nikke_bready_01,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_01_1,True,CommanderRoom_n,black,black,1.0,bgm_story_tepidappleade,,,bready,2,shy,,,,
d_nikke_bready_01_2,d_nikke_bready_01,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_01_2,True,,black,black,1.0,,,,,2,shy,,,,
d_nikke_bready_01_3,d_nikke_bready_01,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_01_3,False,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_4,d_nikke_bready_01,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_01_4,True,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_5,d_nikke_bready_01,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_01_5,True,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_6,d_nikke_bready_01,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_01_6,False,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_7,d_nikke_bready_01,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_01_7,True,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_8,d_nikke_bready_01,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_01_8,True,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_9,d_nikke_bready_01,Speech,bready,bready,Locale_NikkeEpisode:d_nikke_bready_01_9,True,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_10,d_nikke_bready_01,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_01_10,False,,S_200,S_200,1.0,,,,,2,shy,,,,
d_nikke_bready_01_11,d_nikke_bready_01,Self,bready,,Locale_NikkeEpisode:d_nikke_bready_01_11,False,,S_200,S_200,1.0,,,,,2,shy,,,,
