id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_nikke_ce004_03_05_1,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_1,True,ce004_03_s,12,idle,rei,2,idle,Park_n,1,1,1.0,bgm_story_inwonderland,,
d_nikke_ce004_03_05_2,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_2,True,,12,idle,,2,idle,,1,1,1.0,,,
d_nikke_ce004_03_05_3,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_3,True,,12,idle,,2,idle,,1,1,1.0,,,
d_nikke_ce004_03_05_4,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_4,True,,12,idle,,2,idle,,1,1,1.0,,,
d_nikke_ce004_03_05_5,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_5,True,,12,idle,,2,idle,,1,1,1.0,,,
d_nikke_ce004_03_05_6,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_6,True,,12,idle,,2,idle,,1,120,1.0,,,
d_nikke_ce004_03_05_7,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_7,True,,12,idle,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_8,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_8,True,,12,idle,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_9,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_9,True,,12,idle,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_10,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_10,True,,12,idle,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_11,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_11,True,,12,idle,,2,idle,,120,XS_20,1.0,,,
d_nikke_ce004_03_05_12,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_12,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,
d_nikke_ce004_03_05_13,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_13,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,
d_nikke_ce004_03_05_14,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_14,True,,12,delight,,2,idle,,XS_20,120,1.0,,,
d_nikke_ce004_03_05_15,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_15,True,,12,delight,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_16,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_16,True,,12,idle,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_17,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_17,True,,12,idle,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_18,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_18,True,,12,idle,,2,idle,,120,120,1.0,,,
d_nikke_ce004_03_05_19,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_19,True,,12,idle,,2,idle,,120,XS_20,1.0,,,
d_nikke_ce004_03_05_20,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_20,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,
d_nikke_ce004_03_05_21,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_21,True,,12,idle,,2,idle,,XS_20,XS_20,1.0,,,
d_nikke_ce004_03_05_22,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_22,True,,12,idle,,2,delight,,XS_20,XS_20,1.0,,,
d_nikke_ce004_03_05_23,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_23,True,,12,idle,,2,delight,,XS_20,XS_20,1.0,,,
d_nikke_ce004_03_05_24,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_24,True,,12,surprise,,2,delight,,XS_20,1,1.0,,,
d_nikke_ce004_03_05_25,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_25,True,,12,surprise,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_26,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_26,True,,12,idle,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_27,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_27,True,,12,idle,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_28,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_28,True,,12,idle,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_29,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_29,True,,12,idle,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_30,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_30,True,,12,idle,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_31,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_31,True,,12,idle,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_32,d_nikke_ce004_03_05,Speech,ce004_03_s,ce004_03_s,Locale_NikkeEpisode:d_nikke_ce004_03_05_32,True,,12,idle,,2,delight,,1,1,1.0,,,
d_nikke_ce004_03_05_33,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_33,True,,12,idle,,2,idle,,1,1,1.0,,,
d_nikke_ce004_03_05_34,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_34,True,,12,idle,,2,idle,,1,1,1.0,,,
d_nikke_ce004_03_05_35,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_35,True,,12,idle,,2,idle,,1,1,1.0,,,
d_nikke_ce004_03_05_36,d_nikke_ce004_03_05,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_ce004_03_05_36,True,,12,idle,,2,idle,,1,1,1.0,,,
