id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_ce006_03_02_1,d_nikke_ce006_03_02,Narration,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_1,False,artcity_d,black,black,1.0,sfx_scn_poke,bgm_story_boing,,ce006_npc_01,3,idle,ce006_03,1,no,elegg,13,special
d_nikke_ce006_03_02_2,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_2,True,,S_1300,S_130,0.7,,,elegg,,3,idle,,1,no,,13,special
d_nikke_ce006_03_02_3,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_3,False,,S_130,12,1.3,,,ce006_03,,3,idle,,1,surprise,,13,special
d_nikke_ce006_03_02_4,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_4,True,,12,12,1.0,,,ce006_03,,3,idle,,1,surprise,,13,special
d_nikke_ce006_03_02_5,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_5,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,13,special
d_nikke_ce006_03_02_6,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_6,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,13,special
d_nikke_ce006_03_02_7,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_7,True,,12,12,1.0,,,elegg,,3,idle,,1,surprise,,13,special
d_nikke_ce006_03_02_8,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_8,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,13,special
d_nikke_ce006_03_02_9,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_9,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,13,special
d_nikke_ce006_03_02_10,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_10,True,,12,12,1.0,,,ce006_03,,3,idle,,1,no,,13,special
d_nikke_ce006_03_02_11,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_11,True,,12,12,1.0,,,elegg,,3,idle,,1,no,,13,idle
d_nikke_ce006_03_02_12,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_12,True,,12,12,1.0,,,ce006_03,,3,idle,,1,idle,,13,idle
d_nikke_ce006_03_02_13,d_nikke_ce006_03_02,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_02_13,True,,30,30,1.0,,,ce006_npc_01,,3,pain,,1,idle,,13,idle
d_nikke_ce006_03_02_14,d_nikke_ce006_03_02,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_02_14,True,,30,30,1.0,,,ce006_npc_01,,3,pain,,1,idle,,13,idle
d_nikke_ce006_03_02_15,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_15,True,,12,12,1.0,,,ce006_03,,3,pain,,1,idle,,13,idle
d_nikke_ce006_03_02_16,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_16,True,,12,12,1.0,,,ce006_03,,3,pain,,1,delight,,13,idle
d_nikke_ce006_03_02_17,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_17,True,,12,12,1.0,,,elegg,,3,pain,,1,delight,,13,idle
d_nikke_ce006_03_02_18,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_18,True,,12,12,1.0,,,elegg,,3,pain,,1,delight,,13,idle
d_nikke_ce006_03_02_19,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_19,True,,12,12,1.0,,,ce006_03,,3,pain,,1,idle,,13,idle
d_nikke_ce006_03_02_20,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_20,True,,12,12,1.0,,,ce006_03,,3,pain,,1,idle,,13,idle
d_nikke_ce006_03_02_21,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_21,True,,12,S_130,1.3,,,elegg,,3,pain,,1,idle,,13,think
d_nikke_ce006_03_02_22,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_22,True,,S_130,S_130,1.0,,,elegg,,3,pain,,1,idle,,13,think
d_nikke_ce006_03_02_23,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_23,True,,S_130,S_130,1.0,,,elegg,,3,pain,,1,idle,,13,think
d_nikke_ce006_03_02_24,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_24,True,,S_130,S_130,1.0,,,elegg,,3,pain,,1,idle,,13,special
d_nikke_ce006_03_02_25,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_25,True,,S_130,S_10,1.3,,,ce006_03,,3,pain,,1,idle,,13,special
d_nikke_ce006_03_02_26,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_26,True,,S_10,S_10,1.0,,,ce006_03,,3,pain,,1,delight,,13,special
d_nikke_ce006_03_02_27,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_27,True,,S_10,S_10,1.0,,,ce006_03,,3,pain,,1,delight,,13,special
d_nikke_ce006_03_02_28,d_nikke_ce006_03_02,Narration,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_28,False,,black,black,1.0,sfx_scn_capsuleopen,none,,,3,pain,,1,special,,13,special
d_nikke_ce006_03_02_29,d_nikke_ce006_03_02,Monologue,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_29,False,,black,black,1.0,,,,,3,idle,,1,special,,13,special
d_nikke_ce006_03_02_30,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_30,True,,S_130,S_1300,1.5,,,elegg,,3,idle,,1,special,,13,special
d_nikke_ce006_03_02_31,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_31,False,,2,2,1.0,,,ce006_03,,3,idle,,1,special,,13,special
d_nikke_ce006_03_02_32,d_nikke_ce006_03_02,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_02_32,False,,2,2,1.0,,,ce006_npc_01,,3,idle,,1,special,,13,special
d_nikke_ce006_03_02_33,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_33,False,,S_1300,S_1300,1.0,,bgm_story_tepidappleade,elegg,,3,idle,,1,special,,13,special
d_nikke_ce006_03_02_34,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_34,False,,2,2,1.0,,,ce006_03,,3,surprise,,1,no,,13,special
d_nikke_ce006_03_02_35,d_nikke_ce006_03_02,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_02_35,False,,2,2,1.0,,,ce006_npc_01,,3,surprise,,1,no,,13,special
d_nikke_ce006_03_02_36,d_nikke_ce006_03_02,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_02_36,True,,2,2,1.0,,,ce006_npc_01,,3,surprise,,1,no,,13,special
d_nikke_ce006_03_02_37,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_37,True,,2,2,1.0,,,ce006_03,,3,surprise,,1,no,,13,special
d_nikke_ce006_03_02_38,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_38,True,,S_1300,S_130,1.3,,,elegg,,3,surprise,,1,no,,13,special
d_nikke_ce006_03_02_39,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_39,True,,S_130,S_130,1.0,,,elegg,,3,surprise,,1,no,,13,special
d_nikke_ce006_03_02_40,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_40,True,,S_130,12,1.3,,,ce006_03,,3,surprise,,1,idle,,13,special
d_nikke_ce006_03_02_41,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_41,True,,12,12,1.0,,,ce006_03,,3,surprise,,1,delight,,13,special
d_nikke_ce006_03_02_42,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_42,True,,12,12,1.0,,none,elegg,,3,surprise,,1,delight,,13,surprise
d_nikke_ce006_03_02_43,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_43,True,,12,12,1.0,,,elegg,,3,surprise,,1,delight,,13,surprise
d_nikke_ce006_03_02_44,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_44,True,,12,12,1.0,,,ce006_03,,3,surprise,,1,no,,13,surprise
d_nikke_ce006_03_02_45,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_45,True,,12,12,1.0,,,elegg,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_46,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_46,True,,12,12,1.0,,,elegg,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_47,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_47,True,,12,12,1.0,,,elegg,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_48,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_48,True,,12,12,1.0,,,elegg,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_49,d_nikke_ce006_03_02,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_02_49,True,,12,2,1.3,,,ce006_npc_01,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_50,d_nikke_ce006_03_02,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_02_50,True,,2,2,1.0,,,ce006_npc_01,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_51,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_51,True,,2,2,1.0,,,ce006_03,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_52,d_nikke_ce006_03_02,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_02_52,True,,2,2,1.0,,,ce006_03,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_53,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_53,True,,S_130,S_130,1.0,,,elegg,,3,surprise,,1,no,,13,idle
d_nikke_ce006_03_02_54,d_nikke_ce006_03_02,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_02_54,True,,S_130,S_1300,1.3,,,elegg,,3,surprise,,1,no,,13,idle
