id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce_02_01_04_1,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_1,False,RuinIndoor,black,black,1.0,sfx_scn_rustydooropen,event_bgm_ce002_story_2,,,,ce_02_01,1,idle,rapi,13,idle
d_nikke_ce_02_01_04_2,d_nikke_ce_02_01_04,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_01_04_2,False,,17,17,1.0,,,,,,,1,idle,,13,idle
d_nikke_ce_02_01_04_3,d_nikke_ce_02_01_04,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_01_04_3,False,,17,17,1.0,,,,,,,1,idle,,13,idle
d_nikke_ce_02_01_04_4,d_nikke_ce_02_01_04,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_01_04_4,False,,17,17,1.0,,,,,,,1,idle,,13,idle
d_nikke_ce_02_01_04_5,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_5,True,,17,113,2.0,,,ce_02_01,ce_02_01,,,1,idle,,13,idle
d_nikke_ce_02_01_04_6,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_6,True,,113,113,1.0,,,rapi,rapi,,,1,idle,,13,idle
d_nikke_ce_02_01_04_7,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_7,True,,113,113,1.0,,,rapi,rapi,,,1,idle,,13,idle
d_nikke_ce_02_01_04_8,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_8,True,,113,113,1.0,,,rapi,rapi,,,1,idle,,13,idle
d_nikke_ce_02_01_04_9,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_9,True,,113,113,1.0,,,ce_02_01,ce_02_01,,,1,idle,,13,idle
d_nikke_ce_02_01_04_10,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_10,False,,black,black,1.0,,,,,,,1,idle,,13,idle
d_nikke_ce_02_01_04_11,d_nikke_ce_02_01_04,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_01_04_11,False,,black,black,1.0,,,,,,,1,idle,,13,idle
d_nikke_ce_02_01_04_12,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_12,True,,113,113,1.0,,,rapi,rapi,,,1,idle,,13,idle
d_nikke_ce_02_01_04_13,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_13,True,,113,113,1.0,,,ce_02_01,ce_02_01,,,1,idle,,13,idle
d_nikke_ce_02_01_04_14,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_14,False,,black,black,1.0,sfx_scn_paperopen,,,,,,1,idle,,13,idle
d_nikke_ce_02_01_04_15,d_nikke_ce_02_01_04,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_01_04_15,False,Factory,black,black,1.0,,,,,,,1,idle,,13,idle
d_nikke_ce_02_01_04_16,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_16,False,,17,17,1.0,,,,,Grey,,1,idle,,13,idle
d_nikke_ce_02_01_04_17,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_17,False,,17,17,1.0,,,,,Grey,,1,idle,,13,idle
d_nikke_ce_02_01_04_18,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_18,False,,17,170,1.0,,,,,Grey,,1,idle,,13,idle
d_nikke_ce_02_01_04_19,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_19,False,,170,170,1.0,,,,,Grey,,1,idle,,13,idle
d_nikke_ce_02_01_04_20,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_20,False,,170,170,1.0,,,,,Grey,,1,idle,,13,idle
d_nikke_ce_02_01_04_21,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_21,False,RuinIndoor,170,130,2.0,,,rapi,rapi,,,1,idle,,13,idle
d_nikke_ce_02_01_04_22,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_22,True,,130,130,1.0,,,rapi,rapi,,,1,idle,,13,idle
d_nikke_ce_02_01_04_23,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_23,True,,130,130,1.0,,,rapi,rapi,,,1,idle,,13,idle
d_nikke_ce_02_01_04_24,d_nikke_ce_02_01_04,Speech,Locale_NikkeEpisode:d_nikke_ce_02_01_04_24,True,,130,10,1.0,,,ce_02_01,ce_02_01,,,1,idle,,13,idle
d_nikke_ce_02_01_04_25,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_25,False,Factory,black,black,1.0,sfx_scn_paperopen,,,,Grey,,1,idle,,13,idle
d_nikke_ce_02_01_04_26,d_nikke_ce_02_01_04,Narration,Locale_NikkeEpisode:d_nikke_ce_02_01_04_26,False,,black,black,1.0,,,,,Grey,,1,idle,,13,idle
