id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_camera_shake,characters/6/hide_char_id,characters/7/hide_char_id
d_nikke_cocoa_01_1,d_nikke_cocoa_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_01_1,False,anis,2,idle,neon,12,idle,rapi,14,idle,Cafe,7,7,1.0,sfx_scn_chimebell,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_cocoa_01_2,d_nikke_cocoa_01,Speech,ade,Locale_NikkeEpisode:d_nikke_cocoa_01_2,True,,2,idle,,12,idle,,14,idle,,7,7,1.0,,ade,ade,8,delight,soda,6,idle,bgm_story_orangepop,,,,,,,,,,,,,,,,
d_nikke_cocoa_01_3,d_nikke_cocoa_01,Speech,soda,Locale_NikkeEpisode:d_nikke_cocoa_01_3,True,,2,idle,,12,idle,,14,idle,,7,7,1.0,,soda,,8,idle,,6,idle,,,,,,,,,,,,,,,,,
d_nikke_cocoa_01_4,d_nikke_cocoa_01,Speech,anis,Locale_NikkeEpisode:d_nikke_cocoa_01_4,True,,2,idle,,12,idle,,14,idle,,1,1,1.0,,anis,,8,idle,,6,idle,,,,,,,,,,,,,,,,,
d_nikke_cocoa_01_5,d_nikke_cocoa_01,Speech,neon,Locale_NikkeEpisode:d_nikke_cocoa_01_5,True,,2,idle,,12,idle,,14,idle,,1,1,1.0,,neon,,8,idle,,6,idle,,,,,,,,,,,,,,,,,
d_nikke_cocoa_01_6,d_nikke_cocoa_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_cocoa_01_6,False,,2,idle,,12,idle,,14,idle,,black,black,1.0,sfx_scn_run,,,8,idle,,6,idle,,,,,,,,,,,,,,,,,
d_nikke_cocoa_01_7,d_nikke_cocoa_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_01_7,True,,2,idle,,12,idle,,14,idle,,4,XS_40,1.0,,cocoa,,8,idle,,6,idle,,cocoa,4,delight,,,,,,,,,,,,,
d_nikke_cocoa_01_8,d_nikke_cocoa_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_01_8,True,,2,idle,,12,idle,,14,idle,,XS_40,XS_40,1.0,,cocoa,,8,idle,,6,idle,,,4,delight,,,,,,,,,,,,,
d_nikke_cocoa_01_9,d_nikke_cocoa_01,Speech,cocoa,Locale_NikkeEpisode:d_nikke_cocoa_01_9,True,,2,idle,,12,idle,,14,idle,,XS_40,XS_40,1.0,,cocoa,,8,idle,,6,idle,,,4,delight,,,,,,,,,,,,,
d_nikke_cocoa_01_10,d_nikke_cocoa_01,Speech,neon,Locale_NikkeEpisode:d_nikke_cocoa_01_10,True,,2,idle,,12,surprise,,14,idle,,S_120,S_120,1.0,,neon,,8,idle,,6,idle,,,4,delight,,,,,,,,,,,,,
