id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,speaker,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_diesel_05_1,d_nikke_diesel_05,Narration,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_1,False,MachineRoom,black,black,1.0,sfx_scn_trainrun,bgm_story_weare,Low_2,Grey,Vignetting,,,,diesel,1,idle,
d_nikke_diesel_05_2,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_2,False,,100,10,0.5,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_3,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_3,False,,10,10,1.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_4,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_4,False,,10,10,1.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_5,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_5,False,,10,10,1.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_6,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_6,False,,10,10,1.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_7,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_7,True,,10,100,2.0,,,,Grey,Vignetting,diesel,,,,1,delight,
d_nikke_diesel_05_8,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_8,False,,100,100,1.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_9,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_9,False,,100,100,1.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_10,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_10,True,,100,100,1.0,,,,Grey,Vignetting,diesel,,,,1,delight,
d_nikke_diesel_05_11,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_11,False,,100,10,0.5,,,,Grey,Vignetting,child01,,,,1,surprise,
d_nikke_diesel_05_12,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_12,True,,10,10,1.0,,,,Grey,Vignetting,diesel,,,,1,worry,
d_nikke_diesel_05_13,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_13,False,,10,10,1.0,,,,Grey,Vignetting,child01,,,,1,worry,
d_nikke_diesel_05_14,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_14,False,,10,10,1.0,,,,Grey,Vignetting,child01,,,,1,worry,
d_nikke_diesel_05_15,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_15,True,,10,10,1.0,,,,Grey,Vignetting,diesel,,,,1,delight,
d_nikke_diesel_05_16,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_16,False,,10,100,2.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_17,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_17,False,none,black,black,1.0,,none,,Grey,Vignetting,child01,,,,1,idle,diesel
d_nikke_diesel_05_18,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_18,False,,black,black,1.0,,,,Grey,Vignetting,child01,,,,1,idle,
d_nikke_diesel_05_19,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_19,False,Park_n,100,10,2.0,,,,,,diesel,,,diesel,1,idle,
d_nikke_diesel_05_20,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_20,False,,10,10,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_21,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_21,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_22,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_22,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_23,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_23,False,,10,100,2.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_24,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_24,False,,100,100,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_25,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_25,True,,100,100,1.0,,bgm_story_weare,,,,diesel,,,,1,shy,
d_nikke_diesel_05_26,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_26,False,,100,100,1.0,,,,,,diesel,,,,1,shy,
d_nikke_diesel_05_27,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_27,True,,100,100,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_28,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_28,True,,100,100,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_29,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_29,False,,100,10,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_30,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_30,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_31,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_31,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_32,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_32,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_33,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_33,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_34,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_34,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_35,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_35,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_36,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_36,True,,10,10,1.0,,,,,,diesel,,,,1,cry,
d_nikke_diesel_05_37,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_37,True,,10,10,1.0,,,,,,diesel,,,,1,cry,
d_nikke_diesel_05_38,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_38,False,,10,100,2.0,,,,,,,,,,1,cry,
d_nikke_diesel_05_39,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_39,True,none,black,black,1.0,,,,,,diesel,,,,,,diesel
d_nikke_diesel_05_40,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_40,True,,black,black,1.0,,,,,,diesel,,,,,,
d_nikke_diesel_05_41,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_41,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_diesel_05_42,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_42,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_diesel_05_43,d_nikke_diesel_05,Monologue,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_43,False,,black,black,1.0,,,,,,,,,,,,
d_nikke_diesel_05_44,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_44,True,City,150,10,2.0,,none,,,,diesel,black,,diesel,1,idle,
d_nikke_diesel_05_45,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_45,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_46,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_46,False,,10,10,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_47,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_47,True,,10,10,1.0,,bgm_story_shapeofhope,,,,diesel,,,,1,idle,
d_nikke_diesel_05_48,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_48,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_49,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_49,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
d_nikke_diesel_05_50,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_50,True,,10,10,1.0,,,,,,diesel,,,,1,idle,
d_nikke_diesel_05_51,d_nikke_diesel_05,Self,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_51,False,,10,10,1.0,,,,,,,,,,1,idle,
d_nikke_diesel_05_52,d_nikke_diesel_05,Speech,diesel,Locale_NikkeEpisode:d_nikke_diesel_05_52,True,,10,10,1.0,,,,,,diesel,,,,1,delight,
