id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,set_camera_shake,set_filter_01,fade,conversation_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/show_char_id,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_exia_03_1,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_1,False,RuinIndoor,1,10,1.0,sfx_scn_walk,none,,,,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_2,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_2,True,,10,10,1.0,,,exia,exia,,,,,,1,idle,exia,,,,,,,,,
d_nikke_exia_03_3,d_nikke_exia_03,Choice,Locale_NikkeEpisode:d_nikke_exia_03_3,False,,10,10,1.0,,,exia,,d_nikke_exia_03_6,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_4,d_nikke_exia_03,Choice,Locale_NikkeEpisode:d_nikke_exia_03_4,False,,10,10,1.0,,,exia,,d_nikke_exia_03_9,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_5,d_nikke_exia_03,Choice,Locale_NikkeEpisode:d_nikke_exia_03_5,False,,10,10,1.0,,,exia,,d_nikke_exia_03_12,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_6,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_6,True,,10,10,1.0,,bgm_story_whosdumber,exia,exia,,,,,,4,delight,,,,,,,,,,
d_nikke_exia_03_7,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_7,False,,19,19,1.0,,,,,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_8,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_8,False,,19,19,0.5,sfx_scn_fanfare,,,,d_nikke_exia_03_18,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_9,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_9,True,,10,10,1.0,,bgm_story_whosdumber,exia,exia,,,,,,1,delight,,exia,,,,,,,,
d_nikke_exia_03_10,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_10,False,,19,19,1.0,sfx_scn_glassbreak,,,,,Low_2,,,,4,delight,,,,,,,,,,
d_nikke_exia_03_11,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_11,False,,19,19,1.0,sfx_scn_fanfare,,,,d_nikke_exia_03_18,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_12,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_12,True,,10,10,1.0,,bgm_story_whosdumber,exia,exia,,,,,,1,delight,,exia,,,,,,,,
d_nikke_exia_03_13,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_13,False,,19,19,1.0,sfx_scn_fanfare,,,,,,,,,4,delight,,,,,,,,,,
d_nikke_exia_03_14,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_14,False,,19,19,1.0,,,,,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_15,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_15,False,,19,19,1.0,,,,,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_16,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_16,False,,19,19,1.0,,,,,,,Blur_Low,,,1,delight,,,,,,,,,,
d_nikke_exia_03_17,d_nikke_exia_03,Self,Locale_NikkeEpisode:d_nikke_exia_03_17,False,,19,19,1.0,,,,,d_nikke_exia_03_18,,Blur_Low,,,1,delight,,,,,,,,,,
d_nikke_exia_03_18,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_18,True,,1,1,1.0,,,exia,exia,,,,,,1,idle,exia,,,,,,,,,
d_nikke_exia_03_19,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_19,True,,1,1,1.0,,,exia,exia,,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_20,d_nikke_exia_03,Self,Locale_NikkeEpisode:d_nikke_exia_03_20,False,,1,1,1.0,,,exia,,,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_21,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_21,True,,1,1,1.0,,,exia,exia,,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_22,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_22,True,,1,10,1.0,,,exia,exia,,,,,,1,idle,,,,,,,,,,
d_nikke_exia_03_23,d_nikke_exia_03,Monologue,Locale_NikkeEpisode:d_nikke_exia_03_23,False,,black,black,1.0,,,,,,,,,,1,idle,,exia,,,,,,,,
d_nikke_exia_03_24,d_nikke_exia_03,Monologue,Locale_NikkeEpisode:d_nikke_exia_03_24,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_exia_03_25,d_nikke_exia_03,Choice,Locale_NikkeEpisode:d_nikke_exia_03_25,False,RuinIndoor,1,1,1.0,,,,,d_nikke_exia_03_27,,,,,,,,,,,,,,,,
d_nikke_exia_03_26,d_nikke_exia_03,Choice,Locale_NikkeEpisode:d_nikke_exia_03_26,False,,1,1,1.0,,,,,d_nikke_exia_03_27,,,,,,,,,,,,,,,,
d_nikke_exia_03_27,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_27,True,,10,10,1.0,,,exia,exia,,,,,,1,delight,exia,,,,,,,,,
d_nikke_exia_03_28,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_28,True,,10,10,1.0,,,exia,exia,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_29,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_29,False,,10,10,1.0,sfx_scn_sofasheet,none,exia,,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_30,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_30,False,,10,50,2.0,,,exia,,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_31,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_31,True,,50,10,1.0,,,exia,exia,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_32,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_32,True,,10,S_100,0.5,,,exia,exia,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_33,d_nikke_exia_03,Self,Locale_NikkeEpisode:d_nikke_exia_03_33,False,,S_100,S_100,1.0,,,exia,,,,,,,1,delight,,,,,,,,,,
d_nikke_exia_03_34,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_34,False,,7,7,1.5,,,unknown,unknown,,,,,,1,delight,,exia,,,,,,,,
d_nikke_exia_03_35,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_35,False,,7,7,1.0,sfx_scn_trip,,,,,Low_2,,,,,,,,,,,,,,,
d_nikke_exia_03_36,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_36,False,,7,7,1.0,,,,,,,,,,,,,,,,,,,,,
d_nikke_exia_03_37,d_nikke_exia_03,Narration,Locale_NikkeEpisode:d_nikke_exia_03_37,False,,7,70,1.0,sfx_scn_heavytrip,,,,,Low_2,,,,,,,,,,,,,,,
d_nikke_exia_03_38,d_nikke_exia_03,Speech,Locale_NikkeEpisode:d_nikke_exia_03_38,True,,70,10,1.0,,bgm_story_whosdumber,exia,exia,,,,,,1,delight,exia,,,,,,,,,
