id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,play_sound,fade,jump_target
d_nikke_folkwang_05_1,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_1,False,Park,17,1,2.0,bgm_story_cosmos,,,,,,,,,
d_nikke_folkwang_05_2,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_2,False,,1,1,1.0,,,,,,,,,,
d_nikke_folkwang_05_3,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_3,False,,1,10,2.0,,folkwang,1,idle,,,,,,
d_nikke_folkwang_05_4,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_4,True,,10,100,0.5,,,1,idle,folkwang,folkwang,,,,
d_nikke_folkwang_05_5,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_5,False,,100,100,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_6,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_6,False,,100,100,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_7,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_7,False,,100,100,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_8,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_8,False,,100,100,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_9,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_9,False,,black,black,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_10,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_10,False,,black,black,1.0,,,1,idle,folkwang,,folkwang,,,
d_nikke_folkwang_05_11,d_nikke_folkwang_05,Narration,Locale_NikkeEpisode:d_nikke_folkwang_05_11,False,,100,100,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_12,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_12,False,,100,10,1.0,,folkwang,1,idle,folkwang,,,,,
d_nikke_folkwang_05_13,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_13,True,,10,10,1.0,,,1,idle,folkwang,announcement,,,,
d_nikke_folkwang_05_14,d_nikke_folkwang_05,Narration,Locale_NikkeEpisode:d_nikke_folkwang_05_14,False,,black,black,1.0,,,1,idle,folkwang,,,sfx_scn_finishshot,,
d_nikke_folkwang_05_15,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_15,False,,black,black,0.5,,,1,idle,folkwang,,folkwang,,,
d_nikke_folkwang_05_16,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_16,False,,black,black,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_17,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_17,False,,black,black,1.0,,folkwang,1,idle,folkwang,,,,,
d_nikke_folkwang_05_18,d_nikke_folkwang_05,Narration,Locale_NikkeEpisode:d_nikke_folkwang_05_18,False,,5,1,0.5,,,1,idle,folkwang,,,sfx_scn_waterslide,,
d_nikke_folkwang_05_19,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_19,False,,1,1,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_20,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_20,False,,1,1,1.0,,,1,idle,folkwang,,,,,
d_nikke_folkwang_05_21,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_21,False,,1,100,0.5,,,1,idle,folkwang,,folkwang,,,
d_nikke_folkwang_05_22,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_22,True,,black,black,1.0,,,1,idle,folkwang,unknown,,sfx_scn_crowdcheer,,
d_nikke_folkwang_05_23,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_23,False,,black,black,1.0,,folkwang,1,idle,folkwang,,,,,
d_nikke_folkwang_05_24,d_nikke_folkwang_05,Speech,Locale_NikkeEpisode:d_nikke_folkwang_05_24,True,,100,10,2.0,,,1,delight,folkwang,folkwang,,,,
d_nikke_folkwang_05_25,d_nikke_folkwang_05,Monologue,Locale_NikkeEpisode:d_nikke_folkwang_05_25,False,,10,10,1.0,,,1,delight,folkwang,,,,,
