id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
d_nikke_grave_01_1,d_nikke_grave_01,Narration,Locale_NikkeEpisode:d_nikke_grave_01_1,False,Hospital_n,6,1,1.0,none,,,,,,,
d_nikke_grave_01_2,d_nikke_grave_01,Monologue,Locale_NikkeEpisode:d_nikke_grave_01_2,False,,1,1,1.0,,,,,,,,
d_nikke_grave_01_3,d_nikke_grave_01,Monologue,Locale_NikkeEpisode:d_nikke_grave_01_3,False,,1,1,1.0,,,,,,,,
d_nikke_grave_01_4,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_4,False,,1,1,1.0,,,,,,,,
d_nikke_grave_01_5,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_5,False,,1,1,1.0,,,,,,,,
d_nikke_grave_01_6,d_nikke_grave_01,Narration,Locale_NikkeEpisode:d_nikke_grave_01_6,False,,1,10,1.0,,sfx_scn_knock,,,,,,
d_nikke_grave_01_7,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_7,False,,10,10,1.0,,,,,,,,
d_nikke_grave_01_8,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_8,True,,10,10,1.0,bgm_intotheswarm,,grave_p,grave_p,,,,
d_nikke_grave_01_9,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_9,False,,10,10,1.0,,,,,,,,
d_nikke_grave_01_10,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_10,True,,10,10,1.0,,,grave_p,grave_p,,,,
d_nikke_grave_01_11,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_11,False,,10,10,1.0,,,grave_p,,,,,
d_nikke_grave_01_12,d_nikke_grave_01,Monologue,Locale_NikkeEpisode:d_nikke_grave_01_12,False,,10,1,1.0,,sfx_scn_autodooropen,grave_p,,grave_p,1,idle,
d_nikke_grave_01_13,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_13,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_14,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_14,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_15,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_15,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_16,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_16,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_17,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_17,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_18,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_18,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_19,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_19,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_20,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_20,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_21,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_21,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_22,d_nikke_grave_01,Choice,Locale_NikkeEpisode:d_nikke_grave_01_22,False,,1,1,1.0,,,grave_p,,,1,idle,d_nikke_grave_01_24
d_nikke_grave_01_23,d_nikke_grave_01,Choice,Locale_NikkeEpisode:d_nikke_grave_01_23,False,,1,1,1.0,,,grave_p,,,1,idle,d_nikke_grave_01_31
d_nikke_grave_01_24,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_24,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_25,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_25,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_26,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_26,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_27,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_27,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_28,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_28,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_29,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_29,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_30,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_30,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,d_nikke_grave_01_36
d_nikke_grave_01_31,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_31,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_32,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_32,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_33,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_33,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_34,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_34,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_35,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_35,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,d_nikke_grave_01_36
d_nikke_grave_01_36,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_36,False,,1,L_10,0.7,,,grave_p,grave_p,,1,surprise,
d_nikke_grave_01_37,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_37,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,surprise,
d_nikke_grave_01_38,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_38,False,,L_10,L_10,1.0,,,grave_p,,,1,surprise,
d_nikke_grave_01_39,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_39,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,surprise,
d_nikke_grave_01_40,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_40,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,surprise,
d_nikke_grave_01_41,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_41,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_42,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_42,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_43,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_43,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_44,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_44,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_45,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_45,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_46,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_46,False,,L_10,L_10,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_47,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_47,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_48,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_48,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_49,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_49,True,,L_10,L_10,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_50,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_50,False,,L_10,L_10,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_51,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_51,True,,L_10,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_52,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_52,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_53,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_53,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_54,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_54,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_55,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_55,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_56,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_56,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_57,d_nikke_grave_01,Self,Locale_NikkeEpisode:d_nikke_grave_01_57,False,,1,1,1.0,,,grave_p,,,1,idle,
d_nikke_grave_01_58,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_58,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_59,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_59,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_60,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_60,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
d_nikke_grave_01_61,d_nikke_grave_01,Speech,Locale_NikkeEpisode:d_nikke_grave_01_61,True,,1,1,1.0,,,grave_p,grave_p,,1,idle,
