id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,set_camera_shake
d_nikke_hongryeon_02_1,d_nikke_hongryeon_02,Narration,Locale_NikkeEpisode:d_nikke_hongryeon_02_1,False,CityForest_02,m_nikke_hongryeon_02,1,1,1.0,sfx_scn_phonevibration,bgm_story_backtonormal,,,,,,,,
d_nikke_hongryeon_02_2,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_2,True,,,1,1,1.0,,,hongryeon,hongryeon,hongryeon,1,idle,,,
d_nikke_hongryeon_02_3,d_nikke_hongryeon_02,Self,Locale_NikkeEpisode:d_nikke_hongryeon_02_3,True,,,1,1,1.0,,,hongryeon,,,1,idle,,,
d_nikke_hongryeon_02_4,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_4,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,idle,,,
d_nikke_hongryeon_02_5,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_5,False,,,1,1,1.0,,,hongryeon,hongryeon,,1,idle,,,
d_nikke_hongryeon_02_6,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_6,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,no,,,
d_nikke_hongryeon_02_7,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_7,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,no,,,
d_nikke_hongryeon_02_8,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_8,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,no,,,
d_nikke_hongryeon_02_9,d_nikke_hongryeon_02,Choice,Locale_NikkeEpisode:d_nikke_hongryeon_02_9,False,,,1,1,1.0,,,hongryeon,,,1,no,d_nikke_hongryeon_02_11,,
d_nikke_hongryeon_02_10,d_nikke_hongryeon_02,Choice,Locale_NikkeEpisode:d_nikke_hongryeon_02_10,False,,,1,1,1.0,,,hongryeon,,,1,no,d_nikke_hongryeon_02_11,,
d_nikke_hongryeon_02_11,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_11,False,,,1,1,1.0,,,hongryeon,hongryeon,,1,idle,,,
d_nikke_hongryeon_02_12,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_12,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,idle,d_nikke_hongryeon_02_15,,
d_nikke_hongryeon_02_13,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_13,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,no,,,
d_nikke_hongryeon_02_14,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_14,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,no,d_nikke_hongryeon_02_15,,
d_nikke_hongryeon_02_15,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_15,True,,,1,1,1.0,,,hongryeon,hongryeon,,1,idle,,,
d_nikke_hongryeon_02_16,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_16,True,,,1,1,1.0,,none,hongryeon,hongryeon,,1,idle,,,
d_nikke_hongryeon_02_17,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_17,True,,,1,10,1.0,,,hongryeon,hongryeon,,1,idle,,,
d_nikke_hongryeon_02_18,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_18,True,,,10,10,1.0,,bgm_story_orangepop,hongryeon,hongryeon,,1,idle,,,
d_nikke_hongryeon_02_19,d_nikke_hongryeon_02,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_02_19,True,,,10,10,1.0,,,hongryeon,hongryeon,,1,idle,,,
