id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,fade,characters/1/hide_char_id,characters/2/hide_char_id,characters/0/hide_char_id
d_nikke_marciana_01_1,d_nikke_marciana_01,Narration,Locale_NikkeEpisode:d_nikke_marciana_01_1,False,Classroom,15,15,1.0,sfx_scn_schoolbell,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,
d_nikke_marciana_01_2,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_2,True,,15,150,1.0,,,marciana,marciana,marciana,15,idle,ein,3,delight,zwei,5,idle,rei,13,idle,,,,,
d_nikke_marciana_01_3,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_3,True,,150,150,1.0,,,marciana,marciana,,15,idle,,3,delight,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_4,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_4,True,,4,4,1.0,,,zwei,zwei,,15,idle,,3,delight,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_5,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_5,True,,4,4,1.0,,,ein,ein,,15,idle,,3,delight,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_6,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_6,True,,150,150,1.0,,,marciana,marciana,,15,idle,,3,delight,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_7,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_7,True,,4,4,1.0,,,zwei,zwei,,15,idle,,3,delight,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_8,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_8,True,,4,4,1.0,,,zwei,zwei,,15,idle,,3,delight,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_9,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_9,True,,4,4,1.0,,,ein,ein,,15,idle,,3,idle,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_10,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_10,True,,4,4,1.0,,,ein,ein,,15,idle,,3,idle,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_11,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_11,False,,4,14,1.0,,,marciana,marciana,,15,rage,,3,idle,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_12,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_12,True,,14,14,1.0,,,rei,rei,,15,rage,,3,idle,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_13,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_13,True,,14,14,1.0,,,rei,rei,,15,rage,,3,idle,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_14,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_14,True,,14,14,1.0,,,marciana,marciana,,15,think,,3,idle,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_15,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_15,True,,14,14,1.0,,,marciana,marciana,,15,think,,3,idle,,5,idle,,13,idle,,,,,
d_nikke_marciana_01_16,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_16,True,,14,XS_130,0.6,,,rei,rei,,15,think,,3,idle,,5,idle,,13,no,,,,,
d_nikke_marciana_01_17,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_17,True,,XS_130,XS_130,1.0,,,rei,rei,,15,think,,3,idle,,5,idle,,13,no,,,,,
d_nikke_marciana_01_18,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_18,True,,4,4,1.0,,,ein,ein,,15,think,,3,delight,,5,idle,,13,no,,,,,
d_nikke_marciana_01_19,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_19,True,,4,4,1.0,,,ein,ein,,15,think,,3,delight,,5,idle,,13,no,,,,,
d_nikke_marciana_01_20,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_20,True,,4,4,1.0,,,ein,ein,,15,think,,3,delight,,5,idle,,13,no,,,,,
d_nikke_marciana_01_21,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_21,True,,4,4,1.0,,,zwei,zwei,,15,think,,3,delight,,5,idle,,13,no,,,,,
d_nikke_marciana_01_22,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_22,True,,XS_130,14,1.0,,,rei,rei,,15,think,,3,delight,,5,idle,,13,angry,,,,,
d_nikke_marciana_01_23,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_23,True,,14,14,1.0,,,rei,rei,,15,think,,3,delight,,5,idle,,13,angry,,,,,
d_nikke_marciana_01_24,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_24,True,,14,14,1.0,,,rei,rei,,15,think,,3,delight,,5,idle,,13,angry,,,,,
d_nikke_marciana_01_25,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_25,True,,14,14,1.0,,,marciana,marciana,,15,think,,3,delight,,5,idle,,13,angry,,,,,
d_nikke_marciana_01_26,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_26,True,,14,14,1.0,,,marciana,marciana,,15,think,,3,delight,,5,idle,,13,angry,,,,,
d_nikke_marciana_01_27,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_27,False,,14,XS_130,0.6,,,rei,rei,,15,think,,3,delight,,5,idle,,13,no,,,,,
d_nikke_marciana_01_28,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_28,True,,XS_130,XS_130,1.0,,,rei,rei,,15,think,,3,delight,,5,idle,,13,cry,,,,,
d_nikke_marciana_01_29,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_29,True,,XS_130,13,1.0,,,rei,rei,,15,think,,3,delight,,5,idle,,13,cry,,,,,
d_nikke_marciana_01_30,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_30,True,,13,13,1.0,,,rei,rei,,15,think,,3,delight,,5,idle,,13,cry,,,,,
d_nikke_marciana_01_31,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_31,True,,15,15,1.0,,,marciana,marciana,,15,surprise,,3,delight,,5,idle,,13,cry,rei,,,,
d_nikke_marciana_01_32,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_32,False,,15,15,1.0,,,marciana,marciana,,15,surprise,,3,delight,,5,idle,,,,,,,,
d_nikke_marciana_01_33,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_33,True,,15,150,1.0,,,marciana,marciana,,15,think,,3,delight,,5,idle,,,,,,,,
d_nikke_marciana_01_34,d_nikke_marciana_01,Narration,Locale_NikkeEpisode:d_nikke_marciana_01_34,False,SchoolCorridor,black,black,1.0,,,,,,15,idle,,13,delight,,1,idle,,,,,black,,,
d_nikke_marciana_01_35,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_35,True,,12,12,1.0,,,ein,ein,,15,idle,,13,delight,,1,idle,,,,,,,,
d_nikke_marciana_01_36,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_36,True,,12,12,1.0,,,zwei,zwei,,15,idle,,13,delight,,1,idle,,,,,,,,
d_nikke_marciana_01_37,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_37,True,,12,14,1.0,,,marciana,marciana,,15,idle,,13,delight,,1,idle,,,,,,,,
d_nikke_marciana_01_38,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_38,True,,14,14,1.0,,,marciana,marciana,,15,idle,,13,delight,,1,idle,,,,,,,,
d_nikke_marciana_01_39,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_39,True,,14,14,1.0,,,ein,ein,,15,idle,,13,surprise,,1,idle,,,,,,,,
d_nikke_marciana_01_40,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_40,False,,14,150,1.0,,,marciana,marciana,,15,think,,3,surprise,,5,idle,,,,,,ein,zwei,
d_nikke_marciana_01_41,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_41,True,,150,14,1.0,,,rei,rei,,15,think,,,,,,,rei,13,idle,,,,,
d_nikke_marciana_01_42,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_42,True,,14,14,1.0,,,marciana,marciana,,15,idle,,,,,,,,13,idle,,,,,
d_nikke_marciana_01_43,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_43,True,,14,14,1.0,,,marciana,marciana,,15,idle,,,,,,,,13,idle,,,,,
d_nikke_marciana_01_44,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_44,True,,14,XS_130,1.0,,,rei,rei,,15,idle,,,,,,,,13,idle,,,,,
d_nikke_marciana_01_45,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_45,False,,150,150,1.0,,,marciana,marciana,,15,rage,,,,,,,,13,idle,,,,,
d_nikke_marciana_01_46,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_46,True,,150,150,1.0,,,marciana,marciana,,15,rage,,,,,,,,13,idle,,,,,
d_nikke_marciana_01_47,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_47,True,,150,14,1.0,,,rei,rei,,15,rage,,,,,,,,13,surprise,,,,,
d_nikke_marciana_01_48,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_48,True,,14,14,1.0,,,rei,rei,,15,rage,,,,,,,,13,surprise,,,,,
d_nikke_marciana_01_49,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_49,True,,14,14,1.0,,,rei,rei,,15,rage,,,,,,,,13,surprise,,,,,
d_nikke_marciana_01_50,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_50,True,,14,14,1.0,,,marciana,marciana,,15,surprise,,,,,,,,13,surprise,,,,,
d_nikke_marciana_01_51,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_51,True,,14,15,1.0,,,marciana,marciana,,15,panic,,,,,,,,13,surprise,,,,,
d_nikke_marciana_01_52,d_nikke_marciana_01,Narration,Locale_NikkeEpisode:d_nikke_marciana_01_52,False,,15,15,1.0,,,,,,15,panic,,,,,,,,13,surprise,,,,,marciana
d_nikke_marciana_01_53,d_nikke_marciana_01,Speech,Locale_NikkeEpisode:d_nikke_marciana_01_53,False,,15,XS_130,1.0,,,rei,rei,,,,,,,,,,,13,no,,,,,
