id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,play_bgm,set_camera_duration,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_marian_p_03_1,d_nikke_marian_p_03,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_03_1,True,NikkeCorridor,31,31,bgm_story_orangepop,,,neon,7,idle,anis,5,void,rapi,3,idle,modenia,1,surprise,
d_nikke_marian_p_03_2,d_nikke_marian_p_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_03_2,True,,31,31,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_3,d_nikke_marian_p_03,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_03_3,True,,10,10,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_4,d_nikke_marian_p_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_03_4,True,,S_70,S_70,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_5,d_nikke_marian_p_03,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_03_5,True,,10,10,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_6,d_nikke_marian_p_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_03_6,True,,50,50,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_7,d_nikke_marian_p_03,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_03_7,True,,10,10,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_8,d_nikke_marian_p_03,Self,modenia,,Locale_NikkeEpisode:d_nikke_marian_p_03_8,False,,10,10,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_9,d_nikke_marian_p_03,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_03_9,True,,10,10,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_10,d_nikke_marian_p_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_03_10,False,,30,30,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_11,d_nikke_marian_p_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_03_11,True,,50,50,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_12,d_nikke_marian_p_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_03_12,True,,S_70,S_70,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_13,d_nikke_marian_p_03,Self,neon,,Locale_NikkeEpisode:d_nikke_marian_p_03_13,False,,30,30,,,,,7,idle,,5,void,,3,idle,,1,surprise,
d_nikke_marian_p_03_14,d_nikke_marian_p_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_03_14,True,,30,30,,,,,7,idle,,5,void,,3,no,,1,surprise,
d_nikke_marian_p_03_15,d_nikke_marian_p_03,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_03_15,True,,10,10,,1.0,,,7,idle,,5,void,,3,no,,1,surprise,
d_nikke_marian_p_03_16,d_nikke_marian_p_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_03_16,False,,30,300,,2.0,,,7,idle,,5,void,,3,no,,1,surprise,
d_nikke_marian_p_03_17,d_nikke_marian_p_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_03_17,True,,300,300,,1.0,,,7,idle,,5,void,,3,no,,1,surprise,
d_nikke_marian_p_03_18,d_nikke_marian_p_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_03_18,False,,300,300,,1.0,,,7,idle,,5,delight,,3,no,,1,surprise,
d_nikke_marian_p_03_19,d_nikke_marian_p_03,Speech,modenia,modenia,Locale_NikkeEpisode:d_nikke_marian_p_03_19,True,,31,31,,1.0,,,7,idle,,5,delight,,3,no,,1,idle,
d_nikke_marian_p_03_20,d_nikke_marian_p_03,Monologue,modenia,,Locale_NikkeEpisode:d_nikke_marian_p_03_20,False,,31,31,,1.0,,,7,idle,,5,idle,,3,no,,1,idle,modenia
d_nikke_marian_p_03_21,d_nikke_marian_p_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_marian_p_03_21,True,,31,53,,1.0,,,7,idle,,5,idle,,3,no,,,,
d_nikke_marian_p_03_22,d_nikke_marian_p_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_marian_p_03_22,True,,53,75,,1.0,,,7,idle,,5,idle,,3,no,,,,
d_nikke_marian_p_03_23,d_nikke_marian_p_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_marian_p_03_23,True,,75,75,,1.0,,,7,idle,,5,idle,,3,no,,,,
