id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,fade,play_sound
d_nikke_noah_01_1,d_nikke_noah_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_noah_01_1,False,OutpostOut,1,1,3.0,bgm_story_orangepop,,,,,,,,
d_nikke_noah_01_2,d_nikke_noah_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_noah_01_2,False,CommanderRoom,black,black,1.0,,,,,,,,,
d_nikke_noah_01_3,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_3,True,,1,1,1.0,,noah,noah,1,idle,,,,
d_nikke_noah_01_4,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_4,False,,1,1,1.0,,noah,,1,"expression_0,idle",,,,
d_nikke_noah_01_5,d_nikke_noah_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_noah_01_5,False,,1,1,1.0,,noah,,1,idle,,,,
d_nikke_noah_01_6,d_nikke_noah_01,Self,Self,Locale_NikkeEpisode:d_nikke_noah_01_6,False,,1,1,1.0,,noah,,1,idle,,,,
d_nikke_noah_01_7,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_7,True,,1,1,1.0,,noah,,1,good,,,,
d_nikke_noah_01_8,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_8,True,,1,1,1.0,,noah,,1,good,,,,
d_nikke_noah_01_9,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_9,True,,1,1,1.0,,noah,,1,good,,,,
d_nikke_noah_01_10,d_nikke_noah_01,Self,Self,Locale_NikkeEpisode:d_nikke_noah_01_10,False,,1,1,1.0,,noah,,1,good,,,,
d_nikke_noah_01_11,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_11,True,,1,S_10,0.5,,noah,,1,surprise,,,,
d_nikke_noah_01_12,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_12,True,,S_10,S_10,1.0,,noah,,1,surprise,,,,
d_nikke_noah_01_13,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_13,True,,S_10,1,1.0,,noah,,1,shy,,,,
d_nikke_noah_01_14,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_14,True,,1,1,1.0,,noah,,1,good,,,,
d_nikke_noah_01_15,d_nikke_noah_01,Speech,noah,Locale_NikkeEpisode:d_nikke_noah_01_15,True,,1,1,1.0,,noah,,1,good,,,,
