id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_rumani_02_1,d_nikke_rumani_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_02_1,False,Gym,17,170,1.0,none,,,,rumani,3,think,,,,
d_nikke_rumani_02_2,d_nikke_rumani_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_02_2,False,,170,170,1.0,bgm_story_epicjazzymoods,,,,,3,think,,,,
d_nikke_rumani_02_3,d_nikke_rumani_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_02_3,False,,170,13,1.0,,,,,,3,think,,,,
d_nikke_rumani_02_4,d_nikke_rumani_02,Speech,rumani,Locale_NikkeEpisode:d_nikke_rumani_02_4,True,,13,30,1.5,,rumani,,,,3,angry,,,,
d_nikke_rumani_02_5,d_nikke_rumani_02,Self,Self,Locale_NikkeEpisode:d_nikke_rumani_02_5,False,,30,30,1.0,,,,,,3,angry,,,,
d_nikke_rumani_02_6,d_nikke_rumani_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_02_6,False,,17,170,0.7,,,,,,3,think,,,,
d_nikke_rumani_02_7,d_nikke_rumani_02,Speech,rumani,Locale_NikkeEpisode:d_nikke_rumani_02_7,True,,30,30,1.0,,rumani,,,,3,angry,,,,
d_nikke_rumani_02_8,d_nikke_rumani_02,Self,Self,Locale_NikkeEpisode:d_nikke_rumani_02_8,False,,30,30,1.0,,,,,,3,angry,,,,
d_nikke_rumani_02_9,d_nikke_rumani_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_02_9,False,,17,170,0.7,,,,,,3,think,,,,
d_nikke_rumani_02_10,d_nikke_rumani_02,Speech,rumani,Locale_NikkeEpisode:d_nikke_rumani_02_10,True,,30,30,1.0,,rumani,,,,3,angry,,,,
d_nikke_rumani_02_11,d_nikke_rumani_02,Self,Self,Locale_NikkeEpisode:d_nikke_rumani_02_11,False,,30,30,1.0,,,,,,3,angry,,,,
d_nikke_rumani_02_12,d_nikke_rumani_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rumani_02_12,False,,17,17,1.0,,,,,,3,think,,,,
