id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_nikke_snowwhite_young_05_1,d_nikke_snowwhite_young_05,,Monologue,,,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_1,False,WasteLand_02,,,,,,4,12,0,,event_bgm_redash_facethat,,None,None,,None,False,snowwhite_o,,1,sad,liliweiss,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_2,d_nikke_snowwhite_young_05,,Monologue,,,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_2,False,,,,,,,12,12,0,,,,None,None,,None,False,,,1,sad,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_3,d_nikke_snowwhite_young_05,,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_3,True,,,,,,,12,S_10,0,,,,None,None,,None,False,,,1,sad,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_4,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_4,True,,,,,,,S_10,130,0,,,,None,None,,None,False,,,1,sad,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_5,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_5,True,,,,,,,130,130,0,,,,None,None,,None,False,,,1,sad,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_6,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_6,True,,,,,,,130,130,0,,,,None,None,,None,False,,,1,sad,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_7,d_nikke_snowwhite_young_05,,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_7,True,,,,,,,S_10,S_10,0,,,,None,None,,None,False,,,1,surprise,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_8,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_8,True,,,,,,,130,130,0,,,,None,None,,None,False,,,1,sad,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_9,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_9,True,,,,,,,130,1300,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_10,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_10,True,,,,,,,1300,1300,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_11,d_nikke_snowwhite_young_05,,Monologue,liliweiss,,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_11,False,,,,,,,1300,13,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_12,d_nikke_snowwhite_young_05,,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_12,True,,,,,,,13,12,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_13,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_13,True,,,,,,,12,12,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_14,d_nikke_snowwhite_young_05,,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_14,True,,,,,,,12,12,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_15,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_15,True,,,,,,,12,12,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_16,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_16,True,,,,,,,12,130,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_17,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_17,True,,,,,,,130,130,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_18,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_18,True,,,,,,,130,130,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_19,d_nikke_snowwhite_young_05,,Speech,liliweiss,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_19,True,,,,,,,130,130,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_nikke_snowwhite_young_05_20,d_nikke_snowwhite_young_05,,Speech,snowwhite_o,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_05_20,False,,,,,,,130,S_10,0,,,,None,None,,None,False,,,1,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
