id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_diesel_02_1,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_1,True,CommanderRoom,1,1,1.0,bgm_story_leisuretime,,diesel,1,idle
treasurestory_diesel_02_2,treasurestory_diesel_02,Self,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_2,False,,1,1,1.0,,,,1,idle
treasurestory_diesel_02_3,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_3,True,,1,1,1.0,,,,1,delight
treasurestory_diesel_02_4,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_4,True,,1,1,1.0,,,,1,idle
treasurestory_diesel_02_5,treasurestory_diesel_02,Monologue,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_5,False,,1,10,1.0,,,,1,idle
treasurestory_diesel_02_6,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_6,True,,10,10,1.0,,,,1,delight
treasurestory_diesel_02_7,treasurestory_diesel_02,Choice,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_7,False,,10,10,1.0,,treasurestory_diesel_02_9,,1,delight
treasurestory_diesel_02_8,treasurestory_diesel_02,Choice,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_8,False,,10,10,1.0,,treasurestory_diesel_02_12,,1,delight
treasurestory_diesel_02_9,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_9,True,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_10,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_10,True,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_11,treasurestory_diesel_02,Self,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_11,False,,10,10,1.0,,treasurestory_diesel_02_12,,1,idle
treasurestory_diesel_02_12,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_12,True,,10,10,1.0,,,,1,delight
treasurestory_diesel_02_13,treasurestory_diesel_02,Monologue,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_13,False,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_14,treasurestory_diesel_02,Self,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_14,False,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_15,treasurestory_diesel_02,Self,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_15,False,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_16,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_16,True,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_17,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_17,True,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_18,treasurestory_diesel_02,Self,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_18,False,,10,10,1.0,,,,1,idle
treasurestory_diesel_02_19,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_19,True,,10,10,1.0,,,,1,delight
treasurestory_diesel_02_20,treasurestory_diesel_02,Monologue,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_20,False,,10,100,1.0,,,,1,delight
treasurestory_diesel_02_21,treasurestory_diesel_02,Self,diesel,,Locale_NikkeEpisode:treasurestory_diesel_02_21,False,,100,100,1.0,,,,1,idle
treasurestory_diesel_02_22,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_22,True,,100,100,1.0,,,,1,idle
treasurestory_diesel_02_23,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_23,True,,100,100,1.0,,,,1,idle
treasurestory_diesel_02_24,treasurestory_diesel_02,Speech,diesel,diesel,Locale_NikkeEpisode:treasurestory_diesel_02_24,True,,100,100,1.0,,,,1,idle
