id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake
treasurestory_exia_02_1,treasurestory_exia_02,Monologue,Locale_NikkeEpisode:treasurestory_exia_02_1,False,NikkeRoom,1,1,1.0,bgm_story_backtonormal,,,,,,
treasurestory_exia_02_2,treasurestory_exia_02,Self,Locale_NikkeEpisode:treasurestory_exia_02_2,False,,1,1,1.0,,,,,,,
treasurestory_exia_02_3,treasurestory_exia_02,Monologue,Locale_NikkeEpisode:treasurestory_exia_02_3,False,,1,1,1.0,,,,,,,
treasurestory_exia_02_4,treasurestory_exia_02,Monologue,Locale_NikkeEpisode:treasurestory_exia_02_4,False,,1,1,1.0,,,,,,,
treasurestory_exia_02_5,treasurestory_exia_02,Self,Locale_NikkeEpisode:treasurestory_exia_02_5,False,,1,1,1.0,,,,,,,
treasurestory_exia_02_6,treasurestory_exia_02,Self,Locale_NikkeEpisode:treasurestory_exia_02_6,False,,1,1,1.0,,,,,,,
treasurestory_exia_02_7,treasurestory_exia_02,Speech,Locale_NikkeEpisode:treasurestory_exia_02_7,False,,1,1,1.0,,exia,exia,,,,
treasurestory_exia_02_8,treasurestory_exia_02,Monologue,Locale_NikkeEpisode:treasurestory_exia_02_8,False,,1,16,1.0,,,,,,,
treasurestory_exia_02_9,treasurestory_exia_02,Self,Locale_NikkeEpisode:treasurestory_exia_02_9,False,,16,16,1.0,,,,,,,
treasurestory_exia_02_10,treasurestory_exia_02,Monologue,Locale_NikkeEpisode:treasurestory_exia_02_10,False,,16,16,1.0,,,,,,,
treasurestory_exia_02_11,treasurestory_exia_02,Monologue,Locale_NikkeEpisode:treasurestory_exia_02_11,False,,16,1600,1.0,,,,,,,
treasurestory_exia_02_12,treasurestory_exia_02,Narration,Locale_NikkeEpisode:treasurestory_exia_02_12,False,,1600,1600,1.0,,,,,,,
treasurestory_exia_02_13,treasurestory_exia_02,Narration,Locale_NikkeEpisode:treasurestory_exia_02_13,False,,1600,1600,1.0,,,,,,,
treasurestory_exia_02_14,treasurestory_exia_02,Narration,Locale_NikkeEpisode:treasurestory_exia_02_14,False,,1600,1600,1.0,,,,,,,
