id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_laplace_01_1,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_1,True,NikkeRoom,3,1,1.0,bgm_story_whosdumber,,laplace,1,delight
treasurestory_laplace_01_2,treasurestory_laplace_01,Narration,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_2,False,,1,S_10,1.0,,sfx_scn_cave_bodyfall,,1,delight
treasurestory_laplace_01_3,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_3,True,,S_10,S_10,1.0,,,,1,angry
treasurestory_laplace_01_4,treasurestory_laplace_01,Monologue,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_4,False,,S_10,S_10,1.0,,,,1,idle
treasurestory_laplace_01_5,treasurestory_laplace_01,Narration,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_5,False,,S_10,S_10,1.0,none,sfx_scn_remotesignal,,1,idle
treasurestory_laplace_01_6,treasurestory_laplace_01,Narration,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_6,False,,S_10,S_10,1.0,,,,1,idle
treasurestory_laplace_01_7,treasurestory_laplace_01,Narration,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_7,False,,S_10,S_100,1.0,,,,1,idle
treasurestory_laplace_01_8,treasurestory_laplace_01,Monologue,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_8,False,,S_100,S_100,1.0,,,,1,idle
treasurestory_laplace_01_9,treasurestory_laplace_01,Narration,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_9,False,,S_100,S_100,1.0,bgm_spot_wingsofvictory_a,,,1,idle
treasurestory_laplace_01_10,treasurestory_laplace_01,Narration,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_10,False,,S_100,S_100,1.0,,,,1,idle
treasurestory_laplace_01_11,treasurestory_laplace_01,Speech,laplace,tvvoice,Locale_NikkeEpisode:treasurestory_laplace_01_11,False,,S_100,S_10,1.0,,,,1,idle
treasurestory_laplace_01_12,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_12,True,,S_10,S_10,1.0,,,,1,delight
treasurestory_laplace_01_13,treasurestory_laplace_01,Monologue,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_13,False,,S_10,S_10,1.0,,,,1,delight
treasurestory_laplace_01_14,treasurestory_laplace_01,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:treasurestory_laplace_01_14,False,,S_10,S_10,1.0,,,,1,delight
treasurestory_laplace_01_15,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_15,True,,S_10,S_10,1.0,,,,1,delight
treasurestory_laplace_01_16,treasurestory_laplace_01,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:treasurestory_laplace_01_16,False,,S_10,S_10,1.0,none,sfx_scn_screen,,1,delight
treasurestory_laplace_01_17,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_17,True,,S_10,S_10,1.0,,,,1,think
treasurestory_laplace_01_18,treasurestory_laplace_01,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:treasurestory_laplace_01_18,False,,S_10,S_10,1.0,bgm_story_herecomestrouble,sfx_scn_screen,,1,think
treasurestory_laplace_01_19,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_19,True,,S_10,S_10,1.0,,,,1,shy
treasurestory_laplace_01_20,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_20,True,,S_10,S_10,1.0,,,,1,shy
treasurestory_laplace_01_21,treasurestory_laplace_01,Narration,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_21,False,,S_10,S_100,1.0,,sfx_scn_fall_down,,1,shy
treasurestory_laplace_01_22,treasurestory_laplace_01,Monologue,laplace,,Locale_NikkeEpisode:treasurestory_laplace_01_22,False,,S_100,S_100,1.0,,,,1,shy
treasurestory_laplace_01_23,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_23,True,,S_100,S_100,1.0,,,,1,shy
treasurestory_laplace_01_24,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_24,True,,S_100,S_100,1.0,,,,1,shy
treasurestory_laplace_01_25,treasurestory_laplace_01,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:treasurestory_laplace_01_25,False,,S_100,S_100,1.0,,sfx_scn_screen,,1,shy
treasurestory_laplace_01_26,treasurestory_laplace_01,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:treasurestory_laplace_01_26,False,,S_100,S_100,1.0,,sfx_scn_screen,,1,shy
treasurestory_laplace_01_27,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_27,True,,S_100,S_10,0.5,,,,1,shy
treasurestory_laplace_01_28,treasurestory_laplace_01,Speech,laplace,laplace,Locale_NikkeEpisode:treasurestory_laplace_01_28,True,,S_10,S_10,1.0,,,,1,shy
