id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
treasurestory_miranda_03_1,treasurestory_miranda_03,Monologue,Locale_NikkeEpisode:treasurestory_miranda_03_1,False,Park,S_120,S_120,1.0,bgm_story_leisuretime,,,,,,,,miranda,12,idle,,,,
treasurestory_miranda_03_2,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_2,True,,S_120,S_120,1.0,,miranda,miranda,,,,,,,12,idle,,,,
treasurestory_miranda_03_3,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_3,False,,S_120,S_120,1.0,,miranda,novel,,,novel,2,idle,,12,idle,,,,
treasurestory_miranda_03_4,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_4,True,,S_120,1,1.3,,novel,novel,,,,2,idle,,12,idle,,,,
treasurestory_miranda_03_5,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_5,True,,1,1,1.0,,miranda,miranda,,,,2,idle,,12,delight,,,,
treasurestory_miranda_03_6,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_6,True,,1,1,1.0,,miranda,miranda,,,,2,idle,,12,delight,,,,
treasurestory_miranda_03_7,treasurestory_miranda_03,Self,Locale_NikkeEpisode:treasurestory_miranda_03_7,False,,1,1,1.0,,miranda,,,,,2,idle,,12,delight,,,,
treasurestory_miranda_03_8,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_8,True,,1,1,1.0,,novel,novel,,,,2,idle,,12,delight,,,,
treasurestory_miranda_03_9,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_9,True,,1,1,1.0,,novel,novel,,,,2,delight,,12,delight,,,,
treasurestory_miranda_03_10,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_10,True,,1,1,1.0,,miranda,miranda,,,,2,delight,,12,idle,,,,
treasurestory_miranda_03_11,treasurestory_miranda_03,Choice,Locale_NikkeEpisode:treasurestory_miranda_03_11,False,,1,1,1.0,,miranda,,treasurestory_miranda_03_20,,,2,delight,,12,idle,,,,
treasurestory_miranda_03_12,treasurestory_miranda_03,Choice,Locale_NikkeEpisode:treasurestory_miranda_03_12,False,,1,1,1.0,,miranda,,treasurestory_miranda_03_13,,,2,delight,,12,idle,,,,
treasurestory_miranda_03_13,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_13,False,,1,S_20,1.3,,novel,novel,,,,2,think,,12,idle,,,,
treasurestory_miranda_03_14,treasurestory_miranda_03,Monologue,Locale_NikkeEpisode:treasurestory_miranda_03_14,False,,S_20,S_20,1.0,,novel,,,,,2,think,,12,idle,,,,
treasurestory_miranda_03_15,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_15,True,,S_20,S_20,1.0,,novel,novel,,,,2,think,,12,idle,,,,
treasurestory_miranda_03_16,treasurestory_miranda_03,Self,Locale_NikkeEpisode:treasurestory_miranda_03_16,False,,S_20,S_20,1.0,,novel,,,,,2,think,,12,idle,,,,
treasurestory_miranda_03_17,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_17,True,,S_20,S_20,1.0,,novel,novel,,,,2,think,,12,idle,,,,
treasurestory_miranda_03_18,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_18,True,,S_20,S_20,1.0,,novel,novel,,,,2,think,,12,idle,,,,
treasurestory_miranda_03_19,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_19,True,,S_20,1,1.3,,novel,novel,treasurestory_miranda_03_20,,,2,think,,12,idle,,,,
treasurestory_miranda_03_20,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_20,True,,1,1,1.0,,miranda,miranda,,,,2,idle,,12,idle,,,,
treasurestory_miranda_03_21,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_21,True,,1,1,1.3,,novel,novel,,,,2,idle,,12,idle,,,,
treasurestory_miranda_03_22,treasurestory_miranda_03,Monologue,Locale_NikkeEpisode:treasurestory_miranda_03_22,False,,black,black,1.0,,novel,,,,,3,idle,,13,idle,happycitizen,1,idle,
treasurestory_miranda_03_23,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_23,True,,2,2,1.0,,novel,novel,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_24,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_24,True,,2,2,1.0,,happycitizen,happycitizen,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_25,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_25,True,,2,2,1.0,,happycitizen,happycitizen,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_26,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_26,True,,2,2,1.0,,happycitizen,happycitizen,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_27,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_27,True,,2,12,1.3,,miranda,miranda,,,,3,idle,,13,think,,1,idle,
treasurestory_miranda_03_28,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_28,True,,12,12,1.0,,miranda,miranda,,,,3,idle,,13,angry,,1,idle,
treasurestory_miranda_03_29,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_29,True,,12,12,1.0,,miranda,miranda,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_30,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_30,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_31,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_31,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_32,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_32,True,,12,12,1.0,,miranda,miranda,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_33,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_33,True,,12,12,1.0,,miranda,miranda,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_34,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_34,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_35,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_35,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,idle,,1,idle,
treasurestory_miranda_03_36,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_36,True,,12,12,1.0,,miranda,miranda,,,,3,idle,,13,shy,,1,idle,
treasurestory_miranda_03_37,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_37,True,,12,12,1.0,,miranda,miranda,,,,3,idle,,13,delight,,1,idle,
treasurestory_miranda_03_38,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_38,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,delight,,1,idle,
treasurestory_miranda_03_39,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_39,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,delight,,1,idle,
treasurestory_miranda_03_40,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_40,True,,12,12,1.0,,miranda,miranda,,,,3,idle,,13,angry,,1,idle,
treasurestory_miranda_03_41,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_41,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,angry,,1,idle,
treasurestory_miranda_03_42,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_42,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,angry,,1,idle,
treasurestory_miranda_03_43,treasurestory_miranda_03,Speech,Locale_NikkeEpisode:treasurestory_miranda_03_43,True,,12,12,1.0,,happycitizen,happycitizen,,,,3,idle,,13,angry,,1,idle,
