id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
treasurestory_tove_03_1,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_1,True,Workshop,,,,,,L_20,L_20,0,,bgm_story_apricot,,None,None,,None,False,centi,,2,idle,tove,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_2,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_2,True,,,,,,,L_20,L_20,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_3,treasurestory_tove_03,,Self,centi,,Locale_NikkeEpisode:treasurestory_tove_03_3,False,,,,,,,L_20,L_20,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_4,treasurestory_tove_03,,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_03_4,True,,,,,,,L_20,1,-858993459,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_5,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_5,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,delight,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_6,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_6,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_7,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_7,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_8,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_8,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_9,treasurestory_tove_03,,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_03_9,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_10,treasurestory_tove_03,,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_03_10,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_11,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_11,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
treasurestory_tove_03_12,treasurestory_tove_03,,Speech,centi,centi,Locale_NikkeEpisode:treasurestory_tove_03_12,True,,,,,,,1,1,0,,,,None,None,,None,False,,,2,idle,,,12,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
