id,part_name,difficult_group
1,,1001
13,Locale_System:STORY_EVENT_PART_01_NAME,1013
14,Locale_System:STORY_EVENT_PART_02_NAME,1014
10,,1010
12,,1012
3,Locale_System:STORY_EVENT_PART_01_NAME,1003
4,Locale_System:STORY_EVENT_PART_02_NAME,1004
17,,1017
22,,1022
11,,1011
6,,1006
7,,1007
16,,1016
28,,1028
31,Locale_System:STORY_EVENT_PART_01_NAME,1031
32,Locale_System:STORY_EVENT_PART_02_NAME,1032
5,,1005
2,,1002
23,,1023
29,,1029
20,Locale_System:STORY_EVENT_PART_01_NAME,1020
21,Locale_System:STORY_EVENT_PART_02_NAME,1021
24,Locale_System:STORY_EVENT_PART_01_NAME,1024
25,Locale_System:STORY_EVENT_PART_02_NAME,1025
30,,1030
38,,1038
37,,1037
45,Locale_System:STORY_EVENT_PART_01_NAME,1045
46,Locale_System:STORY_EVENT_PART_02_NAME,1046
36,,1036
34,Locale_System:STORY_EVENT_PART_01_NAME,1034
35,Locale_System:STORY_EVENT_PART_02_NAME,1035
47,,1047
33,,1033
39,,1039
40,,1040
55,Locale_System:STORY_EVENT_PART_01_NAME,1055
56,Locale_System:STORY_EVENT_PART_02_NAME,1056
57,Locale_System:STORY_EVENT_PART_03_NAME,1057
44,,1044
61,Locale_System:STORY_EVENT_PART_01_NAME,1061
62,Locale_System:STORY_EVENT_PART_02_NAME,1062
43,,1043
50,,1050
53,,1053
54,,1054
51,Locale_System:STORY_EVENT_PART_01_NAME,1051
52,Locale_System:STORY_EVENT_PART_02_NAME,1052
58,,1058
48,Locale_System:STORY_EVENT_PART_01_NAME,1048
49,Locale_System:STORY_EVENT_PART_02_NAME,1049
75,Locale_System:STORY_EVENT_PART_01_NAME,1075
76,Locale_System:STORY_EVENT_PART_02_NAME,1076
