id,item_type,item_id,auto_charge_plus,auto_charge_max
10001,Item,7070001,5,5
10002,Item,7070002,5,5
10003,Item,7070003,5,5
10005,Item,7070004,5,5
10006,Item,7070006,5,5
10007,Item,7070007,5,5
10008,Item,7070008,5,5
10010,Item,7070010,5,5
10011,Item,7070011,5,5
10012,Item,7070012,5,5
10013,Item,7070013,5,5
10014,Item,7070014,5,5
10015,Item,7070015,5,5
10020,Item,7070020,5,5
10022,Item,7070022,5,5
10023,Item,7070023,5,5
10024,Item,7070024,5,5
10026,Item,7070026,5,5
10028,Item,7070028,5,5
10029,Item,7070029,5,5
10030,Item,7070030,5,5
10031,Item,7070031,5,5
10033,Item,7070033,5,5
10034,Item,7070034,5,5
10036,Item,7070036,5,5
10037,Item,7070037,5,5
10038,Item,7070038,5,5
10039,Item,7070039,5,5
10040,Item,7070040,5,5
10041,Item,7070041,5,5
10043,Item,7070043,5,5
10044,Item,7070044,5,5
10045,Item,7070045,5,5
10047,Item,7070047,5,5
10048,Item,7070048,5,5
10050,Item,7070050,5,5
10051,Item,7070051,5,5
10053,Item,7070053,5,5
10054,Item,7070054,5,5
10055,Item,7070055,5,5
10058,Item,7070058,5,5
10059,Item,7070059,5,5
10060,Item,7070060,5,5
10061,Item,7070061,5,5
10063,Item,7070063,5,5
10064,Item,7070064,5,5
10066,Item,7070066,5,5
10068,Item,7070068,5,5
10069,Item,7070069,5,5
10070,Item,7070070,5,5
10072,Item,7070072,5,5
10073,Item,7070073,5,5
10074,Item,7070074,5,5
10075,Item,7070075,5,5
10077,Item,7070077,5,5
10078,Item,7070078,5,5
10079,Item,7070079,5,5
10081,Item,7070081,5,5
10082,Item,7070082,5,5
10084,Item,7070084,5,5
10086,Item,7070086,5,5
10088,Item,7070088,5,5
20001,Currency,6003,3,3
30001,Item,7070005,3,3
30002,Item,7071001,1,1
30003,Item,7071002,1,1
30004,Item,7071003,3,21
40001,Item,7110001,1,3
40002,Item,7110002,1,3
40003,Item,7110003,1,3
40020,Item,7110020,1,3
40022,Item,7110022,1,3
40023,Item,7110023,1,3
40024,Item,7110024,1,3
40026,Item,7110026,1,3
40028,Item,7110028,1,3
40029,Item,7110029,1,3
40030,Item,7110030,1,3
40031,Item,7110031,1,1
40033,Item,7110033,1,1
40034,Item,7110034,1,1
40036,Item,7110036,1,1
40037,Item,7110037,1,1
40038,Item,7110038,1,1
40039,Item,7110039,1,1
40040,Item,7110040,1,1
40041,Item,7110041,1,1
40043,Item,7110043,1,1
40044,Item,7110044,1,1
40045,Item,7110045,1,1
40047,Item,7110047,1,1
40048,Item,7110048,1,1
40050,Item,7110050,1,1
40051,Item,7110051,1,1
40053,Item,7110053,1,1
40054,Item,7110054,1,1
40055,Item,7110055,1,1
40058,Item,7110058,1,1
40059,Item,7110059,1,1
40060,Item,7110060,1,1
40061,Item,7110061,1,1
40063,Item,7110063,1,1
40064,Item,7110064,1,1
40066,Item,7110066,1,1
40068,Item,7110068,1,1
40069,Item,7110069,1,1
40070,Item,7110070,1,1
40072,Item,7110072,1,1
40073,Item,7110073,1,1
40074,Item,7110074,1,1
40075,Item,7110075,1,1
40077,Item,7110077,1,1
40078,Item,7110078,1,1
40079,Item,7110079,1,1
40081,Item,7110081,1,1
40082,Item,7110082,1,1
40084,Item,7110084,1,1
40086,Item,7110086,1,1
40088,Item,7110088,1,1
