id,reaction_type,special_lobby_change_step,camera_shake,attractive_level_min,attractive_level_max,resource_id,costume_index,eventlobby_id,animation_clip,speech_localkey,rection_voice,probability
1,Touch,0,0,1,9,10,0,0,expression_0,Locale_Character:10_speech_01,c010_Lobby_Touch_1,858993459
2,Touch,0,0,1,9,10,0,0,expression_0,Locale_Character:10_speech_02,c010_Lobby_Touch_2,858993459
3,Touch,0,0,1,9,10,0,0,expression_0,Locale_Character:10_speech_03,c010_Lobby_Touch_3,-1717986918
4,Touch,0,0,10,0,10,0,0,expression_0,Locale_Character:10_speech_04,c010_Lobby_Touch_Love_1,858993459
5,Touch,0,0,10,0,10,0,0,expression_0,Locale_Character:10_speech_05,c010_Lobby_Touch_Love_2,858993459
6,Touch,0,0,10,0,10,0,0,expression_0,Locale_Character:10_speech_06,c010_Lobby_Touch_Love_3,-1717986918
7,Stay,0,0,1,9,10,0,0,expression_0,Locale_Character:10_stay_01,c010_Lobby_Stay_1,0
8,Stay,0,0,10,0,10,0,0,expression_0,Locale_Character:10_stay_02,c010_Lobby_Stay_Love_1,0
9,Touch,0,0,1,9,11,0,0,expression_0,Locale_Character:11_speech_01,c011_Lobby_Touch_1,858993459
10,Touch,0,0,1,9,11,0,0,expression_0,Locale_Character:11_speech_02,c011_Lobby_Touch_2,858993459
11,Touch,0,0,1,9,11,0,0,expression_0,Locale_Character:11_speech_03,c011_Lobby_Touch_3,-1717986918
12,Touch,0,0,10,0,11,0,0,expression_0,Locale_Character:11_speech_04,c011_Lobby_Touch_Love_1,858993459
13,Touch,0,0,10,0,11,0,0,expression_0,Locale_Character:11_speech_05,c011_Lobby_Touch_Love_2,858993459
14,Touch,0,0,10,0,11,0,0,expression_0,Locale_Character:11_speech_06,c011_Lobby_Touch_Love_3,-1717986918
15,Stay,0,0,1,9,11,0,0,expression_0,Locale_Character:11_stay_01,c011_Lobby_Stay_1,0
16,Stay,0,0,10,0,11,0,0,expression_0,Locale_Character:11_stay_02,c011_Lobby_Stay_Love_1,0
17,Touch,0,0,1,9,12,0,0,expression_0,Locale_Character:12_speech_01,c012_Lobby_Touch_1,858993459
18,Touch,0,0,1,9,12,0,0,expression_0,Locale_Character:12_speech_02,c012_Lobby_Touch_2,858993459
19,Touch,0,0,1,9,12,0,0,expression_0,Locale_Character:12_speech_03,c012_Lobby_Touch_3,-1717986918
20,Touch,0,0,10,0,12,0,0,expression_0,Locale_Character:12_speech_04,c012_Lobby_Touch_Love_1,858993459
21,Touch,0,0,10,0,12,0,0,expression_0,Locale_Character:12_speech_05,c012_Lobby_Touch_Love_2,858993459
22,Touch,0,0,10,0,12,0,0,expression_0,Locale_Character:12_speech_06,c012_Lobby_Touch_Love_3,-1717986918
23,Stay,0,0,1,9,12,0,0,expression_0,Locale_Character:12_stay_01,c012_Lobby_Stay_1,0
24,Stay,0,0,10,0,12,0,0,expression_0,Locale_Character:12_stay_02,c012_Lobby_Stay_Love_1,0
25,Touch,0,0,1,9,13,0,0,expression_0,Locale_Character:13_speech_01,c013_Lobby_Touch_1,858993459
26,Touch,0,0,1,9,13,0,0,expression_0,Locale_Character:13_speech_02,c013_Lobby_Touch_2,858993459
27,Touch,0,0,1,9,13,0,0,expression_0,Locale_Character:13_speech_03,c013_Lobby_Touch_3,-1717986918
28,Touch,0,0,10,0,13,0,0,expression_0,Locale_Character:13_speech_04,c013_Lobby_Touch_Love_1,858993459
29,Touch,0,0,10,0,13,0,0,expression_0,Locale_Character:13_speech_05,c013_Lobby_Touch_Love_2,858993459
30,Touch,0,0,10,0,13,0,0,expression_0,Locale_Character:13_speech_06,c013_Lobby_Touch_Love_3,-1717986918
31,Stay,0,0,1,9,13,0,0,expression_0,Locale_Character:13_stay_01,c013_Lobby_Stay_1,0
32,Stay,0,0,10,0,13,0,0,expression_0,Locale_Character:13_stay_02,c013_Lobby_Stay_Love_1,0
33,Touch,0,0,1,9,20,0,0,expression_0,Locale_Character:20_speech_01,c020_Lobby_Touch_1,858993459
34,Touch,0,0,1,9,20,0,0,expression_0,Locale_Character:20_speech_02,c020_Lobby_Touch_2,858993459
35,Touch,0,0,1,9,20,0,0,expression_0,Locale_Character:20_speech_03,c020_Lobby_Touch_3,-1717986918
36,Touch,0,0,10,0,20,0,0,expression_0,Locale_Character:20_speech_04,c020_Lobby_Touch_Love_1,858993459
37,Touch,0,0,10,0,20,0,0,expression_0,Locale_Character:20_speech_05,c020_Lobby_Touch_Love_2,858993459
38,Touch,0,0,10,0,20,0,0,expression_0,Locale_Character:20_speech_06,c020_Lobby_Touch_Love_3,-1717986918
39,Stay,0,0,1,9,20,0,0,expression_0,Locale_Character:20_stay_01,c020_Lobby_Stay_1,0
40,Stay,0,0,10,0,20,0,0,expression_0,Locale_Character:20_stay_02,c020_Lobby_Stay_Love_1,0
41,Touch,0,0,1,9,22,0,0,expression_0,Locale_Character:22_speech_01,c022_Lobby_Touch_1,858993459
42,Touch,0,0,1,9,22,0,0,expression_0,Locale_Character:22_speech_02,c022_Lobby_Touch_2,858993459
43,Touch,0,0,1,9,22,0,0,expression_0,Locale_Character:22_speech_03,c022_Lobby_Touch_3,-1717986918
44,Touch,0,0,10,0,22,0,0,expression_0,Locale_Character:22_speech_04,c022_Lobby_Touch_Love_1,858993459
45,Touch,0,0,10,0,22,0,0,expression_0,Locale_Character:22_speech_05,c022_Lobby_Touch_Love_2,858993459
46,Touch,0,0,10,0,22,0,0,expression_0,Locale_Character:22_speech_06,c022_Lobby_Touch_Love_3,-1717986918
47,Stay,0,0,1,9,22,0,0,expression_0,Locale_Character:22_stay_01,c022_Lobby_Stay_1,0
48,Stay,0,0,10,0,22,0,0,expression_0,Locale_Character:22_stay_02,c022_Lobby_Stay_Love_1,0
49,Touch,0,0,1,9,30,0,0,expression_0,Locale_Character:30_speech_01,c030_Lobby_Touch_1,858993459
50,Touch,0,0,1,9,30,0,0,expression_0,Locale_Character:30_speech_02,c030_Lobby_Touch_2,858993459
51,Touch,0,0,1,9,30,0,0,expression_0,Locale_Character:30_speech_03,c030_Lobby_Touch_3,-1717986918
52,Touch,0,0,10,0,30,0,0,expression_0,Locale_Character:30_speech_04,c030_Lobby_Touch_Love_1,858993459
53,Touch,0,0,10,0,30,0,0,expression_0,Locale_Character:30_speech_05,c030_Lobby_Touch_Love_2,858993459
54,Touch,0,0,10,0,30,0,0,expression_0,Locale_Character:30_speech_06,c030_Lobby_Touch_Love_3,-1717986918
55,Stay,0,0,1,9,30,0,0,expression_0,Locale_Character:30_stay_01,c030_Lobby_Stay_1,0
56,Stay,0,0,10,0,30,0,0,expression_0,Locale_Character:30_stay_02,c030_Lobby_Stay_Love_1,0
57,Touch,0,0,1,9,32,0,0,expression_0,Locale_Character:32_speech_01,c032_Lobby_Touch_1,858993459
58,Touch,0,0,1,9,32,0,0,expression_0,Locale_Character:32_speech_02,c032_Lobby_Touch_2,858993459
59,Touch,0,0,1,9,32,0,0,expression_0,Locale_Character:32_speech_03,c032_Lobby_Touch_3,-1717986918
60,Touch,0,0,10,0,32,0,0,expression_0,Locale_Character:32_speech_04,c032_Lobby_Touch_Love_1,858993459
61,Touch,0,0,10,0,32,0,0,expression_0,Locale_Character:32_speech_05,c032_Lobby_Touch_Love_2,858993459
62,Touch,0,0,10,0,32,0,0,expression_0,Locale_Character:32_speech_06,c032_Lobby_Touch_Love_3,-1717986918
63,Stay,0,0,1,9,32,0,0,expression_0,Locale_Character:32_stay_01,c032_Lobby_Stay_1,0
64,Stay,0,0,10,0,32,0,0,expression_0,Locale_Character:32_stay_02,c032_Lobby_Stay_Love_1,0
65,Touch,0,0,1,9,60,0,0,expression_0,Locale_Character:60_speech_01,c060_Lobby_Touch_1,858993459
66,Touch,0,0,1,9,60,0,0,expression_0,Locale_Character:60_speech_02,c060_Lobby_Touch_2,858993459
67,Touch,0,0,1,9,60,0,0,expression_0,Locale_Character:60_speech_03,c060_Lobby_Touch_3,-1717986918
68,Touch,0,0,10,0,60,0,0,expression_0,Locale_Character:60_speech_04,c060_Lobby_Touch_Love_1,858993459
69,Touch,0,0,10,0,60,0,0,expression_0,Locale_Character:60_speech_05,c060_Lobby_Touch_Love_2,858993459
70,Touch,0,0,10,0,60,0,0,expression_0,Locale_Character:60_speech_06,c060_Lobby_Touch_Love_3,-1717986918
71,Stay,0,0,1,9,60,0,0,expression_0,Locale_Character:60_stay_01,c060_Lobby_Stay_1,0
72,Stay,0,0,10,0,60,0,0,expression_0,Locale_Character:60_stay_02,c060_Lobby_Stay_Love_1,0
73,Touch,0,0,1,9,61,0,0,expression_0,Locale_Character:61_speech_01,c061_Lobby_Touch_1,858993459
74,Touch,0,0,1,9,61,0,0,expression_0,Locale_Character:61_speech_02,c061_Lobby_Touch_2,858993459
75,Touch,0,0,1,9,61,0,0,expression_0,Locale_Character:61_speech_03,c061_Lobby_Touch_3,-1717986918
76,Touch,0,0,10,0,61,0,0,expression_0,Locale_Character:61_speech_04,c061_Lobby_Touch_Love_1,858993459
77,Touch,0,0,10,0,61,0,0,expression_0,Locale_Character:61_speech_05,c061_Lobby_Touch_Love_2,858993459
78,Touch,0,0,10,0,61,0,0,expression_0,Locale_Character:61_speech_06,c061_Lobby_Touch_Love_3,-1717986918
79,Stay,0,0,1,9,61,0,0,expression_0,Locale_Character:61_stay_01,c061_Lobby_Stay_1,0
80,Stay,0,0,10,0,61,0,0,expression_0,Locale_Character:61_stay_02,c061_Lobby_Stay_Love_1,0
81,Touch,0,0,1,9,70,0,0,expression_0,Locale_Character:70_speech_01,c070_Lobby_Touch_1,858993459
82,Touch,0,0,1,9,70,0,0,expression_0,Locale_Character:70_speech_02,c070_Lobby_Touch_2,858993459
83,Touch,0,0,1,9,70,0,0,expression_0,Locale_Character:70_speech_03,c070_Lobby_Touch_3,-1717986918
84,Touch,0,0,10,0,70,0,0,expression_0,Locale_Character:70_speech_04,c070_Lobby_Touch_Love_1,858993459
85,Touch,0,0,10,0,70,0,0,expression_0,Locale_Character:70_speech_05,c070_Lobby_Touch_Love_2,858993459
86,Touch,0,0,10,0,70,0,0,expression_0,Locale_Character:70_speech_06,c070_Lobby_Touch_Love_3,-1717986918
87,Stay,0,0,1,9,70,0,0,expression_0,Locale_Character:70_stay_01,c070_Lobby_Stay_1,0
88,Stay,0,0,10,0,70,0,0,expression_0,Locale_Character:70_stay_02,c070_Lobby_Stay_Love_1,0
89,Touch,0,0,1,9,71,0,0,expression_0,Locale_Character:71_speech_01,c071_Lobby_Touch_1,858993459
90,Touch,0,0,1,9,71,0,0,expression_0,Locale_Character:71_speech_02,c071_Lobby_Touch_2,858993459
91,Touch,0,0,1,9,71,0,0,expression_0,Locale_Character:71_speech_03,c071_Lobby_Touch_3,-1717986918
92,Touch,0,0,10,0,71,0,0,expression_0,Locale_Character:71_speech_04,c071_Lobby_Touch_Love_1,858993459
93,Touch,0,0,10,0,71,0,0,expression_0,Locale_Character:71_speech_05,c071_Lobby_Touch_Love_2,858993459
94,Touch,0,0,10,0,71,0,0,expression_0,Locale_Character:71_speech_06,c071_Lobby_Touch_Love_3,-1717986918
95,Stay,0,0,1,9,71,0,0,expression_0,Locale_Character:71_stay_01,c071_Lobby_Stay_1,0
96,Stay,0,0,10,0,71,0,0,expression_0,Locale_Character:71_stay_02,c071_Lobby_Stay_Love_1,0
97,Touch,0,0,1,9,72,0,0,expression_0,Locale_Character:72_speech_01,c072_Lobby_Touch_1,858993459
98,Touch,0,0,1,9,72,0,0,expression_0,Locale_Character:72_speech_02,c072_Lobby_Touch_2,858993459
99,Touch,0,0,1,9,72,0,0,expression_0,Locale_Character:72_speech_03,c072_Lobby_Touch_3,-1717986918
100,Touch,0,0,10,0,72,0,0,expression_0,Locale_Character:72_speech_04,c072_Lobby_Touch_Love_1,858993459
101,Touch,0,0,10,0,72,0,0,expression_0,Locale_Character:72_speech_05,c072_Lobby_Touch_Love_2,858993459
102,Touch,0,0,10,0,72,0,0,expression_0,Locale_Character:72_speech_06,c072_Lobby_Touch_Love_3,-1717986918
103,Stay,0,0,1,9,72,0,0,expression_0,Locale_Character:72_stay_01,c072_Lobby_Stay_1,0
