id,group_id,step,target_point,reward_id
1,1001,1,12000,8114046
2,1001,2,24000,8114047
3,1001,3,36000,8114048
4,1001,4,48000,8114049
5,1001,5,60000,8114050
6,1001,6,72000,8114051
7,1001,7,84000,8114052
8,1001,8,96000,8114053
9,1001,9,108000,8114054
10,1001,10,120000,8114055
200101,2001,1,25000,20
200102,2001,2,50000,20
200103,2001,3,75000,20
200104,2001,4,100000,20
200105,2001,5,125000,20
200106,2001,6,150000,20
200107,2001,7,175000,20
200108,2001,8,200000,8114059
200109,2001,9,225000,20
200110,2001,10,250000,20
200111,2001,11,275000,20
200112,2001,12,300000,20
200113,2001,13,325000,20
200114,2001,14,350000,20
200115,2001,15,375000,20
200116,2001,16,400000,20
200117,2001,17,425000,8114060
