id,advantage_character_group,advantage_monster_group,advantage_Damage_value
10101,101,11,5000
10102,101,21,5000
10103,101,31,5000
10104,101,41,0
10201,102,11,5000
10202,102,21,5000
10203,102,31,5000
10204,102,41,0
10301,103,11,5000
10302,103,21,5000
10303,103,31,5000
10304,103,41,0
20101,201,12,5000
20102,201,22,5000
20103,201,32,5000
20104,201,42,0
20201,202,12,5000
20202,202,22,5000
20203,202,32,5000
20204,202,42,0
20301,203,12,5000
20302,203,22,5000
20303,203,32,5000
20304,203,42,0
30101,301,13,5000
30102,301,23,5000
30103,301,33,5000
30104,301,43,0
30201,302,13,5000
30202,302,23,5000
30203,302,33,5000
30204,302,43,0
30301,303,13,5000
30302,303,23,5000
30303,303,33,5000
30304,303,43,0
110101,1101,11,5000
110102,1101,12,5000
110103,1101,13,5000
110104,1101,21,5000
110105,1101,22,5000
110106,1101,23,5000
110107,1101,31,5000
110108,1101,32,5000
110109,1101,33,5000
110110,1101,41,0
110111,1101,42,0
110112,1101,43,0
120101,1201,11,5000
120102,1201,12,5000
120103,1201,13,5000
120104,1201,21,5000
120105,1201,22,5000
120106,1201,23,5000
120107,1201,31,5000
120108,1201,32,5000
120109,1201,33,5000
120110,1201,41,0
120111,1201,42,0
120112,1201,43,0
