id,short_name,ticket_item_type,ticket_item_id,ticket_item_count,monster_stage_lv,dynamic_object_stage_lv,spot_autocontrol,standard_battle_power,stage_stat_increase_group_id,is_use_quick_battle,spot_id,first_clear_reward_id,clear_reward_id,enter_scenario,exit_scenario,fixed_play_character_id,character_lv,quick_battle_type,quick_battle_try_max_count,open_condition_list/0/open_condition_type,open_condition_list/0/open_condition_value,open_condition_list/1/open_condition_type,open_condition_list/1/open_condition_value
100110101,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_1,Item,7070001,1,9,6,True,2000,40000,False,6500101,0,7010101,event_nocallerid_01_s,event_nocallerid_01_e,0,0,None,0,None,0,None,0
100110102,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_2,Item,7070001,1,12,8,True,2600,40000,False,6500102,0,7010102,0,0,0,0,StageClear,0,EventDungeonStageClear,100110101,None,0
100110103,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_3,Item,7070001,1,19,14,True,3700,40000,False,6500103,0,7010103,event_nocallerid_02_s,event_nocallerid_02_e,0,0,None,0,EventDungeonStageClear,100110102,None,0
100110104,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_4,Item,7070001,1,26,20,True,4700,40000,False,6500104,0,7010104,0,0,0,0,StageClear,0,EventDungeonStageClear,100110103,None,0
100110105,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_5,Item,7070001,1,33,27,True,5500,40000,False,6500105,0,7010105,event_nocallerid_intermission_01,0,0,0,None,0,EventDungeonStageClear,100110104,None,0
100110106,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_6,Item,7070001,1,46,42,True,8800,40000,False,6500106,0,7010106,event_nocallerid_03_s,event_nocallerid_03_e,0,0,None,0,EventDungeonStageClear,100110105,None,0
100110107,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_7,Item,7070001,1,52,42,True,9900,40000,False,6500107,0,7010107,0,0,0,0,StageClear,0,EventDungeonStageClear,100110106,None,0
100110108,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_8,Item,7070001,1,56,46,True,11200,40000,False,6500108,0,7010108,event_nocallerid_04_s,event_nocallerid_04_e,0,0,None,0,EventDungeonStageClear,100110107,None,0
100110109,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_9,Item,7070001,1,62,50,True,12900,40000,False,6500109,0,7010109,0,0,0,0,StageClear,0,EventDungeonStageClear,100110108,None,0
100110110,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_10,Item,7070001,1,68,56,True,14800,40000,False,6500110,0,7010110,event_nocallerid_05_s,event_nocallerid_05_e,0,0,None,0,EventDungeonStageClear,100110109,None,0
100120101,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_1,Item,7070001,1,72,60,True,15800,40000,False,6500111,0,7020101,0,0,0,0,None,0,EventDungeonStageClear,100110110,None,0
100120102,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_2,Item,7070001,1,76,68,True,16700,40000,False,6500112,0,7020102,0,0,0,0,StageClear,0,EventDungeonStageClear,100120101,None,0
100120103,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_3,Item,7070001,1,80,70,True,17600,40000,False,6500113,0,7020103,0,0,0,0,None,0,EventDungeonStageClear,100120102,None,0
100120104,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_4,Item,7070001,1,82,72,True,18300,40000,False,6500114,0,7020104,0,0,0,0,StageClear,0,EventDungeonStageClear,100120103,None,0
100120105,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_5,Item,7070001,1,84,72,True,20200,40000,False,6500115,0,7020105,0,0,0,0,None,0,EventDungeonStageClear,100120104,None,0
100120106,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_6,Item,7070001,1,88,80,True,21500,40000,False,6500116,0,7020106,0,0,0,0,None,0,EventDungeonStageClear,100120105,None,0
100120107,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_7,Item,7070001,1,90,80,True,22300,40000,False,6500117,0,7020107,0,0,0,0,StageClear,0,EventDungeonStageClear,100120106,None,0
100120108,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_8,Item,7070001,1,96,90,True,25400,40000,False,6500118,0,7020108,0,0,0,0,None,0,EventDungeonStageClear,100120107,None,0
100120109,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_9,Item,7070001,1,98,90,True,26200,40000,False,6500119,0,7020109,0,0,0,0,StageClear,0,EventDungeonStageClear,100120108,None,0
100120110,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_10,Item,7070001,1,102,90,True,27900,40000,False,6500120,0,7020110,0,event_nocallerid_epilogue,0,0,None,0,EventDungeonStageClear,100120109,None,0
100210101,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_1,Item,7070002,1,9,6,True,2000,40000,False,6500201,0,7030101,event_hightechtoy_01_s,event_hightechtoy_01_e,0,0,None,0,None,0,None,0
100210102,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_2,Item,7070002,1,12,8,True,2600,40000,False,6500202,0,7030102,0,0,0,0,StageClear,0,EventDungeonStageClear,100210101,None,0
100210103,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_3,Item,7070002,1,19,14,True,3700,40000,False,6500203,0,7030103,event_hightechtoy_02_s,event_hightechtoy_02_e,0,0,None,0,EventDungeonStageClear,100210102,None,0
100210104,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_4,Item,7070002,1,26,20,True,4700,40000,False,6500204,0,7030104,0,0,0,0,StageClear,0,EventDungeonStageClear,100210103,None,0
100210105,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_5,Item,7070002,1,33,27,True,5500,40000,False,6500205,0,7030105,event_hightechtoy_03_s,event_hightechtoy_03_e,0,0,None,0,EventDungeonStageClear,100210104,None,0
100210106,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_6,Item,7070002,1,39,30,True,6000,40000,False,6500206,0,7030106,0,0,0,0,StageClear,0,EventDungeonStageClear,100210105,None,0
100210107,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_7,Item,7070002,1,43,38,True,8100,40000,False,6500207,0,7030107,event_hightechtoy_intermission_01,0,0,0,None,0,EventDungeonStageClear,100210106,None,0
100210108,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_8,Item,7070002,1,46,42,True,8800,40000,False,6500208,0,7030108,event_hightechtoy_04_s,event_hightechtoy_04_e,0,0,None,0,EventDungeonStageClear,100210107,None,0
100210109,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_9,Item,7070002,1,52,42,True,9900,40000,False,6500209,0,7030109,0,0,0,0,StageClear,0,EventDungeonStageClear,100210108,None,0
100210110,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_10,Item,7070002,1,56,46,True,11200,40000,False,6500210,0,7030110,event_hightechtoy_05_s,event_hightechtoy_05_e,0,0,None,0,EventDungeonStageClear,100210109,None,0
100210111,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_11,Item,7070002,1,62,50,True,12900,40000,False,6500211,0,7030111,0,0,0,0,StageClear,0,EventDungeonStageClear,100210110,None,0
100210112,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_12,Item,7070002,1,68,56,True,14800,40000,False,6500212,0,7030112,event_hightechtoy_06_s,event_hightechtoy_06_e,0,0,None,0,EventDungeonStageClear,100210111,None,0
100220101,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_1,Item,7070002,1,72,60,True,15800,40000,False,6500213,0,7040101,0,0,0,0,None,0,EventDungeonStageClear,100210112,None,0
100220102,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_2,Item,7070002,1,76,68,True,16700,40000,False,6500214,0,7040102,0,0,0,0,StageClear,0,EventDungeonStageClear,100220101,None,0
100220103,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_3,Item,7070002,1,80,70,True,17600,40000,False,6500215,0,7040103,0,0,0,0,None,0,EventDungeonStageClear,100220102,None,0
100220104,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_4,Item,7070002,1,82,72,True,18300,40000,False,6500216,0,7040104,0,0,0,0,StageClear,0,EventDungeonStageClear,100220103,None,0
100220105,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_5,Item,7070002,1,84,72,True,20200,40000,False,6500217,0,7040105,0,0,0,0,None,0,EventDungeonStageClear,100220104,None,0
100220106,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_6,Item,7070002,1,88,80,True,21500,40000,False,6500218,0,7040106,0,0,0,0,StageClear,0,EventDungeonStageClear,100220105,None,0
100220107,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_7,Item,7070002,1,90,80,True,22300,40000,False,6500219,0,7040107,0,0,0,0,None,0,EventDungeonStageClear,100220106,None,0
