id,group_id,second_group_id,grade,group_rate,stat_type_1,stat_calctype_1,stat_value_1,locale_name,iconresource
101,1,1,1,6500,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
102,1,1,2,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
103,1,1,3,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
104,1,1,4,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
105,1,1,5,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
106,1,1,6,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
107,1,1,7,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
108,1,1,8,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
109,1,1,9,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
110,1,1,10,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_A,icn_nks_attack
201,1,2,1,1500,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
202,1,2,2,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
203,1,2,3,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
204,1,2,4,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
205,1,2,5,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
206,1,2,6,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
207,1,2,7,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
208,1,2,8,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
209,1,2,9,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
210,1,2,10,0,Stat_atk,Add,0,Locale_Event:Event_NKSminigame_System_StatCategory_att_S,icn_nks_attack
301,2,1,1,3500,Stat_atkspd,Multi,-858993459,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
302,2,1,2,0,Stat_atkspd,Multi,1374389535,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
303,2,1,3,0,Stat_atkspd,Multi,-1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
304,2,1,4,0,Stat_atkspd,Multi,1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
305,2,1,5,0,Stat_atkspd,Multi,-343597384,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
306,2,1,6,0,Stat_atkspd,Multi,858993459,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
307,2,1,7,0,Stat_atkspd,Multi,0,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
308,2,1,8,0,Stat_atkspd,Multi,-2061584302,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
309,2,1,9,0,Stat_atkspd,Multi,-858993459,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
310,2,1,10,0,Stat_atkspd,Multi,-1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_A,icn_nks_attackspeed
401,2,2,1,1500,Stat_atkspd,Multi,-858993459,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
402,2,2,2,0,Stat_atkspd,Multi,-1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
403,2,2,3,0,Stat_atkspd,Multi,1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
404,2,2,4,0,Stat_atkspd,Multi,858993459,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
405,2,2,5,0,Stat_atkspd,Multi,0,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
406,2,2,6,0,Stat_atkspd,Multi,-858993459,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
407,2,2,7,0,Stat_atkspd,Multi,-1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
408,2,2,8,0,Stat_atkspd,Multi,1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
409,2,2,9,0,Stat_atkspd,Multi,858993459,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
410,2,2,10,0,Stat_atkspd,Multi,0,Locale_Event:Event_NKSminigame_System_StatCategory_attSpd_S,icn_nks_attackspeed
501,3,1,1,8500,Stat_projSpd,Multi,-858993459,Locale_Event:Event_NKSminigame_System_StatCategory_pjSpd_A,icn_nks_projspeed
502,3,1,2,0,Stat_projSpd,Multi,1374389535,Locale_Event:Event_NKSminigame_System_StatCategory_pjSpd_A,icn_nks_projspeed
503,3,1,3,0,Stat_projSpd,Multi,-1717986918,Locale_Event:Event_NKSminigame_System_StatCategory_pjSpd_A,icn_nks_projspeed
