id,commonsettingsid,stagegroup,stageopencondition,canrepeat,ischallenge,mapwidth,mapheight,tileset_id,stagetimeline_group_id,clear_reward,enter_scenario,lose_scenario,win_scenario,stagename_locale,stagedesc_locale,ui_difficult,ui_theme,ui_theme_localkey,decotileamount,decotile_xoffset,decotile_yoffset,bgmset/0/name,bgmset/0/value,bgmset/1/name,bgmset/1/value,bgmset/2/name,bgmset/2/value,bgmset/3/name,bgmset/3/value,bgmset/4/name,bgmset/4/value
1,1,1,0,True,False,2560,0,1,101001,101001,,,,Locale_Event:NKS_StageName_01,Locale_Event:NKS_StageDesc_01,2,NKS_StageTheme_01,Locale_Event:Event_NKSminigame_StageTheme_Name_Iceland,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,,,,,,,,
2,1,1,1,True,False,0,0,1,102001,101002,,,,Locale_Event:NKS_StageName_02,Locale_Event:NKS_StageDesc_02,4,NKS_StageTheme_01,Locale_Event:Event_NKSminigame_StageTheme_Name_Iceland,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,,,,,,,,
3,1,2,2,True,False,0,2560,2,201001,102001,,,,Locale_Event:NKS_StageName_06,Locale_Event:NKS_StageDesc_06,3,NKS_StageTheme_02,Locale_Event:Event_NKSminigame_StageTheme_Name_armybase,10,-24,-33,bgmset,event_bgm_redash_minigame_armybase,,,,,,,,
4,1,2,3,True,False,0,0,2,202001,102002,,,,Locale_Event:NKS_StageName_07,Locale_Event:NKS_StageDesc_07,6,NKS_StageTheme_02,Locale_Event:Event_NKSminigame_StageTheme_Name_armybase,10,-24,-33,bgmset,event_bgm_redash_minigame_armybase,,,,,,,,
5,1,3,4,True,False,2560,0,3,301001,103001,,,,Locale_Event:NKS_StageName_11,Locale_Event:NKS_StageDesc_11,4,NKS_StageTheme_03,Locale_Event:Event_NKSminigame_StageTheme_Name_desert,10,-24,-33,bgmset,event_bgm_redash_minigame_desertland,,,,,,,,
6,1,3,5,True,False,0,0,3,302001,103002,,,,Locale_Event:NKS_StageName_12,Locale_Event:NKS_StageDesc_12,8,NKS_StageTheme_03,Locale_Event:Event_NKSminigame_StageTheme_Name_desert,10,-24,-33,bgmset,event_bgm_redash_minigame_desertland,,,,,,,,
7,1,4,6,True,False,0,2560,4,401001,104001,,,,Locale_Event:NKS_StageName_16,Locale_Event:NKS_StageDesc_16,5,NKS_StageTheme_04,Locale_Event:Event_NKSminigame_StageTheme_Name_grassland,10,-24,-33,bgmset,event_bgm_redash_minigame_grassland,,,,,,,,
8,1,4,7,True,False,0,0,4,402001,104002,,,,Locale_Event:NKS_StageName_17,Locale_Event:NKS_StageDesc_17,9,NKS_StageTheme_04,Locale_Event:Event_NKSminigame_StageTheme_Name_grassland,10,-24,-33,bgmset,event_bgm_redash_minigame_grassland,,,,,,,,
9,1,5,8,True,False,2560,0,5,501001,105001,,,,Locale_Event:NKS_StageName_21,Locale_Event:NKS_StageDesc_21,6,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_simulationRoom,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
10,1,5,9,True,False,0,0,5,502001,105002,,,,Locale_Event:NKS_StageName_22,Locale_Event:NKS_StageDesc_22,10,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_simulationRoom,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
11,1,6,2,True,True,0,0,5,601001,306000,,,,Locale_Event:NKS_StageName_26,Locale_Event:NKS_StageDesc_26,12,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_challengeStage,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
101,2,1,0,True,False,2560,0,1,101001,1101001,,,,Locale_Event:NKS_StageName_01,Locale_Event:NKS_StageDesc_01,2,NKS_StageTheme_01,Locale_Event:Event_NKSminigame_StageTheme_Name_Iceland,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,,,,,,,,
102,2,1,101,True,False,0,0,1,102001,1101002,,,,Locale_Event:NKS_StageName_02,Locale_Event:NKS_StageDesc_02,4,NKS_StageTheme_01,Locale_Event:Event_NKSminigame_StageTheme_Name_Iceland,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,,,,,,,,
103,2,2,102,True,False,0,2560,2,201001,1102001,,,,Locale_Event:NKS_StageName_06,Locale_Event:NKS_StageDesc_06,3,NKS_StageTheme_02,Locale_Event:Event_NKSminigame_StageTheme_Name_armybase,10,-24,-33,bgmset,event_bgm_redash_minigame_armybase,,,,,,,,
104,2,2,103,True,False,0,0,2,202001,1102002,,,,Locale_Event:NKS_StageName_07,Locale_Event:NKS_StageDesc_07,6,NKS_StageTheme_02,Locale_Event:Event_NKSminigame_StageTheme_Name_armybase,10,-24,-33,bgmset,event_bgm_redash_minigame_armybase,,,,,,,,
105,2,3,104,True,False,2560,0,3,301001,1103001,,,,Locale_Event:NKS_StageName_11,Locale_Event:NKS_StageDesc_11,4,NKS_StageTheme_03,Locale_Event:Event_NKSminigame_StageTheme_Name_desert,10,-24,-33,bgmset,event_bgm_redash_minigame_desertland,,,,,,,,
106,2,3,105,True,False,0,0,3,302001,1103002,,,,Locale_Event:NKS_StageName_12,Locale_Event:NKS_StageDesc_12,8,NKS_StageTheme_03,Locale_Event:Event_NKSminigame_StageTheme_Name_desert,10,-24,-33,bgmset,event_bgm_redash_minigame_desertland,,,,,,,,
107,2,4,106,True,False,0,2560,4,401001,1104001,,,,Locale_Event:NKS_StageName_16,Locale_Event:NKS_StageDesc_16,5,NKS_StageTheme_04,Locale_Event:Event_NKSminigame_StageTheme_Name_grassland,10,-24,-33,bgmset,event_bgm_redash_minigame_grassland,,,,,,,,
108,2,4,107,True,False,0,0,4,402001,1104002,,,,Locale_Event:NKS_StageName_17,Locale_Event:NKS_StageDesc_17,9,NKS_StageTheme_04,Locale_Event:Event_NKSminigame_StageTheme_Name_grassland,10,-24,-33,bgmset,event_bgm_redash_minigame_grassland,,,,,,,,
109,2,5,108,True,False,2560,0,5,501001,1105001,,,,Locale_Event:NKS_StageName_21,Locale_Event:NKS_StageDesc_21,6,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_simulationRoom,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
110,2,5,109,True,False,0,0,5,502001,1105002,,,,Locale_Event:NKS_StageName_22,Locale_Event:NKS_StageDesc_22,10,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_simulationRoom,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
111,2,6,102,True,True,0,0,5,601001,1306000,,,,Locale_Event:NKS_StageName_26,Locale_Event:NKS_StageDesc_26,12,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_challengeStage,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
200,3,1,0,True,False,0,2560,1,1103001,2101000,,,,Locale_Event:NKS_StageName_01_01,Locale_Event:NKS_StageDesc_01_01,1,NKS_StageTheme_01,Locale_Event:Event_NKSminigame_StageTheme_Name_Iceland,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,,,,,,,,
201,3,1,200,True,False,2560,0,1,1101001,2101001,,,,Locale_Event:NKS_StageName_01,Locale_Event:NKS_StageDesc_01,1,NKS_StageTheme_01,Locale_Event:Event_NKSminigame_StageTheme_Name_Iceland,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,,,,,,,,
202,3,1,201,True,False,0,0,1,1102001,2101002,,,,Locale_Event:NKS_StageName_02,Locale_Event:NKS_StageDesc_02,2,NKS_StageTheme_01,Locale_Event:Event_NKSminigame_StageTheme_Name_Iceland,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,,,,,,,,
210,3,2,200,True,False,0,2560,2,1203001,2102000,,,,Locale_Event:NKS_StageName_06_01,Locale_Event:NKS_StageDesc_06_01,2,NKS_StageTheme_02,Locale_Event:Event_NKSminigame_StageTheme_Name_armybase,10,-24,-33,bgmset,event_bgm_redash_minigame_armybase,,,,,,,,
211,3,2,210,True,False,0,2560,2,1201001,2102001,,,,Locale_Event:NKS_StageName_06,Locale_Event:NKS_StageDesc_06,2,NKS_StageTheme_02,Locale_Event:Event_NKSminigame_StageTheme_Name_armybase,10,-24,-33,bgmset,event_bgm_redash_minigame_armybase,,,,,,,,
212,3,2,211,True,False,0,0,2,1202001,2102002,,,,Locale_Event:NKS_StageName_07,Locale_Event:NKS_StageDesc_07,3,NKS_StageTheme_02,Locale_Event:Event_NKSminigame_StageTheme_Name_armybase,10,-24,-33,bgmset,event_bgm_redash_minigame_armybase,,,,,,,,
220,3,3,210,True,False,0,2560,3,1303001,2103000,,,,Locale_Event:NKS_StageName_11_01,Locale_Event:NKS_StageDesc_11_01,3,NKS_StageTheme_03,Locale_Event:Event_NKSminigame_StageTheme_Name_desert,10,-24,-33,bgmset,event_bgm_redash_minigame_desertland,,,,,,,,
221,3,3,220,True,False,2560,0,3,1301001,2103001,,,,Locale_Event:NKS_StageName_11,Locale_Event:NKS_StageDesc_11,3,NKS_StageTheme_03,Locale_Event:Event_NKSminigame_StageTheme_Name_desert,10,-24,-33,bgmset,event_bgm_redash_minigame_desertland,,,,,,,,
222,3,3,221,True,False,0,0,3,1302001,2103002,,,,Locale_Event:NKS_StageName_12,Locale_Event:NKS_StageDesc_12,4,NKS_StageTheme_03,Locale_Event:Event_NKSminigame_StageTheme_Name_desert,10,-24,-33,bgmset,event_bgm_redash_minigame_desertland,,,,,,,,
230,3,4,220,True,False,0,2560,4,1403001,2104000,,,,Locale_Event:NKS_StageName_16_01,Locale_Event:NKS_StageDesc_16_01,4,NKS_StageTheme_04,Locale_Event:Event_NKSminigame_StageTheme_Name_grassland,10,-24,-33,bgmset,event_bgm_redash_minigame_grassland,,,,,,,,
231,3,4,230,True,False,0,2560,4,1401001,2104001,,,,Locale_Event:NKS_StageName_16,Locale_Event:NKS_StageDesc_16,4,NKS_StageTheme_04,Locale_Event:Event_NKSminigame_StageTheme_Name_grassland,10,-24,-33,bgmset,event_bgm_redash_minigame_grassland,,,,,,,,
232,3,4,231,True,False,0,0,4,1402001,2104002,,,,Locale_Event:NKS_StageName_17,Locale_Event:NKS_StageDesc_17,5,NKS_StageTheme_04,Locale_Event:Event_NKSminigame_StageTheme_Name_grassland,10,-24,-33,bgmset,event_bgm_redash_minigame_grassland,,,,,,,,
240,3,5,230,True,False,0,2560,5,1503001,2105000,,,,Locale_Event:NKS_StageName_21_01,Locale_Event:NKS_StageDesc_21_01,5,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_simulationRoom,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,bgmset,event_bgm_redash_minigame_mine
241,3,5,240,True,False,2560,0,5,1501001,2105001,,,,Locale_Event:NKS_StageName_21,Locale_Event:NKS_StageDesc_21,5,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_simulationRoom,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,bgmset,event_bgm_redash_minigame_mine
242,3,5,241,True,False,0,0,5,1502001,2105002,,,,Locale_Event:NKS_StageName_22,Locale_Event:NKS_StageDesc_22,6,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_simulationRoom,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,bgmset,event_bgm_redash_minigame_mine
250,3,6,240,True,False,0,640,6,1603001,2106000,,,,Locale_Event:NKS_StageName_27,Locale_Event:NKS_StageDesc_27,7,NKS_StageTheme_06,Locale_Event:Event_NKSminigame_StageTheme_Name_Mine,10,-24,-33,bgmset,event_bgm_redash_minigame_mine,,,,,,,,
251,3,6,250,True,False,640,0,6,1601001,2106001,,,,Locale_Event:NKS_StageName_28,Locale_Event:NKS_StageDesc_28,8,NKS_StageTheme_06,Locale_Event:Event_NKSminigame_StageTheme_Name_Mine,10,-24,-33,bgmset,event_bgm_redash_minigame_mine,,,,,,,,
252,3,6,251,True,False,0,0,6,1602001,2106002,,,,Locale_Event:NKS_StageName_29,Locale_Event:NKS_StageDesc_29,9,NKS_StageTheme_06,Locale_Event:Event_NKSminigame_StageTheme_Name_Mine,10,-24,-33,bgmset,event_bgm_redash_minigame_mine,,,,,,,,
260,3,7,201,True,False,0,0,5,1701001,2306000,,,,Locale_Event:NKS_StageName_26_01,Locale_Event:NKS_StageDesc_26_01,12,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_challengeStage,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,bgmset,event_bgm_redash_minigame_mine
261,3,7,201,True,True,0,0,5,1702001,2306001,,,,Locale_Event:NKS_StageName_26_02,Locale_Event:NKS_StageDesc_26_02,12,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_challengeStage,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,bgmset,event_bgm_redash_minigame_mine
90001,90001,90001,0,True,False,0,0,5,800100,999998,,,,Locale_Event:NKS_StageName_26,Locale_Event:NKS_StageDesc_26,12,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_challengeStage,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
90002,90002,90002,0,True,False,0,0,5,800200,999999,,,,Locale_Event:NKS_StageName_26,Locale_Event:NKS_StageDesc_26,12,NKS_StageTheme_05,Locale_Event:Event_NKSminigame_StageTheme_Name_challengeStage,10,-24,-33,bgmset,event_bgm_redash_minigame_snowland,bgmset,event_bgm_redash_minigame_armybase,bgmset,event_bgm_redash_minigame_desertland,bgmset,event_bgm_redash_minigame_grassland,,
