id,speaker_name,speaker_portrait
marian,Locale_Event:td_marian,icn_tower_marian_tower
crown,Locale_Event:td_crown,icn_tower_crown_tower
kilo,Locale_Event:td_kilo,icn_kilo_pilot
snowwhite,Locale_Event:td_snowwhite,icn_tower_snowwhite_tower
hongryeon,Locale_Event:td_scarlet,icn_tower_scarlet_tower
rapunzel,Locale_Event:td_rapunzel,icn_tower_rapunzel_tower
chime,Locale_Event:td_chime,icn_chime
talos,Locale_Event:td_talos,icn_tower_kilo_tower
indivilia,Locale_Event:td_indivilia,icn_indivilia
talkative,Locale_Event:td_talkative,icn_chatterbox
shifty,Locale_Event:td_shifty,icn_tower_shifty_tower
mechashifty_01,Locale_Event:td_mechashifty_01,icn_tower_mechashifty_tower
mechashifty_02,Locale_Event:td_mechashifty_02,icn_tower_mechashifty_02_tower
mechashifty_03,Locale_Event:td_mechashifty_03,icn_tower_mechashifty_03_tower
mechashifty_04,Locale_Event:td_mechashifty_04,icn_tower_mechashifty_04_tower
mechashifty_05,Locale_Event:td_mechashifty_05,icn_tower_mechashifty_05_tower
mechashifty_06,Locale_Event:td_mechashifty_06,icn_tower_mechashifty_06_tower
