id,group_id,level,function_battlepower,name_localkey,description_localkey,buff,buff_remove,function_type,function_standard,function_value_type,function_value,full_count,is_cancel,delay_type,delay_value,duration_type,duration_value,limit_value,function_target,timing_trigger_type,timing_trigger_standard,timing_trigger_value,status_trigger_type,status_trigger_standard,status_trigger_value,status_trigger2_type,status_trigger2_standard,status_trigger2_value,keeping_type,buff_icon,element_reaction_icon,shot_fx_list_type,fx_prefab_01,fx_target_01,fx_socket_point_01,fx_prefab_02,fx_target_02,fx_socket_point_02,fx_prefab_03,fx_target_03,fx_socket_point_03,fx_prefab_full,fx_target_full,fx_socket_point_full,fx_prefab_01_arena,fx_target_01_arena,fx_socket_point_01_arena,fx_prefab_02_arena,fx_target_02_arena,fx_socket_point_02_arena,fx_prefab_03_arena,fx_target_03_arena,fx_socket_point_03_arena,connected_function/0/name,connected_function/0/value,connected_function/1/name,connected_function/1/value,connected_function/2/name,connected_function/2/value,connected_function/3/name,connected_function/3/value,connected_function/4/name,connected_function/4/value
201110101,2011101,1,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011101,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110201,2011101,2,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011102,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110301,2011101,3,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011103,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110401,2011101,4,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011104,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110501,2011101,5,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011105,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110601,2011101,6,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011106,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110701,2011101,7,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011107,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110801,2011101,8,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011108,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201110901,2011101,9,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011109,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
201111001,2011101,10,0,Locale_Skill:20111_name,,Etc,Etc,UseCharacterSkillId,User,Integer,1011110,1,False,None,0,TimeSec,0,0,Self,OnKillRatio,None,10000,None,None,0,None,None,0,On,icn_buff_statcritical,,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,,,,,,,,,
101110102,1011102,1,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,178,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110202,1011102,2,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,197,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110302,1011102,3,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,217,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110402,1011102,4,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,237,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110502,1011102,5,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,257,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110602,1011102,6,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,277,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110702,1011102,7,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,296,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110802,1011102,8,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,316,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101110902,1011102,9,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,336,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
101111002,1011102,10,0,Locale_Skill:20111_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,User,Integer,356,1,False,None,0,TimeSec,500,0,Target,None,None,0,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_c011_sk1_buff,User,Center,fx_function_c_critical_perup,Target,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
201120101,2011201,1,0,Locale_Skill:20112_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,FunctionTarget,Integer,2296,1,False,None,0,Shots,2,0,AllCharacter,OnEnterBurstStep,User,4,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_function_c_critical_perup,Target,Center,fx_c011_sk2_buff,User,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
201120201,2011201,2,0,Locale_Skill:20112_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,FunctionTarget,Integer,2552,1,False,None,0,Shots,2,0,AllCharacter,OnEnterBurstStep,User,4,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_function_c_critical_perup,Target,Center,fx_c011_sk2_buff,User,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
201120301,2011201,3,0,Locale_Skill:20112_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,FunctionTarget,Integer,2807,1,False,None,0,Shots,2,0,AllCharacter,OnEnterBurstStep,User,4,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_function_c_critical_perup,Target,Center,fx_c011_sk2_buff,User,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
201120401,2011201,4,0,Locale_Skill:20112_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,FunctionTarget,Integer,3062,1,False,None,0,Shots,2,0,AllCharacter,OnEnterBurstStep,User,4,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_function_c_critical_perup,Target,Center,fx_c011_sk2_buff,User,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
201120501,2011201,5,0,Locale_Skill:20112_name,Locale_Skill:statcritical_per_add_des,Buff,Clear,StatCritical,FunctionTarget,Integer,3317,1,False,None,0,Shots,2,0,AllCharacter,OnEnterBurstStep,User,4,None,None,0,None,None,0,On,icn_buff_statcritical,,None,fx_function_c_critical_perup,Target,Center,fx_c011_sk2_buff,User,Center,,None,None,,None,None,fx_function_a_buff_statcritical,Target,Bottom,,None,None,,None,None,,,,,,,,,,
