id,group_id,event_id,event_target,condition_missionclear,condition_stageclear,condition_time,event_type,event_value,event_check_condition
100101,1001,0,Field,0,0,395585920,CameraAction,enter,None
100102,1001,0,Field,0,100310103,-1325881344,MapChange,febg_christmas_001_02,None
100103,1001,0,Field,0,100310103,-1325881344,CameraAction,enter,None
100104,1001,0,Field,0,100310103,-1325881344,IncreaseDummy,10,None
100105,1001,0,Field,0,100310105,-251207680,MapChange,febg_christmas_001_04,None
100106,1001,0,Field,0,100310105,-251207680,CameraAction,enter,None
100107,1001,0,Field,0,100310105,-251207680,IncreaseDummy,20,None
100201,1002,0,Field,0,100310103,-1325881344,IncreaseDummy,10,None
100301,1003,0,Field,0,0,1206140928,TimeLineAction,febg_lostcity_001_timeline_introaction,None
100302,1003,0,Field,0,101310101,-207705728,IncreaseDummy,7,None
100303,1003,0,Field,0,101310103,-207705728,IncreaseDummy,1,None
100304,1003,0,Field,0,101310105,-207705728,CameraAction,NpcSpawn,None
100305,1003,0,Field,0,101310106,-207705728,IncreaseDummy,0,None
100306,1003,0,Field,0,101410101,-207705728,IncreaseDummy,1,None
100307,1003,0,Field,0,101410106,-207705728,IncreaseDummy,0,None
100308,1003,0,Field,0,101410110,-207705728,IncreaseDummy,0,None
100401,1004,0,Field,0,102010105,-207705728,CameraAction,NpcSpawn,None
100501,1005,0,Field,0,0,227467264,TimeLineAction,febg_tropical_002_timeline_entercamera,None
100502,1005,0,Field,0,0,-464029696,MapChange,febg_tropical_002_02,None
100503,1005,0,Field,0,0,-464029696,HudChange,hud_event_field_seayouagain_storm,None
100504,1005,0,Field,0,0,-464029696,TimeLineAction,febg_tropical_002_timeline_krakenappearscene,None
100505,1005,0,Field,0,0,-832579584,MapChange,febg_tropical_002_03,None
100506,1005,0,Field,0,0,-832579584,HudChange,hud_event_field_seayouagain_daytime,None
100507,1005,0,Field,0,0,-832579584,TimeLineAction,febg_tropical_002_timeline_entercamera,None
100508,1005,0,Field,0,0,201940992,MapChange,febg_tropical_002_01,None
100509,1005,0,Field,0,0,201940992,HudChange,hud_event_field_seayouagain_night,None
100510,1005,0,Field,0,0,201940992,TimeLineAction,febg_tropical_002_timeline_entercamera,None
100511,1005,0,Field,0,0,222017536,MapChange,febg_tropical_002_02,None
100512,1005,0,Field,0,0,222017536,HudChange,hud_event_field_seayouagain_storm,None
100513,1005,0,Field,0,0,222017536,TimeLineAction,febg_tropical_002_timeline_krakenappearscene,None
100514,1005,0,Field,0,0,-146532352,MapChange,febg_tropical_002_03,None
100515,1005,0,Field,0,0,-146532352,HudChange,hud_event_field_seayouagain_daytime,None
100516,1005,0,Field,0,0,-146532352,TimeLineAction,febg_tropical_002_timeline_entercamera,None
100517,1005,0,Field,0,0,887988224,MapChange,febg_tropical_002_01,None
100518,1005,0,Field,0,0,887988224,HudChange,hud_event_field_seayouagain_night,None
100519,1005,0,Field,0,0,887988224,TimeLineAction,febg_tropical_002_timeline_entercamera,None
100520,1005,0,Field,0,0,908064768,MapChange,febg_tropical_002_02,None
100521,1005,0,Field,0,0,908064768,HudChange,hud_event_field_seayouagain_storm,None
100522,1005,0,Field,0,0,908064768,TimeLineAction,febg_tropical_002_timeline_krakenappearscene,None
100523,1005,0,Field,0,0,539514880,MapChange,febg_tropical_002_03,None
100524,1005,0,Field,0,0,539514880,HudChange,hud_event_field_seayouagain_daytime,None
100525,1005,0,Field,0,0,539514880,TimeLineAction,febg_tropical_002_timeline_entercamera,None
100526,1005,0,Field,0,0,862461952,MapChange,febg_tropical_002_01,None
100527,1005,0,Field,0,0,862461952,HudChange,hud_event_field_seayouagain_night,None
100528,1005,0,Field,0,0,862461952,TimeLineAction,febg_tropical_002_timeline_entercamera,None
100529,1006,0,Field,0,0,1417150464,TimeLineAction,,None
100530,1006,0,Field,0,102610109,-207705728,MapChange,febg_factory_001_01,None
100531,1006,0,Field,0,102610115,74309632,IncreaseDummy,0,None
100532,1006,0,Field,0,102710116,74309632,MapChange,febg_factory_001,None
20010201,200102,0,NPC,0,100310112,-1335881344,Despawn,,None
20010301,200103,0,NPC,0,0,395585920,Despawn,,None
20010302,200103,0,NPC,0,100310112,-1335881344,Spawn,,None
20010601,200106,0,NPC,0,100310107,-207705728,Despawn,,None
20010701,200107,0,NPC,0,0,395585920,Despawn,,None
