id,world_id,research_category_group_id,research_floor,is_research_node_use,research_grade,research_level_group,research_name_localkey,research_description_localkey,research_value_localkey,resource_id,next_research_group/0/next_research_group,next_research_group/1/next_research_group,next_research_group/2/next_research_group,next_research_group/3/next_research_group,open_condition/0/open_condition_type,open_condition/0/open_condition_value,open_condition/1/open_condition_type,open_condition/1/open_condition_value,open_condition/2/open_condition_type,open_condition/2/open_condition_value,open_condition/3/open_condition_type,open_condition/3/open_condition_value
4010101,4,1000,1,True,1,4010101,SURFACE_RESEARCH_INCREASE_TEAM_MAX_AMOUNT_NAME,SURFACE_RESEARCH_INCREASE_TEAM_MAX_AMOUNT_DESC,SURFACE_RESEARCH_FUNCTION_INTEGER,icn_surface_increase_team_max_amount_001,0,0,0,0,SurfaceBuildingLevel,401000103,None,0,None,0,None,0
4010102,4,1000,1,True,1,4010102,SURFACE_RESEARCH_OPEN_BUFF_PARTS_01_NAME,SURFACE_RESEARCH_OPEN_BUFF_PARTS_01_DESC,SURFACE_RESEARCH_FUNCTION_ID_LV,icn_surface_open_buff_parts_001,4010202,0,0,0,SurfaceBuildingLevel,401000103,None,0,None,0,None,0
4010103,4,1000,1,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4010104,4,1000,1,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4010201,4,1000,2,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4010202,4,1000,2,True,1,4010202,SURFACE_RESEARCH_OPEN_BUFF_PARTS_02_NAME,SURFACE_RESEARCH_OPEN_BUFF_PARTS_02_DESC,SURFACE_RESEARCH_FUNCTION_ID_LV,icn_surface_open_buff_parts_001,4010302,0,0,0,SurfaceBuildingLevel,401000104,SurfaceResearchLevel,401010201,None,0,None,0
4010203,4,1000,2,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4010204,4,1000,2,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4010301,4,1000,3,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4010302,4,1000,3,True,1,4010302,SURFACE_RESEARCH_OPEN_BUFF_PARTS_03_NAME,SURFACE_RESEARCH_OPEN_BUFF_PARTS_03_DESC,SURFACE_RESEARCH_FUNCTION_ID_LV,icn_surface_open_buff_parts_001,0,0,0,0,SurfaceBuildingLevel,401000105,SurfaceResearchLevel,401020201,None,0,None,0
4010303,4,1000,3,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4010304,4,1000,3,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4020101,4,2000,1,True,1,4020101,SURFACE_RESEARCH_NAME_INCREASE_PRODUCTION_CORE_POWDER,SURFACE_RESEARCH_DESC_INCREASE_PRODUCTION_CORE_POWDER,SURFACE_RESEARCH_FUNCTION_PERCENT,icn_surface_research_increase_production_core_powder_001,4020201,0,0,0,None,0,None,0,None,0,None,0
4020102,4,2000,1,True,1,4020102,SURFACE_RESEARCH_NAME_INCREASE_PRODUCTION_GODDESIUM,SURFACE_RESEARCH_DESC_INCREASE_PRODUCTION_GODDESIUM,SURFACE_RESEARCH_FUNCTION_PERCENT,icn_surface_research_increase_production_goddesium_001,4020201,0,0,0,None,0,None,0,None,0,None,0
4020103,4,2000,1,True,1,4020103,SURFACE_RESEARCH_NAME_INCREASE_PRODUCTION_GEONIC,SURFACE_RESEARCH_DESC_INCREASE_PRODUCTION_GEONIC,SURFACE_RESEARCH_FUNCTION_PERCENT,icn_surface_research_increase_production_geonic_001,4020201,0,0,0,None,0,None,0,None,0,None,0
4020104,4,2000,1,True,1,4020104,SURFACE_RESEARCH_NAME_INCREASE_PRODUCTION_NEO_TITANIUM,SURFACE_RESEARCH_DESC_INCREASE_PRODUCTION_NEO_TITANIUM,SURFACE_RESEARCH_FUNCTION_PERCENT,icn_surface_research_increase_production_neo_titanium_001,4020201,0,0,0,None,0,None,0,None,0,None,0
4020201,4,2000,2,True,1,4020201,SURFACE_RESEARCH_NAME_INCREASE_PRODUCTION_SURFACE_CURRENCY,SURFACE_RESEARCH_DESC_INCREASE_PRODUCTION_SURFACE_CURRENCY,SURFACE_RESEARCH_FUNCTION_PERCENT,icn_surface_research_increase_production_surface_currency_001,0,0,0,0,SurfaceResearchLevel,402010101,SurfaceResearchLevel,402010201,SurfaceResearchLevel,402010301,SurfaceResearchLevel,402010401
4020202,4,2000,2,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
4020203,4,2000,2,True,1,4020203,SURFACE_RESEARCH_NAME_INCREASE_SURFACE_BUILDING_LEVEL_UP_TIME,SURFACE_RESEARCH_DESC_INCREASE_SURFACE_BUILDING_LEVEL_UP_TIME,SURFACE_RESEARCH_FUNCTION_PERCENT,icn_surface_research_decrease_building_level_up_time_001,0,0,0,0,SurfaceBuildingLevel,401000104,None,0,None,0,None,0
4020204,4,2000,2,True,1,4020204,SURFACE_RESEARCH_NAME_DECREASE_SURFACE_BUILDING_LEVEL_UP_COST,SURFACE_RESEARCH_DESC_DECREASE_SURFACE_BUILDING_LEVEL_UP_COST,SURFACE_RESEARCH_FUNCTION_PERCENT,icn_surface_research_decrease_building_level_up_cost_001,0,0,0,0,SurfaceBuildingLevel,401000104,None,0,None,0,None,0
4030101,4,3000,1,True,1,4030101,SURFACE_RESEARCH_OPEN_RAPID_DEPLOYMENT_NAME,SURFACE_RESEARCH_OPEN_RAPID_DEPLOYMENT_DESC,,icn_surface_research_rapid_deployment_unlock_001,4030201,0,0,0,SurfaceBuildingLevel,401000104,None,0,None,0,None,0
4030102,4,3000,1,True,1,4030102,SURFACE_RESEARCH_HOSPITAL_SLOT_UNLOCK_NAME,SURFACE_RESEARCH_HOSPITAL_SLOT_UNLOCK_DESC,SURFACE_RESEARCH_FUNCTION_INTEGER,icn_surface_research_hospital_slot_unlock_001,4030202,4030203,0,0,SurfaceBuildingLevel,401000104,None,0,None,0,None,0
4030103,4,3000,1,False,0,0,,,,,0,0,0,0,None,0,None,0,None,0,None,0
