id,arena_type,priority,name,description,tier_number,resource_id,grant_type,grant_value_min,grant_value_max
101001,ArenaSpecial,1,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,1,105,Rank,1,1
101002,ArenaSpecial,2,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,2,105,Rank,2,2
101003,ArenaSpecial,3,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,3,105,Rank,3,3
101004,ArenaSpecial,4,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,4,105,Rank,4,4
101005,ArenaSpecial,5,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,5,105,Rank,5,5
101006,ArenaSpecial,6,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,6,105,Rank,6,6
101007,ArenaSpecial,7,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,7,105,Rank,7,7
101008,ArenaSpecial,8,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,8,105,Rank,8,8
101009,ArenaSpecial,9,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,9,105,Rank,9,9
101010,ArenaSpecial,10,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,10,105,Rank,10,10
102001,ArenaSpecial,101,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,1,104,Rank,11,15
102002,ArenaSpecial,102,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,2,104,Rank,16,20
102003,ArenaSpecial,103,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,3,104,Rank,21,30
102004,ArenaSpecial,104,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,4,104,Rank,31,40
102005,ArenaSpecial,105,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,5,104,Rank,41,50
102006,ArenaSpecial,106,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,6,104,Rank,51,60
102007,ArenaSpecial,107,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,7,104,Rank,61,70
102008,ArenaSpecial,108,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,8,104,Rank,71,80
102009,ArenaSpecial,109,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,9,104,Rank,81,90
102010,ArenaSpecial,110,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,10,104,Rank,91,100
103001,ArenaSpecial,111,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,1,103,Rank,101,110
103002,ArenaSpecial,112,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,2,103,Rank,111,120
103003,ArenaSpecial,113,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,3,103,Rank,121,130
104001,ArenaSpecial,121,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,1,102,Rank,131,140
104002,ArenaSpecial,122,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,2,102,Rank,141,150
104003,ArenaSpecial,123,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,3,102,Rank,151,160
105001,ArenaSpecial,131,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,1,101,Rank,161,170
105002,ArenaSpecial,132,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,2,101,Rank,171,180
105003,ArenaSpecial,133,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,3,101,Rank,181,190
106001,ArenaSpecial,141,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,1,100,Rank,191,200
106002,ArenaSpecial,142,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,2,100,Rank,200,0
999999,ArenaSpecial,9999,Locale_System:SARENA_RANK_BEGINNER_NAME,Locale_System:SARENA_RANK_TIER_DESC,0,1,None,0,0
