id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_contents_2024summer_picture_01_1,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_1,True,neon_s,15,angry,rapi_s,13,idle,anis_s,1,void,mary_s,17,idle,CoralIslandInside_d,15,15,1.0,event_bgm_beautyfullshot_seasidedance,,,
d_contents_2024summer_picture_01_2,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_2,True,,15,angry,,13,idle,,1,void,,17,idle,,15,15,1.0,,,,
d_contents_2024summer_picture_01_3,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_3,True,,15,angry,,13,idle,,1,void,,17,idle,,130,130,1.0,,,,
d_contents_2024summer_picture_01_4,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_4,True,,15,no,,13,idle,,1,void,,17,idle,,15,XS_150,1.0,,,,
d_contents_2024summer_picture_01_5,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_5,True,,15,no,,13,worry,,1,void,,17,idle,,130,130,1.0,,,,
d_contents_2024summer_picture_01_6,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_6,True,,15,no,,13,worry,,1,void,,17,idle,,XS_150,XS_1500,1.0,,,,
d_contents_2024summer_picture_01_7,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_7,False,,15,no,,13,think,,1,void,,17,idle,,XS_1500,14,1.0,,,,
d_contents_2024summer_picture_01_8,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_8,True,,15,angry,,13,think,,1,void,,17,idle,,14,14,1.0,,,,
d_contents_2024summer_picture_01_9,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_9,True,,15,angry,,13,think,,1,angry,,17,idle,,14,12,1.0,,,,
d_contents_2024summer_picture_01_10,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_10,True,,15,angry,,13,idle,,1,angry,,17,idle,,12,12,1.0,,,,
d_contents_2024summer_picture_01_11,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_11,True,,15,angry,,13,idle,,1,angry,,17,idle,,12,12,1.0,,,,
d_contents_2024summer_picture_01_12,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_12,True,,15,angry,,13,idle,,1,worry,,17,idle,,12,12,1.0,,,,
d_contents_2024summer_picture_01_13,81401,d_contents_2024summer_picture_01,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_2024summer_picture_01_13,True,,15,angry,,13,idle,,1,worry,,17,idle,,170,170,1.0,,,,
d_contents_2024summer_picture_01_14,81401,d_contents_2024summer_picture_01,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_2024summer_picture_01_14,True,,15,angry,,13,idle,,1,worry,,17,idle,,170,170,1.0,,,,
d_contents_2024summer_picture_01_15,81401,d_contents_2024summer_picture_01,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_2024summer_picture_01_15,True,,15,angry,,13,idle,,1,worry,,17,idle,,170,170,1.0,,,,
d_contents_2024summer_picture_01_16,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_16,True,,15,angry,,13,idle,,1,worry,,17,idle,,XS_10,XS_10,1.0,,,,
d_contents_2024summer_picture_01_17,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_17,True,,15,surprise,,13,idle,,1,void,,17,idle,,XS_10,14,1.0,,,,
d_contents_2024summer_picture_01_18,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_18,True,,15,surprise,,13,idle,,1,void,,17,idle,,14,14,1.0,,,,
d_contents_2024summer_picture_01_19,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_19,True,,15,surprise,,13,idle,,1,void,,17,idle,,14,14,1.0,,,,
d_contents_2024summer_picture_01_20,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_20,True,,15,surprise,,13,idle,,1,void,,17,idle,,14,14,1.0,,,,
d_contents_2024summer_picture_01_21,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_21,True,,15,no,,13,idle,,1,void,,17,idle,,14,XS_150,1.0,,,,
d_contents_2024summer_picture_01_22,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_22,True,,15,no,,13,idle,,1,void,,17,idle,,XS_10,XS_10,1.0,,,,
d_contents_2024summer_picture_01_23,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_23,True,,15,angry,,13,idle,,1,void,,17,idle,,XS_150,XS_150,1.0,,,,
d_contents_2024summer_picture_01_24,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_24,True,,15,angry,,13,idle,,1,no,,17,idle,,XS_10,1,1.0,,,,
d_contents_2024summer_picture_01_25,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_25,True,,15,angry,,13,idle,,1,void,,17,idle,,1,3,1.0,,viper_s,3,idle
d_contents_2024summer_picture_01_26,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_26,True,,15,surprise,,13,idle,,1,void,,17,idle,,130,130,1.0,,,3,idle
d_contents_2024summer_picture_01_27,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_27,True,,15,surprise,,13,idle,,1,void,,17,idle,,3,3,1.0,,,3,idle
d_contents_2024summer_picture_01_28,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_28,True,,15,surprise,,13,idle,,1,void,,17,idle,,3,3,1.0,,,3,idle
d_contents_2024summer_picture_01_29,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_29,True,,15,surprise,,13,idle,,1,void,,17,idle,,3,3,1.0,,,3,idle
d_contents_2024summer_picture_01_30,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_30,True,,15,surprise,,13,idle,,1,void,,17,idle,,3,3,1.0,,,3,idle
d_contents_2024summer_picture_01_31,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_31,True,,15,surprise,,13,idle,,1,void,,17,idle,,3,2,1.0,,,3,idle
d_contents_2024summer_picture_01_32,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_32,True,,15,surprise,,13,idle,,1,void,,17,idle,,2,2,1.0,,,3,delight
d_contents_2024summer_picture_01_33,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_33,True,,15,surprise,,13,idle,,1,void,,17,idle,,2,2,1.0,,,3,delight
d_contents_2024summer_picture_01_34,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_34,True,,15,surprise,,13,idle,,1,void,,17,idle,,2,2,1.0,,,3,idle
d_contents_2024summer_picture_01_35,81401,d_contents_2024summer_picture_01,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_2024summer_picture_01_35,True,,15,surprise,,13,idle,,1,delight,,17,idle,,2,2,1.0,,,3,idle
d_contents_2024summer_picture_01_36,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_36,True,,15,idle,,13,idle,,1,delight,,17,idle,,XS_150,XS_150,1.0,,,3,idle
d_contents_2024summer_picture_01_37,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_37,True,,15,idle,,13,idle,,1,delight,,17,idle,,S_30,S_30,1.0,,,3,idle
d_contents_2024summer_picture_01_38,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_38,True,,15,idle,,13,idle,,1,delight,,17,idle,,S_30,S_30,1.0,,,3,idle
d_contents_2024summer_picture_01_39,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_39,True,,15,idle,,13,idle,,1,delight,,17,idle,,XS_150,XS_150,1.0,,,3,idle
d_contents_2024summer_picture_01_40,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_40,True,,15,idle,,13,idle,,1,delight,,17,idle,,S_30,S_30,1.0,,,3,idle
d_contents_2024summer_picture_01_41,81401,d_contents_2024summer_picture_01,Speech,neon_s,neon_s,Locale_SubScenario:d_contents_2024summer_picture_01_41,True,,15,worry,,13,idle,,1,delight,,17,idle,,XS_150,15,1.0,,,3,idle
d_contents_2024summer_picture_01_42,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_42,True,,15,worry,,13,idle,,1,delight,,17,idle,,15,13,1.0,,,3,idle
d_contents_2024summer_picture_01_43,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_43,True,,15,worry,,13,idle,,1,delight,,17,idle,,13,13,1.0,,,3,idle
d_contents_2024summer_picture_01_44,81401,d_contents_2024summer_picture_01,Speech,rapi_s,rapi_s,Locale_SubScenario:d_contents_2024summer_picture_01_44,True,,15,worry,,13,idle,,1,delight,,17,idle,,13,13,1.0,,,3,idle
d_contents_2024summer_picture_01_45,81401,d_contents_2024summer_picture_01,Speech,viper_s,viper_s,Locale_SubScenario:d_contents_2024summer_picture_01_45,True,,15,idle,,13,idle,,1,delight,,17,idle,,S_30,S_30,1.0,,,3,delight
d_contents_2024summer_picture_01_46,81401,d_contents_2024summer_picture_01,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_2024summer_picture_01_46,True,,15,idle,,13,idle,,1,delight,,17,idle,,170,170,1.0,,,3,idle
d_contents_2024summer_picture_01_47,81401,d_contents_2024summer_picture_01,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_2024summer_picture_01_47,True,,15,idle,,13,idle,,1,delight,,17,idle,,170,170,1.0,,,3,idle
