id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade
d_contents_ce003_mini_01_1,81101,d_contents_ce003_mini_01,Narration,soda,Locale_SubScenario:d_contents_ce003_mini_01_1,False,soda,1,idle,cocoa,13,idle,MaidCafe,4,1,1.0,sfx_scn_chimebell,event_bgm_ce003_story_1,,,,,,
d_contents_ce003_mini_01_2,81101,d_contents_ce003_mini_01,Speech,soda,Locale_SubScenario:d_contents_ce003_mini_01_2,True,,1,idle,,13,idle,,1,1,1.0,,,soda,,,,,
d_contents_ce003_mini_01_3,81101,d_contents_ce003_mini_01,Narration,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_3,False,,1,idle,,13,idle,,16,13,1.0,sfx_scn_chimebell,,,,,,,
d_contents_ce003_mini_01_4,81101,d_contents_ce003_mini_01,Speech,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_4,True,,1,idle,,13,idle,,13,13,1.0,,,cocoa,,,,,
d_contents_ce003_mini_01_5,81101,d_contents_ce003_mini_01,Narration,soda,Locale_SubScenario:d_contents_ce003_mini_01_5,False,,1,idle,,13,idle,,4,1,1.0,sfx_scn_chimebell,,,,,,,
d_contents_ce003_mini_01_6,81101,d_contents_ce003_mini_01,Speech,soda,Locale_SubScenario:d_contents_ce003_mini_01_6,True,,1,sad,,13,idle,,1,1,1.0,,,soda,,,,,
d_contents_ce003_mini_01_7,81101,d_contents_ce003_mini_01,Narration,soda,Locale_SubScenario:d_contents_ce003_mini_01_7,False,,1,sad,,13,idle,,1,S_10,0.6,sfx_scn_sodafalling2,,,Low_2,,,,
d_contents_ce003_mini_01_8,81101,d_contents_ce003_mini_01,Narration,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_8,False,,1,sad,,13,idle,,16,13,1.0,sfx_scn_chimebell,,,,,,,
d_contents_ce003_mini_01_9,81101,d_contents_ce003_mini_01,Speech,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_9,True,,1,sad,,13,serious,,13,13,1.0,,,cocoa,,,,,
d_contents_ce003_mini_01_10,81101,d_contents_ce003_mini_01,Speech,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_10,True,,1,sad,,13,serious,,13,XS_130,1.0,,,cocoa,,,,,
d_contents_ce003_mini_01_11,81101,d_contents_ce003_mini_01,Narration,,Locale_SubScenario:d_contents_ce003_mini_01_11,False,,1,sad,,13,serious,,5,5,1.0,sfx_scn_chimebell,,,,,,,
d_contents_ce003_mini_01_12,81101,d_contents_ce003_mini_01,Narration,,Locale_SubScenario:d_contents_ce003_mini_01_12,False,,1,sad,,13,serious,,5,50,0.6,sfx_scn_chimebell,,,Low_2,,,,
d_contents_ce003_mini_01_13,81101,d_contents_ce003_mini_01,Narration,,Locale_SubScenario:d_contents_ce003_mini_01_13,False,,1,sad,,13,serious,,50,500,0.6,sfx_scn_chimebell,,,Low_2,,,,
d_contents_ce003_mini_01_14,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_14,True,,1,sad,,13,sad,,500,30,1.0,,,ade,,ade,3,worried,
d_contents_ce003_mini_01_15,81101,d_contents_ce003_mini_01,Speech,soda,Locale_SubScenario:d_contents_ce003_mini_01_15,True,,1,sad,,13,sad,,30,12,1.0,,,soda,,,3,worried,
d_contents_ce003_mini_01_16,81101,d_contents_ce003_mini_01,Speech,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_16,True,,1,sad,,13,sad,,12,12,1.0,,,cocoa,,,3,worried,
d_contents_ce003_mini_01_17,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_17,True,,1,sad,,13,sad,,30,30,1.0,,,ade,,,3,worried,
d_contents_ce003_mini_01_18,81101,d_contents_ce003_mini_01,Narration,,Locale_SubScenario:d_contents_ce003_mini_01_18,False,,1,sad,,13,sad,,black,black,1.0,,,,,,3,worried,black
d_contents_ce003_mini_01_19,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_19,True,,1,sad,,13,sad,,3,3,1.0,,,ade,,,3,idle,
d_contents_ce003_mini_01_20,81101,d_contents_ce003_mini_01,Speech,soda,Locale_SubScenario:d_contents_ce003_mini_01_20,True,,1,sad,,13,sad,,3,12,1.0,,,soda,,,3,idle,
d_contents_ce003_mini_01_21,81101,d_contents_ce003_mini_01,Speech,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_21,True,,1,sad,,13,sad,,12,12,1.0,,,cocoa,,,3,idle,
d_contents_ce003_mini_01_22,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_22,True,,1,sad,,13,sad,,12,2,1.0,,,ade,,,3,worried,
d_contents_ce003_mini_01_23,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_23,True,,1,sad,,13,sad,,2,2,1.0,,,ade,,,3,idle,
d_contents_ce003_mini_01_24,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_24,True,,1,sad,,13,sad,,2,2,1.0,,,ade,,,3,idle,
d_contents_ce003_mini_01_25,81101,d_contents_ce003_mini_01,Speech,soda,Locale_SubScenario:d_contents_ce003_mini_01_25,True,,1,sad,,13,sad,,2,2,1.0,,,soda,,,3,idle,
d_contents_ce003_mini_01_26,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_26,True,,1,sad,,13,sad,,2,2,1.0,,,ade,,,3,delight,
d_contents_ce003_mini_01_27,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_27,True,,1,sad,,13,sad,,2,2,1.0,,,ade,,,3,delight,
d_contents_ce003_mini_01_28,81101,d_contents_ce003_mini_01,Speech,cocoa,Locale_SubScenario:d_contents_ce003_mini_01_28,True,,1,sad,,13,idle,,XS_130,XS_130,1.0,,,cocoa,,,3,delight,
d_contents_ce003_mini_01_29,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_29,True,,1,sad,,13,idle,,2,2,1.0,,,ade,,,3,idle,
d_contents_ce003_mini_01_30,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_30,True,,1,sad,,13,idle,,2,2,1.0,,,ade,,,3,idle,
d_contents_ce003_mini_01_31,81101,d_contents_ce003_mini_01,Speech,soda,Locale_SubScenario:d_contents_ce003_mini_01_31,True,,1,sad,,13,idle,,2,2,1.0,,,soda,,,3,idle,
d_contents_ce003_mini_01_32,81101,d_contents_ce003_mini_01,Speech,ade,Locale_SubScenario:d_contents_ce003_mini_01_32,True,,1,sad,,13,idle,,2,30,1.0,,,ade,,,3,idle,
