id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_contents_eden_09_1,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_1,False,Hospital,,,,,,black,black,0,,sfx_scn_scorebeep,,100,none,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_2,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_2,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,cecil,,1,angry,johan,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_3,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_3,True,,,,,,,12,12,0,,,,100,bgm_story_cecil,,None,None,,Black,False,,,1,angry,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_4,82701,d_contents_eden_09,,Speech,johan,johan,Locale_SubScenario:d_contents_eden_09_4,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_5,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_5,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_6,82701,d_contents_eden_09,,Speech,johan,johan,Locale_SubScenario:d_contents_eden_09_6,False,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_7,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_7,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_8,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_8,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_9,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_9,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_10,82701,d_contents_eden_09,,Speech,johan,johan,Locale_SubScenario:d_contents_eden_09_10,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_11,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_11,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_12,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_12,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_13,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_13,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_14,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_14,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_15,82701,d_contents_eden_09,,Speech,cecil,cecil,Locale_SubScenario:d_contents_eden_09_15,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_16,82701,d_contents_eden_09,,Speech,johan,johan,Locale_SubScenario:d_contents_eden_09_16,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_17,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_17,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,cecil,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_18,82701,d_contents_eden_09,,Speech,johan,johan,Locale_SubScenario:d_contents_eden_09_18,False,,,,,,,L_130,L_130,0,,,,100,,,None,None,,None,False,,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_19,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_19,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_20,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_20,False,,,,,,,black,black,0,,sfx_scn_tyrantcry,,100,,,None,None,,None,False,,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_21,82701,d_contents_eden_09,,Speech,cecil_op_l,cecil_op_l,Locale_SubScenario:d_contents_eden_09_21,True,,,,,,,L_130,L_130,0,,,,100,,,None,None,,None,False,cecil_op_l,,OP_leftup,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_22,82701,d_contents_eden_09,,Narration,johan,,Locale_SubScenario:d_contents_eden_09_22,False,,,,,,,L_130,L_130,0,,,,100,,,None,None,,None,False,,,OP_leftup,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_23,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_23,False,,,,,,,black,black,0,,,,100,none,,None,None,,None,False,,cecil_op_l,OP_leftup,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_24,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_24,False,Stage,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,johan,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_25,82701,d_contents_eden_09,,Speech,,CGofficer,Locale_SubScenario:d_contents_eden_09_25,False,,,,,,,1,1,0,,,ambient_scn_war,100,bgm_greyhaze,,Grey,None,,Black,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_26,82701,d_contents_eden_09,,Speech,,CGofficer,Locale_SubScenario:d_contents_eden_09_26,False,,,,,,,1,1,0,,,,100,,,Grey,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_27,82701,d_contents_eden_09,,Speech,,CGofficer,Locale_SubScenario:d_contents_eden_09_27,False,,,,,,,1,1,0,,,,100,,,Grey,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_28,82701,d_contents_eden_09,,Narration,,,Locale_SubScenario:d_contents_eden_09_28,False,WasteLand_02,,,,,,black,black,0,,sfx_scn_distantshots,,100,,,Grey,None,,Black,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_29,82701,d_contents_eden_09,,Speech,,despairnikke,Locale_SubScenario:d_contents_eden_09_29,True,,,,,,,1,1,0,,,,100,,,Grey,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_30,82701,d_contents_eden_09,,Speech,,despairnikke,Locale_SubScenario:d_contents_eden_09_30,True,,,,,,,1,1,0,,,,100,,,Grey,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_eden_09_31,82701,d_contents_eden_09,,Speech,,despairnikke,Locale_SubScenario:d_contents_eden_09_31,True,,,,,,,1,1,0,,,,100,,,Grey,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
