id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/1/hide_char_id,fade,play_sound
d_ex_redash_05_1_1,80800,d_ex_redash_05_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_05_1_1,False,liliweiss,5,idle,commander,3,idle,ArkRuinIndoor,black,black,1.0,none,,,,
d_ex_redash_05_1_2,80800,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_2,True,,5,idle,,3,idle,,50,50,1.0,event_bgm_redash_alldownhill,liliweiss,,,
d_ex_redash_05_1_3,80800,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_3,True,,5,idle,,3,idle,,50,50,1.0,,liliweiss,,,
d_ex_redash_05_1_4,80800,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_4,True,,5,idle,,3,surprise,,L_30,L_30,1.0,,commander,,,
d_ex_redash_05_1_5,80800,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_5,True,,5,idle,,3,surprise,,L_30,L_30,1.0,,commander,,,
d_ex_redash_05_1_6,80800,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_6,True,,5,think,,3,surprise,,L_30,4,1.0,,liliweiss,,,
d_ex_redash_05_1_7,80800,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_7,True,,5,think,,3,no,,4,4,1.0,,commander,,,
d_ex_redash_05_1_8,80800,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_8,False,,5,think,,3,no,,4,4,1.0,,liliweiss,,,
d_ex_redash_05_1_9,80800,d_ex_redash_05_1,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_05_1_9,True,,5,delight,,3,no,,4,4,1.0,,liliweiss,,,
d_ex_redash_05_1_10,80800,d_ex_redash_05_1,Speech,commander,Locale_SuddenStory:d_ex_redash_05_1_10,True,,5,delight,,3,no,,4,4,1.0,,commander,,,
