id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_ex_seayouagain_06_1,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_1,True,Beach_d,19,19,1.0,none,,,,yan_s,19,idle,helm_s,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_2,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_2,True,,19,19,1.0,,,,,,19,idle,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_3,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_3,True,,19,19,1.0,bgm_story_summermood,,,,,19,idle,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_4,80600,d_ex_seayouagain_06,Self,,Self,Locale_SuddenStory:d_ex_seayouagain_06_4,False,,19,19,1.0,,,,,,19,idle,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_5,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_5,True,,19,19,1.0,,,,,,19,idle,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_6,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_6,True,,19,19,1.0,,,,,,19,idle,,1,idle,,pepper_s,9,delight,,mary_s,7,idle,,,,,
d_ex_seayouagain_06_7,80600,d_ex_seayouagain_06,Speech,mary_s,mary_s,Locale_SuddenStory:d_ex_seayouagain_06_7,True,,8,8,1.0,,,,,,19,idle,,1,idle,,,9,delight,,,7,idle,,,,,
d_ex_seayouagain_06_8,80600,d_ex_seayouagain_06,Speech,pepper_s,pepper_s,Locale_SuddenStory:d_ex_seayouagain_06_8,True,,8,8,1.0,,sfx_scn_spraywater,,,,19,idle,,1,idle,,,9,delight,,,7,idle,,,,,
d_ex_seayouagain_06_9,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_9,True,,19,S_190,0.7,,,,,,19,idle,,1,idle,,,9,delight,pepper_s,,7,idle,mary_s,,,,
d_ex_seayouagain_06_10,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_10,True,,S_190,S_190,1.0,,,,,,19,delight,,1,idle,,rapi_s,9,idle,,anis_s,7,idle,,neon_s,5,delight,
d_ex_seayouagain_06_11,80600,d_ex_seayouagain_06,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_06_11,True,,6,6,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,idle,,,5,delight,
d_ex_seayouagain_06_12,80600,d_ex_seayouagain_06,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_06_12,True,,6,6,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,idle,,,5,delight,
d_ex_seayouagain_06_13,80600,d_ex_seayouagain_06,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_06_13,True,,6,6,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,delight,,,5,idle,
d_ex_seayouagain_06_14,80600,d_ex_seayouagain_06,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_06_14,True,,6,6,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,delight,,,5,idle,
d_ex_seayouagain_06_15,80600,d_ex_seayouagain_06,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_06_15,True,,6,6,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,delight,,,5,idle,
d_ex_seayouagain_06_16,80600,d_ex_seayouagain_06,Speech,rapi_s,rapi_s,Locale_SuddenStory:d_ex_seayouagain_06_16,True,,6,9,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,idle,,,5,idle,
d_ex_seayouagain_06_17,80600,d_ex_seayouagain_06,Speech,rapi_s,rapi_s,Locale_SuddenStory:d_ex_seayouagain_06_17,False,,9,90,0.5,,,,,,19,idle,,1,idle,,,9,worry,,,7,idle,,,5,idle,
d_ex_seayouagain_06_18,80600,d_ex_seayouagain_06,Speech,anis_s,anis_s,Locale_SuddenStory:d_ex_seayouagain_06_18,True,,7,XS_70,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,void,,,5,idle,
d_ex_seayouagain_06_19,80600,d_ex_seayouagain_06,Speech,neon_s,neon_s,Locale_SuddenStory:d_ex_seayouagain_06_19,True,,5,XS_50,1.0,,,,,,19,idle,,1,idle,,,9,idle,,,7,idle,,,5,no,
d_ex_seayouagain_06_20,80600,d_ex_seayouagain_06,Speech,rapi_s,rapi_s,Locale_SuddenStory:d_ex_seayouagain_06_20,True,,90,90,1.0,,,,,,19,idle,,1,idle,,,9,shy,,,7,idle,,,5,idle,
d_ex_seayouagain_06_21,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_21,True,,19,S_190,0.7,,,,,,19,shy,,1,idle,,,9,idle,,,7,idle,,,5,idle,
d_ex_seayouagain_06_22,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_22,True,,S_190,S_190,1.0,,,,,,19,delight,,1,idle,,,9,idle,,,7,idle,,,5,idle,
d_ex_seayouagain_06_23,80600,d_ex_seayouagain_06,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_06_23,False,,1,10,1.0,,,,,,19,idle,,1,think,,,9,idle,rapi_s,,7,idle,anis_s,,5,idle,neon_s
d_ex_seayouagain_06_24,80600,d_ex_seayouagain_06,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_06_24,True,,10,10,1.0,,,,,,19,idle,,1,think,,,,,,,,,,,,,
d_ex_seayouagain_06_25,80600,d_ex_seayouagain_06,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_06_25,False,,10,10,1.0,,,,,,19,surprise,,1,think,,,,,,,,,,,,,
d_ex_seayouagain_06_26,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_26,True,,19,19,1.0,,,,,,19,surprise,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_27,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_27,True,,19,19,1.0,,,,,,19,surprise,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_28,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_28,True,,19,19,1.0,,,,,,19,surprise,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_29,80600,d_ex_seayouagain_06,Self,,Self,Locale_SuddenStory:d_ex_seayouagain_06_29,False,,19,19,1.0,,,,,,19,surprise,,1,idle,,,,,,,,,,,,,
d_ex_seayouagain_06_30,80600,d_ex_seayouagain_06,Speech,yan_s,yan_s,Locale_SuddenStory:d_ex_seayouagain_06_30,True,,19,S_190,0.7,,,,,,19,no,,1,idle,,,,,,,,,,,,,
