id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/3/hide_char_id,play_sound,characters/4/hide_char_id,set_camera_shake,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_ex_seayouagain_07_1,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_1,False,rapi_s,9,idle,anis_s,7,idle,neon_s,5,idle,liter_s,19,sorrow,yan_s,13,no,Beach_n,black,black,1.0,none,,,,,,,,,
d_ex_seayouagain_07_2,80600,d_ex_seayouagain_07,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_07_2,True,,9,idle,,7,idle,,5,idle,,19,sorrow,,13,no,,19,19,1.0,,liter_s,,,,,,,,
d_ex_seayouagain_07_3,80600,d_ex_seayouagain_07,Speech,volt,Locale_SuddenStory:d_ex_seayouagain_07_3,True,,9,idle,,7,idle,,5,idle,,19,sorrow,,13,no,,19,19,1.0,bgm_story_whosdumber,volt,,,,,,,,
d_ex_seayouagain_07_4,80600,d_ex_seayouagain_07,Speech,yan_s,Locale_SuddenStory:d_ex_seayouagain_07_4,True,,9,idle,,7,idle,,5,idle,,19,sorrow,,13,no,,13,13,1.0,,yan_s,liter_s,,,,,,,
d_ex_seayouagain_07_5,80600,d_ex_seayouagain_07,Speech,yan_s,Locale_SuddenStory:d_ex_seayouagain_07_5,True,,9,idle,,7,idle,,5,idle,,,,,13,no,,13,13,1.0,,yan_s,,sfx_scn_emptywind,,,,,,
d_ex_seayouagain_07_6,80600,d_ex_seayouagain_07,Narration,Narration,Locale_SuddenStory:d_ex_seayouagain_07_6,False,,9,idle,,7,idle,,5,idle,,,,,13,no,,black,black,1.0,,,,,,,,,,
d_ex_seayouagain_07_7,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_7,True,,9,idle,,7,idle,,5,idle,,,,,13,no,,9,9,1.0,,rapi_s,,,yan_s,,,,,
d_ex_seayouagain_07_8,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_8,True,,9,idle,,7,idle,,5,idle,,,,,,,,9,9,1.0,,rapi_s,,,,,,,,
d_ex_seayouagain_07_9,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_9,True,,9,idle,,7,worry,,5,idle,,,,,,,,9,7,1.0,,anis_s,,sfx_scn_emptywind,,Low_2,,,,
d_ex_seayouagain_07_10,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_10,True,,9,idle,,7,worry,,5,idle,,,,,,,,7,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_11,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_11,True,,9,idle,,7,worry,,5,idle,,,,,,,,7,7,1.0,,anis_s,,,,,,,,
d_ex_seayouagain_07_12,80600,d_ex_seayouagain_07,Speech,anis_s,Locale_SuddenStory:d_ex_seayouagain_07_12,True,,9,idle,,7,angry,,5,idle,,,,,,,,7,XS_70,0.7,,anis_s,,,,,,,,
d_ex_seayouagain_07_13,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_13,True,,9,idle,,7,angry,,5,surprise,,,,,,,,5,5,1.0,,neon_s,,sfx_scn_emptywind,,,,,,
d_ex_seayouagain_07_14,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_14,True,,9,idle,,7,angry,,5,angry,,,,,,,,5,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_15,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_15,True,,9,idle,,7,idle,,5,surprise,,,,,,,,5,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_16,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_16,True,,9,idle,,7,idle,,5,angry,,,,,,,,5,5,1.0,,neon_s,,,,,,,,
d_ex_seayouagain_07_17,80600,d_ex_seayouagain_07,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_07_17,True,,9,idle,,7,idle,,5,no,,,,,,,,5,XS_50,0.7,,neon_s,,,,Low_2,,,,
d_ex_seayouagain_07_18,80600,d_ex_seayouagain_07,Speech,rapi_s,Locale_SuddenStory:d_ex_seayouagain_07_18,False,,9,think,,7,idle,,5,no,,,,,,,,9,90,1.0,,rapi_s,,,,,,,,
