id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,jump_target,play_sound,set_filter_02
d_ex_seayouagain_09_1,80600,d_ex_seayouagain_09,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_09_1,False,liter_s,3,idle,neon_s,1,idle,LogHouseOut_n,3,3,1.0,none,,,,,
d_ex_seayouagain_09_2,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_2,True,,3,idle,,1,idle,,3,3,1.0,bgm_story_profusion,liter_s,,,,
d_ex_seayouagain_09_3,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_3,True,,3,idle,,1,idle,,3,3,1.0,,liter_s,,,,
d_ex_seayouagain_09_4,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_4,True,,3,idle,,1,idle,,3,1,1.0,,neon_s,,,,
d_ex_seayouagain_09_5,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_5,True,,3,idle,,1,idle,,1,1,1.0,,neon_s,,,,
d_ex_seayouagain_09_6,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_6,True,,3,idle,,1,surprise,,1,XS_10,0.7,,neon_s,,,,
d_ex_seayouagain_09_7,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_7,True,,3,idle,,1,delight,,XS_10,XS_10,1.0,,neon_s,,,,
d_ex_seayouagain_09_8,80600,d_ex_seayouagain_09,Self,Self,Locale_SuddenStory:d_ex_seayouagain_09_8,False,,3,idle,,1,delight,,XS_10,XS_10,1.0,,,,,,
d_ex_seayouagain_09_9,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_9,True,,3,idle,,1,idle,,XS_10,XS_10,1.0,,neon_s,,,,
d_ex_seayouagain_09_10,80600,d_ex_seayouagain_09,Self,Self,Locale_SuddenStory:d_ex_seayouagain_09_10,False,,3,idle,,1,idle,,XS_10,XS_10,1.0,,,,,,
d_ex_seayouagain_09_11,80600,d_ex_seayouagain_09,Self,Self,Locale_SuddenStory:d_ex_seayouagain_09_11,False,,3,idle,,1,idle,,XS_10,XS_10,1.0,,,,,,
d_ex_seayouagain_09_12,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_12,True,,3,idle,,1,idle,,XS_10,XS_10,1.0,,neon_s,,,,
d_ex_seayouagain_09_13,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_13,True,,3,idle,,1,no,,XS_10,XS_10,1.0,,neon_s,,,,
d_ex_seayouagain_09_14,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_14,True,,3,idle,,1,idle,,XS_10,XS_10,1.0,,neon_s,,,,
d_ex_seayouagain_09_15,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_15,True,,3,surprise,,1,idle,,3,XS_30,0.4,,liter_s,Low_2,,,
d_ex_seayouagain_09_16,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_16,True,,3,surprise,,1,surprise,,2,2,1.0,,neon_s,,,,
d_ex_seayouagain_09_17,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_17,True,,3,surprise,,1,surprise,,2,2,1.0,,neon_s,,,,
d_ex_seayouagain_09_18,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_18,True,,3,surprise,,1,surprise,,2,2,1.0,,neon_s,,,,
d_ex_seayouagain_09_19,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_19,False,,3,sorrow,,1,surprise,,2,2,1.0,,liter_s,,,,
d_ex_seayouagain_09_20,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_20,True,,3,sorrow,,1,worry,,2,2,0.5,,neon_s,,,,
d_ex_seayouagain_09_21,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_21,True,,3,sorrow,,1,worry,,2,2,1.0,,neon_s,,,,
d_ex_seayouagain_09_22,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_22,True,,3,sorrow,,1,worry,,2,2,1.0,,neon_s,,,,
d_ex_seayouagain_09_23,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_23,True,,3,angry,,1,surprise,,3,XS_30,0.5,,liter_s,Low_2,,,
d_ex_seayouagain_09_24,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_24,True,,3,angry,,1,surprise,,XS_30,XS_30,1.0,,liter_s,,,,
d_ex_seayouagain_09_25,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_25,True,,3,angry,,1,idle,,1,XS_10,0.7,,neon_s,,,,
d_ex_seayouagain_09_26,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_26,True,,3,shy,,1,idle,,2,2,1.0,,liter_s,,,,
d_ex_seayouagain_09_27,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_27,True,,3,shy,,1,idle,,2,2,1.0,,liter_s,,,,
d_ex_seayouagain_09_28,80600,d_ex_seayouagain_09,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_09_28,False,,3,shy,,1,idle,,2,2,1.0,,,,,,
d_ex_seayouagain_09_29,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_29,True,,3,shy,,1,delight,,2,2,1.0,,neon_s,,,,
d_ex_seayouagain_09_30,80600,d_ex_seayouagain_09,Speech,neon_s,Locale_SuddenStory:d_ex_seayouagain_09_30,True,,3,shy,,1,delight,,2,2,1.0,,neon_s,,,,
d_ex_seayouagain_09_31,80600,d_ex_seayouagain_09,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_09_31,False,,3,shy,,1,idle,,2,2,1.0,,,,,,
d_ex_seayouagain_09_32,80600,d_ex_seayouagain_09,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_09_32,False,,3,shy,,1,idle,,2,2,1.0,,,,,,
d_ex_seayouagain_09_33,80600,d_ex_seayouagain_09,Choice,,Locale_SuddenStory:d_ex_seayouagain_09_33,False,,3,shy,,1,idle,,2,2,1.0,,,,d_ex_seayouagain_09_35,,
d_ex_seayouagain_09_34,80600,d_ex_seayouagain_09,Choice,,Locale_SuddenStory:d_ex_seayouagain_09_34,False,,3,shy,,1,idle,,2,2,1.0,,,,d_ex_seayouagain_09_40,,
d_ex_seayouagain_09_35,80600,d_ex_seayouagain_09,Speech,liter_s,Locale_SuddenStory:d_ex_seayouagain_09_35,True,,3,sorrow,,1,idle,,2,3,1.0,,liter_s,,,,
