id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_seayouagain_21_1,80600,d_ex_seayouagain_21,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_1,False,Beach_n,1,10,1.0,none,,frima_s,1,angry,volt,3,idle,,,
d_ex_seayouagain_21_2,80600,d_ex_seayouagain_21,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_21_2,False,,3,XS_30,1.0,bgm_story_whosdumber,,,1,angry,,3,idle,,,
d_ex_seayouagain_21_3,80600,d_ex_seayouagain_21,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_21_3,False,,2,2,1.0,,,,1,angry,,3,idle,,,
d_ex_seayouagain_21_4,80600,d_ex_seayouagain_21,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_4,True,,2,2,1.0,,,,1,angry,,3,idle,,,
d_ex_seayouagain_21_5,80600,d_ex_seayouagain_21,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_5,True,,2,2,1.0,,,,1,angry,,3,idle,,,
d_ex_seayouagain_21_6,80600,d_ex_seayouagain_21,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_21_6,True,,2,2,1.0,,sfx_scn_dogbark,,1,angry,,3,idle,,,
d_ex_seayouagain_21_7,80600,d_ex_seayouagain_21,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_21_7,False,,1,10,1.0,,,,1,angry,,3,idle,,,
d_ex_seayouagain_21_8,80600,d_ex_seayouagain_21,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_8,True,,10,10,1.0,,,,1,angry,,3,idle,,,
d_ex_seayouagain_21_9,80600,d_ex_seayouagain_21,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_9,True,,10,10,1.0,,,,1,angry,,3,idle,,,
d_ex_seayouagain_21_10,80600,d_ex_seayouagain_21,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_21_10,True,,10,XS_30,0.5,,sfx_scn_dogbark,,1,angry,,3,idle,,,
