id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_1yearalready_epilogue_1,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_1,True,isabel,3,idle,CommanderRoom_n,3,3,1.0,bgm_story_fairytalesend_if,,,,,,,,,,
event_1yearalready_epilogue_2,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_2,True,,3,idle,,3,3,1.0,,,,,,,,,,,
event_1yearalready_epilogue_3,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_3,True,,3,idle,,3,3,1.0,,,,,,,,,,,
event_1yearalready_epilogue_4,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_4,False,,3,idle,,3,3,1.0,,,,,,,,,,,
event_1yearalready_epilogue_5,130003,event_1yearalready_epilogue,Monologue,,,Locale_SubScenario:event_1yearalready_epilogue_5,False,,3,idle,,3,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_6,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_6,True,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_7,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_7,True,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_8,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_8,True,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_9,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_9,True,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_10,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_10,True,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_11,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_11,True,,3,idle,,S_30,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_12,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_12,False,,3,idle,,S_30,S_300,1.0,,,,,,,,,,,
event_1yearalready_epilogue_13,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_13,True,,3,shy,,S_300,S_300,1.0,,,,,,,,,,,
event_1yearalready_epilogue_14,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_14,True,,3,shy,,S_300,S_300,1.0,,,,,,,,,,,
event_1yearalready_epilogue_15,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_15,True,,3,shy,,S_300,S_300,1.0,,,,,,,,,,,
event_1yearalready_epilogue_16,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_16,True,,3,shy,,S_300,S_300,1.0,,,,,,,,,,,
event_1yearalready_epilogue_17,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_17,True,,3,surprise,,S_300,S_30,1.0,,,,,,,,,,,
event_1yearalready_epilogue_18,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_18,False,,3,pain,,black,black,1.0,,sfx_scn_hit,,,,,,,,,
event_1yearalready_epilogue_19,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_19,True,,3,pain,,XS_10,XS_10,1.0,,,noah,1,pain,harran,13,idle,,,
event_1yearalready_epilogue_20,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_20,True,,3,pain,,XS_10,XS_10,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_21,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_21,True,,3,pain,,XS_10,XS_10,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_22,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_22,True,,3,pain,,XS_10,XS_10,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_23,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_23,True,,3,pain,,XS_10,2,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_24,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_24,True,,3,pain,,130,130,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_25,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_25,True,,3,pain,,130,130,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_26,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_26,True,,3,pain,,130,130,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_27,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_27,True,,3,angry,,S_30,S_30,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_28,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_28,True,,3,angry,,S_30,S_30,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_29,130003,event_1yearalready_epilogue,Speech,isabel,isabel,Locale_SubScenario:event_1yearalready_epilogue_29,True,,3,angry,,S_30,S_30,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_30,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_30,False,,3,angry,,S_30,3,1.0,,,,1,pain,,13,idle,isabel,,
event_1yearalready_epilogue_31,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_31,True,,,,,3,1,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_32,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_32,True,,,,,1,1,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_33,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_33,True,,,,,1,XS_10,1.0,,,,1,shy,,13,idle,,,
event_1yearalready_epilogue_34,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_34,True,,,,,XS_10,XS_10,1.0,,,,1,shy,,13,idle,,,
event_1yearalready_epilogue_35,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_35,True,,,,,XS_10,1,1.0,,,,1,surprise,,13,idle,,,
event_1yearalready_epilogue_36,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_36,True,,,,,1,1,1.0,,,,1,surprise,,13,idle,,,
event_1yearalready_epilogue_37,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_37,True,,,,,1,12,1.0,,,,1,surprise,,13,idle,,,
event_1yearalready_epilogue_38,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_38,True,,,,,12,12,1.0,,,,1,surprise,,13,idle,,,
event_1yearalready_epilogue_39,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_39,True,,,,,12,12,1.0,,,,1,pain,,13,idle,,,
event_1yearalready_epilogue_40,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_40,True,,,,,12,12,1.0,,,,1,shy,,13,idle,,,
event_1yearalready_epilogue_41,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_41,True,,,,,12,12,1.0,,,,1,shy,,13,idle,,,
event_1yearalready_epilogue_42,130003,event_1yearalready_epilogue,Speech,noah,noah,Locale_SubScenario:event_1yearalready_epilogue_42,True,,,,,12,12,1.0,,,,1,shy,,13,idle,,,
event_1yearalready_epilogue_43,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_43,True,,,,,12,130,1.0,,,,1,shy,,13,idle,,noah,
event_1yearalready_epilogue_44,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_44,True,,,,,130,130,1.0,,,,,,,13,idle,,,
event_1yearalready_epilogue_45,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_45,True,,,,,130,130,1.0,,,,,,,13,idle,,,
event_1yearalready_epilogue_46,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_46,True,,,,,130,130,1.0,,,,,,,13,idle,,,
event_1yearalready_epilogue_47,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_47,False,,,,,130,130,1.0,,,,,,,13,special,,,
event_1yearalready_epilogue_48,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_48,True,,,,,130,130,1.0,,,,,,,13,special,,,
event_1yearalready_epilogue_49,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_49,True,,,,,130,130,1.0,,,,,,,13,special,,,
event_1yearalready_epilogue_50,130003,event_1yearalready_epilogue,Speech,harran,harran,Locale_SubScenario:event_1yearalready_epilogue_50,True,,,,,130,130,1.0,,,,,,,13,idle,,,
event_1yearalready_epilogue_51,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_51,False,,,,,black,black,1.0,none,,,,,,13,idle,,,harran
event_1yearalready_epilogue_52,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_52,False,,,,,black,black,1.0,,,,,,,,,,,
event_1yearalready_epilogue_53,130003,event_1yearalready_epilogue,Narration,,,Locale_SubScenario:event_1yearalready_epilogue_53,False,,,,,black,black,1.0,,,,,,,,,,,
event_1yearalready_epilogue_54,130003,event_1yearalready_epilogue,Speech,hongryeon,hongryeon,Locale_SubScenario:event_1yearalready_epilogue_54,True,hongryeon,1,idle,,10,10,1.0,bgm_story_weare,,snowwhite,3,idle,rapunzel,13,idle,,,
event_1yearalready_epilogue_55,130003,event_1yearalready_epilogue,Speech,hongryeon,hongryeon,Locale_SubScenario:event_1yearalready_epilogue_55,True,,1,idle,,10,10,1.0,,,,3,idle,,13,idle,,,
event_1yearalready_epilogue_56,130003,event_1yearalready_epilogue,Speech,hongryeon,hongryeon,Locale_SubScenario:event_1yearalready_epilogue_56,True,,1,idle,,10,10,1.0,,,,3,idle,,13,idle,,,
event_1yearalready_epilogue_57,130003,event_1yearalready_epilogue,Speech,hongryeon,hongryeon,Locale_SubScenario:event_1yearalready_epilogue_57,True,,1,idle,,10,10,1.0,,,,3,idle,,13,idle,,,
event_1yearalready_epilogue_58,130003,event_1yearalready_epilogue,Speech,hongryeon,hongryeon,Locale_SubScenario:event_1yearalready_epilogue_58,True,,1,idle,,10,10,1.0,,,,3,idle,,13,idle,,,
