id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,jump_target,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_BunnyX777_05_s_1,40014,event_BunnyX777_05_s,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_05_s_1,True,rouge,1,idle,mustang,5,delight,CoinRushIndoor,5,L_500,0.5,event_bgm_bunny777,,,,,,,,,,,,
event_BunnyX777_05_s_2,40014,event_BunnyX777_05_s,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_05_s_2,True,,1,idle,,5,delight,,L_500,L_500,1.0,,,,,,,,,,,,,
event_BunnyX777_05_s_3,40014,event_BunnyX777_05_s,Speech,mustang,mustang,Locale_SubScenario:event_BunnyX777_05_s_3,True,,1,idle,,5,idle,,L_500,L_50,1.0,,,,,,,,,,,,,
event_BunnyX777_05_s_4,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_4,True,,1,idle,,5,idle,,L_50,L_50,1.0,,sullenman,13,idle,,,,,,,,,
event_BunnyX777_05_s_5,40014,event_BunnyX777_05_s,Narration,,,Locale_SubScenario:event_BunnyX777_05_s_5,False,,1,idle,,5,idle,,L_50,10,2.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_6,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_6,True,,1,idle,,5,idle,,10,10,1.0,,,13,idle,mustang,,,,,,,,
event_BunnyX777_05_s_7,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_7,True,,1,idle,,,,,10,10,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_8,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_8,True,,1,idle,,,,,10,100,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_9,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_9,True,,1,idle,,,,,100,100,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_10,40014,event_BunnyX777_05_s,Monologue,,,Locale_SubScenario:event_BunnyX777_05_s_10,False,,1,idle,,,,,black,black,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_11,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_11,True,,1,idle,,,,,100,100,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_12,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_12,True,,1,idle,,,,,100,100,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_13,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_13,True,,1,idle,,,,,100,100,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_14,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_14,True,,1,idle,,,,,100,100,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_15,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_15,True,,1,idle,,,,,100,10,1.0,,,13,idle,,,,,,,,,
event_BunnyX777_05_s_16,40014,event_BunnyX777_05_s,Speech,rouge,rouge,Locale_SubScenario:event_BunnyX777_05_s_16,True,,1,idle,,,,,10,10,1.0,,,13,idle,,,,,,,,,
