id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/hide_char_id,play_sound,characters/0/hide_char_id,fade
event_arcanearchive_03_s_1,40077,event_arcanearchive_03_s,Monologue,mary,Locale_SubScenario:event_arcanearchive_03_s_1,False,mary,12,idle,arcana,2,idle,Hospital,black,black,1.0,bgm_inark,,,,,
event_arcanearchive_03_s_2,40077,event_arcanearchive_03_s,Monologue,mary,Locale_SubScenario:event_arcanearchive_03_s_2,False,,12,idle,,2,idle,,black,black,1.0,,,,,,
event_arcanearchive_03_s_3,40077,event_arcanearchive_03_s,Self,mary,Locale_SubScenario:event_arcanearchive_03_s_3,False,,12,idle,,2,idle,,1,1,1.0,,,,,,
event_arcanearchive_03_s_4,40077,event_arcanearchive_03_s,Speech,mary,Locale_SubScenario:event_arcanearchive_03_s_4,True,,12,idle,,2,idle,,1,1,1.0,,mary,,,,
event_arcanearchive_03_s_5,40077,event_arcanearchive_03_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_s_5,True,,12,idle,,2,idle,,1,1,1.0,,arcana,,,,
event_arcanearchive_03_s_6,40077,event_arcanearchive_03_s,Speech,mary,Locale_SubScenario:event_arcanearchive_03_s_6,True,,12,idle,,2,idle,,1,1,1.0,,mary,,,,
event_arcanearchive_03_s_7,40077,event_arcanearchive_03_s,Speech,mary,Locale_SubScenario:event_arcanearchive_03_s_7,True,,12,idle,,2,idle,,1,1,1.0,,mary,,,,
event_arcanearchive_03_s_8,40077,event_arcanearchive_03_s,Speech,mary,Locale_SubScenario:event_arcanearchive_03_s_8,True,,12,idle,,2,idle,,1,1,1.0,,mary,,,,
event_arcanearchive_03_s_9,40077,event_arcanearchive_03_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_s_9,True,,12,idle,,2,idle,,1,1,1.0,,arcana,,,,
event_arcanearchive_03_s_10,40077,event_arcanearchive_03_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_s_10,True,,12,idle,,2,idle,,1,1,1.0,,arcana,,,,
event_arcanearchive_03_s_11,40077,event_arcanearchive_03_s,Speech,mary,Locale_SubScenario:event_arcanearchive_03_s_11,True,,12,idle,,2,idle,,1,1,1.0,,mary,,,,
event_arcanearchive_03_s_12,40077,event_arcanearchive_03_s,Monologue,mary,Locale_SubScenario:event_arcanearchive_03_s_12,False,,12,idle,,2,idle,,1,1,1.0,,,,,,
event_arcanearchive_03_s_13,40077,event_arcanearchive_03_s,Speech,mary,Locale_SubScenario:event_arcanearchive_03_s_13,True,,12,idle,,2,idle,,1,1,1.0,,mary,,,,
event_arcanearchive_03_s_14,40077,event_arcanearchive_03_s,Speech,mary,Locale_SubScenario:event_arcanearchive_03_s_14,True,,12,idle,,2,idle,,1,1,1.0,,mary,,,,
