id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_arcanearchive_prologue_1,40077,event_arcanearchive_prologue,,Speech,ingrid,ingrid,Locale_SubScenario:event_arcanearchive_prologue_1,True,Laboratory,,,,,,L_20,L_20,0,,,,100,bgm_floraltribute,,None,None,,None,False,ingrid,,2,idle,arcana,,12,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_2,40077,event_arcanearchive_prologue,,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_prologue_2,True,,,,,,,L_20,1,-858993459,,,,100,,,None,None,,None,False,,,2,idle,,,12,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_3,40077,event_arcanearchive_prologue,,Speech,ingrid,ingrid,Locale_SubScenario:event_arcanearchive_prologue_3,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,idle,,,12,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_4,40077,event_arcanearchive_prologue,,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_prologue_4,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,idle,,,12,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_5,40077,event_arcanearchive_prologue,,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_prologue_5,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,idle,,,12,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_6,40077,event_arcanearchive_prologue,,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_prologue_6,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,idle,,,12,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_7,40077,event_arcanearchive_prologue,,Speech,ingrid,ingrid,Locale_SubScenario:event_arcanearchive_prologue_7,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,idle,,,12,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_8,40077,event_arcanearchive_prologue,,Speech,ingrid,ingrid,Locale_SubScenario:event_arcanearchive_prologue_8,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,2,idle,,,12,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_9,40077,event_arcanearchive_prologue,,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_prologue_9,True,,,,,,,1,L_120,-858993459,,,,100,,,None,None,,None,False,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_arcanearchive_prologue_10,40077,event_arcanearchive_prologue,,Narration,arcana,,Locale_SubScenario:event_arcanearchive_prologue_10,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,2,idle,,,12,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
