id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_bluewaterisland1_06_e_1,40020,event_bluewaterisland1_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_06_e_1,True,Sunset,XS_30,3,2.0,bgm_story_profusion,,,,,,liter_s,5,idle,neon_s,3,idle,,mary_s,1,idle,,pepper_s,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_2,40020,event_bluewaterisland1_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_06_e_2,True,,3,3,1.0,,,,,,,,5,idle,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_3,40020,event_bluewaterisland1_06_e,Self,,Self,Locale_SubScenario:event_bluewaterisland1_06_e_3,False,,3,3,1.0,,,,,,,,5,idle,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_4,40020,event_bluewaterisland1_06_e,Speech,liter_s,liter_s,Locale_SubScenario:event_bluewaterisland1_06_e_4,True,,3,4,1.0,,,,,,,,5,delight,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_5,40020,event_bluewaterisland1_06_e,Speech,neon_s,neon_s,Locale_SubScenario:event_bluewaterisland1_06_e_5,True,,4,4,1.0,,,,,,,,5,idle,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_6,40020,event_bluewaterisland1_06_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_06_e_6,False,,4,1,2.0,,,,,,,,5,idle,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_7,40020,event_bluewaterisland1_06_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_06_e_7,True,,1,1,1.0,,,,,,,,5,idle,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_8,40020,event_bluewaterisland1_06_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_06_e_8,True,,1,1,1.0,,,,,,,,5,idle,,3,idle,,,1,idle,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_9,40020,event_bluewaterisland1_06_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_06_e_9,True,,1,1,1.0,,,,,,,,5,idle,,3,idle,,,1,shy,,,13,idle,,,,,,,,,
event_bluewaterisland1_06_e_10,40020,event_bluewaterisland1_06_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland1_06_e_10,True,,1,1,1.0,,,,,,,,5,idle,,3,idle,,,1,shy,,,13,idle,,,,,,,,,
