id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_boomsday_04_e_1,40040,event_boomsday_04_e,Monologue,Locale_SubScenario:event_boomsday_04_e_1,False,NikkeCorridor,13,3,1.7,none,,,,,elegg,3,think,,,,
event_boomsday_04_e_2,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_2,True,,3,S_30,1.0,bgm_story_weare,elegg,elegg,,,,3,idle,,,,
event_boomsday_04_e_3,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_3,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,idle,,,,
event_boomsday_04_e_4,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_4,True,,S_30,3,1.0,,elegg,elegg,,,,3,pain,,,,
event_boomsday_04_e_5,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_5,False,,3,3,1.0,,elegg,elegg,,,,3,pain,,,,
event_boomsday_04_e_6,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_6,True,,3,S_30,0.7,,elegg,elegg,Low_2,,,3,delight,,,,
event_boomsday_04_e_7,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_7,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,delight,,,,
event_boomsday_04_e_8,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_8,True,,S_30,3,1.0,,elegg,elegg,,,,3,pain,,,,
event_boomsday_04_e_9,40040,event_boomsday_04_e,Monologue,Locale_SubScenario:event_boomsday_04_e_9,False,,3,3,1.0,,,,,,,3,pain,,,,
event_boomsday_04_e_10,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_10,False,,3,3,1.0,,elegg,elegg,,,,3,think,,,,
event_boomsday_04_e_11,40040,event_boomsday_04_e,Self,Locale_SubScenario:event_boomsday_04_e_11,False,,3,3,1.0,,,,,,,3,think,,,,
event_boomsday_04_e_12,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_12,True,,3,S_30,1.0,,elegg,elegg,,,,3,think,,,,
event_boomsday_04_e_13,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_13,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,think,,,,
event_boomsday_04_e_14,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_14,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,think,,,,
event_boomsday_04_e_15,40040,event_boomsday_04_e,Self,Locale_SubScenario:event_boomsday_04_e_15,False,,S_30,S_30,1.0,,,,,,,3,think,,,,
event_boomsday_04_e_16,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_16,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,think,,,,
event_boomsday_04_e_17,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_17,False,,S_30,S_30,1.0,,elegg,elegg,,,,3,pain,,,,
event_boomsday_04_e_18,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_18,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,pain,,,,
event_boomsday_04_e_19,40040,event_boomsday_04_e,Self,Locale_SubScenario:event_boomsday_04_e_19,False,,S_30,S_30,1.0,,,,,,,3,pain,,,,
event_boomsday_04_e_20,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_20,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,think,,,,
event_boomsday_04_e_21,40040,event_boomsday_04_e,Self,Locale_SubScenario:event_boomsday_04_e_21,False,,S_30,S_30,1.0,,,,,,,3,think,,,,
event_boomsday_04_e_22,40040,event_boomsday_04_e,Self,Locale_SubScenario:event_boomsday_04_e_22,False,,S_30,S_30,1.0,,,,,,,3,think,,,,
event_boomsday_04_e_23,40040,event_boomsday_04_e,Speech,Locale_SubScenario:event_boomsday_04_e_23,True,,S_30,S_30,1.0,,elegg,elegg,,,,3,pain,,,,
event_boomsday_04_e_24,40040,event_boomsday_04_e,Self,Locale_SubScenario:event_boomsday_04_e_24,False,,S_30,S_30,1.0,,,,,,,3,pain,,,,
