id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,characters/2/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,play_sound
event_boomtheghost1_01_e_1,40084,event_boomtheghost1_01_e,Narration,Locale_MainScenario:event_boomtheghost1_01_e_1,False,dorothy,1,think,rapi_ss,3,delight,GoodOffice,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_2,40084,event_boomtheghost1_01_e,Speech,Locale_MainScenario:event_boomtheghost1_01_e_2,True,,1,think,,3,delight,,100,100,1.0,,dorothy,dorothy,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_3,40084,event_boomtheghost1_01_e,Speech,Locale_MainScenario:event_boomtheghost1_01_e_3,True,,1,think,,3,delight,,100,100,1.0,,dorothy,dorothy,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_4,40084,event_boomtheghost1_01_e,Self,Locale_MainScenario:event_boomtheghost1_01_e_4,False,,1,think,,3,delight,,100,100,1.0,,dorothy,,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_5,40084,event_boomtheghost1_01_e,Speech,Locale_MainScenario:event_boomtheghost1_01_e_5,False,,1,think,,3,delight,,100,100,1.0,,dorothy,dorothy,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_6,40084,event_boomtheghost1_01_e,Speech,Locale_MainScenario:event_boomtheghost1_01_e_6,True,,1,think,,3,delight,,100,10,1.0,,dorothy,dorothy,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_7,40084,event_boomtheghost1_01_e,Speech,Locale_MainScenario:event_boomtheghost1_01_e_7,True,,1,think,,3,delight,,10,10,1.0,,dorothy,dorothy,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_8,40084,event_boomtheghost1_01_e,Speech,Locale_MainScenario:event_boomtheghost1_01_e_8,True,,1,think,,3,delight,,10,31,1.0,bgm_story_tepidappleade,dorothy,dorothy,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_9,40084,event_boomtheghost1_01_e,Speech,Locale_MainScenario:event_boomtheghost1_01_e_9,True,,1,think,,3,delight,,31,31,1.0,,rapi_ss,rapi_ss,,,,,,,,,,,,,,,,,,,,
event_boomtheghost1_01_e_10,40084,event_boomtheghost1_01_e,Self,Locale_MainScenario:event_boomtheghost1_01_e_10,False,,1,think,,3,delight,,31,31,1.0,,dorothy,,,,,,,,,,,,,,,,,,,,,
