id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade
event_boomtheghost1_06_e_1,40084,event_boomtheghost1_06_e,Monologue,Locale_MainScenario:event_boomtheghost1_06_e_1,False,elegg_s,1,surprise,rapi_ss,3,delight,tove_s,13,idle,Pilothouse_n,black,black,1.0,none,,,,,,,,,,,
event_boomtheghost1_06_e_2,40084,event_boomtheghost1_06_e,Monologue,Locale_MainScenario:event_boomtheghost1_06_e_2,False,,1,surprise,,3,delight,,13,idle,,black,black,1.0,,sfx_scn_energyrustle,,,,,,,,,,
event_boomtheghost1_06_e_3,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_3,True,,1,surprise,,3,delight,,13,idle,,S_10,S_10,1.0,bgm_story_littlehauntedwaltz,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_4,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_4,True,,1,surprise,,3,delight,,13,sad,,S_10,113,1.0,,,tove_s,tove_s,,,,,,,,
event_boomtheghost1_06_e_5,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_5,True,,1,surprise,,3,delight,,13,sad,,113,113,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_6,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_6,True,,1,surprise,,3,think,,13,sad,,113,31,1.5,,,rapi_ss,rapi_ss,,,,,,,,
event_boomtheghost1_06_e_7,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_7,True,,1,idle,,3,think,,13,sad,,31,31,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_8,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_8,True,,1,idle,,3,angry,,13,sad,,31,31,1.0,,,rapi_ss,rapi_ss,,,,,,,,
event_boomtheghost1_06_e_9,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_9,True,,1,idle,,3,angry,,13,sad,,31,1,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_10,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_10,True,,1,idle,,3,angry,,13,sad,,1,1,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_11,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_11,True,,1,idle,,3,angry,,13,sad,,1,S_10,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_12,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_12,True,,1,idle,,3,angry,,13,sad,,S_10,S_10,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_13,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_13,True,,1,idle,,3,angry,,13,sad,,S_10,S_10,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_14,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_14,True,,1,idle,,3,angry,,13,sad,,S_10,S_10,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_15,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_15,False,,1,idle,,3,good,,13,sad,,S_10,31,1.0,,,rapi_ss,rapi_ss,,,,,,,,
event_boomtheghost1_06_e_16,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_16,True,,1,idle,,3,good,,13,sad,,31,31,1.0,,,rapi_ss,rapi_ss,,,,,,,,
event_boomtheghost1_06_e_17,40084,event_boomtheghost1_06_e,Self,Locale_MainScenario:event_boomtheghost1_06_e_17,False,,1,idle,,3,good,,13,sad,,31,31,1.0,,,,,,,,,,,,
event_boomtheghost1_06_e_18,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_18,True,,1,think,,3,good,,13,idle,,31,31,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_19,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_19,True,,1,think,,3,good,,13,idle,,31,31,1.0,,,elegg_s,elegg_s,,,,,,,,
event_boomtheghost1_06_e_20,40084,event_boomtheghost1_06_e,Narration,Locale_MainScenario:event_boomtheghost1_06_e_20,False,,1,think,,3,good,,13,idle,,black,black,1.0,,sfx_scn_scorebeep,elegg_s,,,,,,,,,
event_boomtheghost1_06_e_21,40084,event_boomtheghost1_06_e,Monologue,Locale_MainScenario:event_boomtheghost1_06_e_21,False,,1,think,,3,good,,13,idle,,black,black,1.0,,,elegg_s,,,,,,,,,
event_boomtheghost1_06_e_22,40084,event_boomtheghost1_06_e,Narration,Locale_MainScenario:event_boomtheghost1_06_e_22,False,,1,think,,3,good,,13,idle,,black,black,1.0,,sfx_scn_beamprojector,elegg_s,,alfred,5,idle,,,,,
event_boomtheghost1_06_e_23,40084,event_boomtheghost1_06_e,Monologue,Locale_MainScenario:event_boomtheghost1_06_e_23,False,,1,think,,3,good,,13,idle,,black,black,1.0,,,elegg_s,,,5,idle,,,,,
event_boomtheghost1_06_e_24,40084,event_boomtheghost1_06_e,Monologue,Locale_MainScenario:event_boomtheghost1_06_e_24,False,,1,think,,3,good,,13,idle,,S_500,50,1.0,,,elegg_s,,,5,idle,,,,,
event_boomtheghost1_06_e_25,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_25,True,,1,think,,3,rage,,13,idle,,50,53,1.0,,,rapi_ss,rapi_ss,,5,idle,,,,,
event_boomtheghost1_06_e_26,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_26,True,,1,no,,3,rage,,13,idle,,53,31,1.0,,,elegg_s,elegg_s,,5,idle,,,,,
event_boomtheghost1_06_e_27,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_27,False,,1,no,,3,rage,,13,idle,,S_500,S_500,1.0,,,alfred,alfred,,5,idle,,,,,
event_boomtheghost1_06_e_28,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_28,True,,1,no,,3,rage,,13,idle,,S_500,S_50,1.0,,,alfred,alfred,,5,idle,,,,,
event_boomtheghost1_06_e_29,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_29,True,,1,no,,3,rage,,13,idle,,S_50,S_50,1.0,,,alfred,alfred,,5,idle,,,,,
event_boomtheghost1_06_e_30,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_30,True,,1,no,,3,worry,,13,idle,,S_50,30,1.0,,,rapi_ss,rapi_ss,,5,idle,,,,,
event_boomtheghost1_06_e_31,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_31,True,,1,idle,,3,worry,,13,idle,,30,S_10,1.0,,,elegg_s,elegg_s,,5,idle,,,,,
event_boomtheghost1_06_e_32,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_32,True,,1,idle,,3,worry,,13,idle,,S_10,S_10,1.0,,,elegg_s,elegg_s,,5,idle,,,,,
event_boomtheghost1_06_e_33,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_33,True,,1,idle,,3,worry,,13,idle,,S_10,S_100,1.0,,,elegg_s,elegg_s,,5,idle,,,,,
event_boomtheghost1_06_e_34,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_34,True,,1,idle,,3,worry,,13,idle,,S_500,S_500,1.0,,,alfred,alfred,,5,idle,,,,,
event_boomtheghost1_06_e_35,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_35,True,,1,idle,,3,think,,13,idle,,S_500,53,1.0,,,rapi_ss,rapi_ss,,5,sad,,,,,
event_boomtheghost1_06_e_36,40084,event_boomtheghost1_06_e,Narration,Locale_MainScenario:event_boomtheghost1_06_e_36,False,dorothy_s,1,smile,,3,think,,13,idle,Deck_n,black,black,1.0,none,,,,,5,sad,elegg_s,rapi_ss,tove_s,alfred,black
event_boomtheghost1_06_e_37,40084,event_boomtheghost1_06_e,Speech,Locale_MainScenario:event_boomtheghost1_06_e_37,True,,1,smile,,,,,,,,100,100,1.0,,,dorothy_s,dorothy_s,,,,,,,,
