id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_boomtheghost2_01_s_1,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_1,True,alfred,1,idle,elegg_s,13,idle,rapi_ss,3,delight,frima_s,5,idle,yan_s,7,idle,tove_s,15,idle,pepper_s,17,idle,centi_s,19,idle,Pilothouse_d,S_100,S_10,1.0,bgm_story_littlehauntedwaltz,
event_boomtheghost2_01_s_2,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_2,True,,1,idle,,13,idle,,3,delight,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,S_10,S_10,1.0,,
event_boomtheghost2_01_s_3,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_3,True,,1,idle,,13,idle,,3,delight,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,S_10,S_10,1.0,,
event_boomtheghost2_01_s_4,40085,event_boomtheghost2_01_s,Narration,alfred,,Locale_MainScenario:event_boomtheghost2_01_s_4,False,,1,idle,,13,idle,,3,delight,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,black,black,1.0,,sfx_scn_touchprocess
event_boomtheghost2_01_s_5,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_5,True,,1,idle,,13,idle,,3,delight,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,S_10,S_10,1.0,,
event_boomtheghost2_01_s_6,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_6,True,,1,idle,,13,idle,,3,delight,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,S_10,S_10,1.0,,
event_boomtheghost2_01_s_7,40085,event_boomtheghost2_01_s,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost2_01_s_7,True,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,S_10,31,1.0,,
event_boomtheghost2_01_s_8,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_8,True,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,31,31,1.0,,
event_boomtheghost2_01_s_9,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_9,True,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,31,31,1.0,,
event_boomtheghost2_01_s_10,40085,event_boomtheghost2_01_s,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_01_s_10,True,,1,idle,,13,idle,,3,angry,,5,idle,,7,idle,,15,idle,,17,idle,,19,idle,,31,31,1.0,,
